identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E17Q4HunterDragon_1,1,food:0,1,,174382,16130,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,13009,food:180,4.2,rage1,8,48231,1,experience:0,14855,7,4,5,
E17Q4HunterDragon_2,2,food:50688,1,,225721,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,14711,food:216,4.2,rage1,9,68106,1,experience:0,21731,7,4,5,
E17Q4HunterDragon_3,3,food:60192,1,,259356,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,17026,food:258,4.2,rage1,10,109112,1,experience:0,28958,7,4,5,
E17Q4HunterDragon_4,4,food:72864,1,,297085,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,19292,food:294,4.2,rage1,11,157414,1,experience:0,37577,7,4,5,
E17Q4HunterDragon_5,5,food:82368,1,,337714,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,21991,food:330,4.2,rage1,12,202488,1,experience:0,48667,7,4,5,
E17Q4HunterDragon_6,6,food:91872,1,,383722,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1,25057,food:366,4.2,rage1,13,254271,1,experience:0,62985,7,4,5,
E17Q4HunterDragon_7,7,E17Q4HunterDragonGreenStone:1,1,have2GreenEpic,438703,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,28316,food:402,4.2,rage1,14,288732,1,experience:0,81371,13,5,5,
E17Q4HunterDragon_8,8,food:110880,1,,553344,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,31299,food:438,4.2,rage1,15,329839,1,experience:0,113471,13,5,5,
E17Q4HunterDragon_9,9,food:120384,1,,594867,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,33917,food:474,4.2,rage1,16,374215,1,experience:0,132194,13,5,5,
E17Q4HunterDragon_10,10,food:129888,1,,645041,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,37181,food:510,4.2,rage1,17,424413,1,experience:0,157158,13,5,5,
E17Q4HunterDragon_11,11,food:139392,1,,731377,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,41676,food:546,4.2,rage1,18,484080,1,experience:0,199757,13,5,5,
E17Q4HunterDragon_12,12,food:148896,1,,828995,17280,fireball:E17Q4HunterDragon_fireball,cloak:cloak1|frenzySpell:talonFrenzy1|healingMark:healingMark1,47354,food:582,4.2,rage1,18,548589,1,experience:0,257248,13,5,5,
