identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E17Q4NewYearDragon_1,1,food:0,1,,52537,1292,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,780,food:45,4.2,rage2,2,2356,1,experience:0,866,4,1,5,
E17Q4NewYearDragon_2,2,food:1664,1,,69322,2258,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1033,food:60,4.2,rage2,3,4654,1,experience:0,1516,4,1,5,
E17Q4NewYearDragon_3,3,food:3985,1,,88793,3623,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1294,food:78,4.2,rage2,4,7836,1,experience:0,2438,4,1,5,
E17Q4NewYearDragon_4,4,E17Q4NewYearPurpleStone:1,1,have1PurpleDragon,115832,5256,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1438,food:90,4.2,rage2,4,11600,1,experience:0,3545,7,2,5,
E17Q4NewYearDragon_5,5,food:7984,1,,125871,6231,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1569,food:102,4.2,rage2,5,16590,1,experience:0,4185,7,2,5,
E17Q4NewYearDragon_6,6,food:11177,1,,140314,7342,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1752,food:116,4.2,rage2,5,23306,1,experience:0,5199,7,2,5,
E17Q4NewYearDragon_7,7,E17Q4NewYearBlueStone:1,1,have1BlueDragon,160258,8957,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,1999,food:131,4.2,rage2,6,29338,1,experience:0,6778,10,3,5,
E17Q4NewYearDragon_8,8,food:17852,1,,184427,11003,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,2286,food:146,4.2,rage2,6,36908,1,experience:0,8918,10,3,5,
E17Q4NewYearDragon_9,9,food:22620,1,,225477,14794,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1,2774,food:168,4.2,rage2,7,52226,1,experience:0,13239,10,3,5,
E17Q4NewYearDragon_10,10,E17Q4NewYearOrangeStone:1,1,haveOrangeEpic,290093,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01,3065,food:192,4.2,rage2,8,66105,1,experience:0,18824,13,4,5,
E17Q4NewYearDragon_11,11,food:37700,1,,356614,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01,3831,food:258,4.2,rage2,10,117011,1,experience:0,28958,13,4,5,
E17Q4NewYearDragon_12,12,food:51005,1,,527618,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01,5638,food:330,4.2,rage2,12,167875,1,experience:0,62985,13,4,5,
E17Q4NewYearDragon_13,13,E17Q4NewYearGreenStone:1,1,have2GreenEpic,603216,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,6371,food:402,4.2,rage2,14,216549,1,experience:0,81371,17,5,5,
E17Q4NewYearDragon_14,14,food:77616,1,,791146,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,7344,food:456,4.2,rage2,15,262675,1,experience:0,123032,17,5,5,
E17Q4NewYearDragon_15,15,food:87596,1,,886931,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,8366,food:510,4.2,rage2,17,318309,1,experience:0,157158,17,5,5,
E17Q4NewYearDragon_16,16,food:97575,1,,1139868,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,10655,food:564,4.2,rage2,18,385363,1,experience:0,257248,17,5,5,
E17Q4NewYearDragon_17,17,E17Q4NewYearGoldStone:1,1,haveGoldLegendary,1299136,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,12087,food:618,4.2,rage2,18,466126,1,experience:0,332592,24,6,5,
E17Q4NewYearDragon_18,18,food:117533,1,,1666173,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,15510,food:690,4.2,rage2,18,793915,1,experience:0,547349,24,6,5,
E17Q4NewYearDragon_19,19,food:173780,1,,2080453,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,19303,food:780,4.2,rage2,18,903250,1,experience:0,850504,24,6,5,
E17Q4NewYearDragon_20,20,food:195871,1,have2LegendaryGold,2296359,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,21346,food:852,4.2,rage2,18,997014,1,experience:0,1038133,24,6,5,
E17Q4NewYearDragon_21,21,food:213543,1,,2472884,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,22987,food:906,4.2,rage2,19,1073672,1,experience:0,1203895,24,6,5,
E17Q4NewYearDragon_22,22,food:226798,1,,2598042,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,24151,food:942,4.2,rage2,19,1379669,1,experience:0,1328896,24,6,5,
E17Q4NewYearDragon_23,23,food:288201,1,,2797742,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,26007,food:978,4.2,rage2,20,1449515,1,experience:0,1541051,24,6,5,
E17Q4NewYearDragon_24,24,E17Q4NewYearPlatinumStone:1,1,havePlatinumLegendary,2939336,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,27324,food:1032,4.2,rage2,21,1560967,1,experience:0,1701014,31,7,5,
E17Q4NewYearDragon_25,25,food:315219,1,,3325501,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,30914,food:1122,4.2,rage2,23,1766079,1,experience:0,2177409,31,7,5,
E17Q4NewYearDragon_26,26,food:342238,1,,3762432,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,34977,food:1212,4.2,rage2,24,2335958,1,experience:0,2787130,31,7,5,
E17Q4NewYearDragon_27,27,food:431684,1,have2LegendaryPlatinum,4256719,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,38592,food:1302,4.2,rage2,26,2642915,1,experience:0,3479258,31,7,5,
E17Q4NewYearDragon_28,28,food:463270,1,,4363119,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,39557,food:1320,4.2,rage2,26,2708987,1,experience:0,3655402,31,7,5,
E17Q4NewYearDragon_29,29,food:469588,1,,4472174,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,40545,food:1338,4.2,rage2,27,2776711,1,experience:0,3840428,31,7,5,
E17Q4NewYearDragon_30,30,food:475905,1,,4583962,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,41559,food:1356,4.2,rage2,27,2846128,1,experience:0,4034784,31,7,5,
E17Q4NewYearDragon_31,31,E17Q4NewYearSapphireStone:1,1,haveLegendarySapphire,4698546,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,42598,food:1374,4.2,rage2,27,2917278,1,experience:0,4239073,38,8,5,
E17Q4NewYearDragon_32,32,food:488539,1,,4936381,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,44754,food:1410,4.2,rage2,28,3064962,1,experience:0,4679076,38,8,5,
E17Q4NewYearDragon_33,33,food:501174,1,,5315881,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,48196,food:1464,4.2,rage2,29,3300622,1,experience:0,5426221,38,8,5,
E17Q4NewYearDragon_34,34,food:520126,1,have2LegendarySapphire,5724547,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,51901,food:1518,4.2,rage2,30,3554405,1,experience:0,6292754,38,8,5,
E17Q4NewYearDragon_35,35,food:539078,1,,6014327,17280,flamethrower:E17Q4NewYearDragon_flamethrower,battlecry:warcry1|hurricane:mysticWind1|iceTurretResist01:iceTurretResist01|fireFlakResist01:fireFlakResist01,54529,food:1554,4.2,rage2,31,3734342,1,experience:0,6945951,38,8,5,
