identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E17Q4_Tor_1,1,E17Q4_TorShard:5,,5,50,
E17Q4_Tor_2,2,E17Q4_TorShard:3,,1,100,
E17Q4_Tor_3,3,E17Q4_TorShard:3,,1,150,
E17Q4_Tor_4,4,E17Q4_TorShard:4,,1,200,
E17Q4_Tor_5,5,E17Q4_TorShard:4,,1,250,
E17Q4_Tor_6,6,E17Q4_TorShard:4,,1,300,
E17Q4_Tor_7,7,E17Q4_TorShard:4,,1,350,
E17Q4_Tor_8,8,E17Q4_TorShard:4,,1,400,
E17Q4_Tor_9,9,E17Q4_TorShard:4,,1,450,
E17Q4_Tor_10,10,E17Q4_TorShard:5,,5,500,
E17Q4_Tor_11,11,E17Q4_TorShard:5,,2,550,
E17Q4_Tor_12,12,E17Q4_TorShard:5,,2,600,
E17Q4_Tor_13,13,E17Q4_TorShard:5,,2,650,
E17Q4_Tor_14,14,E17Q4_TorShard:5,,2,700,
E17Q4_Tor_15,15,E17Q4_TorShard:5,,2,750,
E17Q4_Tor_16,16,E17Q4_TorShard:5,,2,800,
E17Q4_Tor_17,17,E17Q4_TorShard:6,,2,850,
E17Q4_Tor_18,18,E17Q4_TorShard:6,,2,900,
E17Q4_Tor_19,19,E17Q4_TorShard:6,,2,950,
E17Q4_Tor_20,20,E17Q4_TorShard:6,,5,1000,
E17Q4_Tor_21,21,E17Q4_TorShard:6,,2,1050,
E17Q4_Tor_22,22,E17Q4_TorShard:6,,2,1100,
E17Q4_Tor_23,23,E17Q4_TorShard:6,,2,1150,
E17Q4_Tor_24,24,E17Q4_TorShard:6,,2,1200,
E17Q4_Tor_25,25,E17Q4_TorShard:6,,2,1250,
E17Q4_Tor_26,26,E17Q4_TorShard:6,,2,1300,
E17Q4_Tor_27,27,E17Q4_TorShard:7,,2,1350,
E17Q4_Tor_28,28,E17Q4_TorShard:7,,2,1400,
E17Q4_Tor_29,29,E17Q4_TorShard:7,,2,1450,
E17Q4_Tor_30,30,E17Q4_TorShard:8,,5,1500,
E17Q4_Tor_31,31,E17Q4_TorShard:8,,3,1550,
E17Q4_Tor_32,32,E17Q4_TorShard:8,,3,1600,
E17Q4_Tor_33,33,E17Q4_TorShard:8,,3,1650,
E17Q4_Tor_34,34,E17Q4_TorShard:9,,3,1700,
E17Q4_Tor_35,35,E17Q4_TorShard:9,,3,1750,
E17Q4_Tor_36,36,E17Q4_TorShard:10,,3,1800,
E17Q4_Tor_37,37,E17Q4_TorShard:10,,3,1850,
E17Q4_Tor_38,38,E17Q4_TorShard:10,,3,1900,
E17Q4_Tor_39,39,E17Q4_TorShard:11,,3,1950,
E17Q4_Tor_40,40,E17Q4_TorShard:11,,5,2000,
E17Q4_Tor_41,41,E17Q4_TorShard:12,,3,2050,
E17Q4_Tor_42,42,E17Q4_TorShard:12,,3,2100,
E17Q4_Tor_43,43,E17Q4_TorShard:13,,3,2150,
E17Q4_Tor_44,44,E17Q4_TorShard:14,,3,2200,
E17Q4_Tor_45,45,E17Q4_TorShard:14,,5,2250,
E17Q4_Tor_46,46,E17Q4_TorShard:15,,3,2300,
E17Q4_Tor_47,47,E17Q4_TorShard:15,,3,2350,
E17Q4_Tor_48,48,E17Q4_TorShard:16,,3,2400,
E17Q4_Tor_49,49,E17Q4_TorShard:17,,3,2450,
E17Q4_Tor_50,50,E17Q4_TorShard:18,,5,2500,!@#khdadimaekchglfb
