identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q1FinalDragon_1,1,food:0,1,,192692,16802,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1,12778,food:210,4.2,rage3,8,54809,1,experience:0,15449,3,4,6,
E18Q1FinalDragon_2,2,food:57600,1,,306754,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1,17756,food:322,4.2,rage3,10,122634,1,experience:0,65504,3,4,6,
E18Q1FinalDragon_3,3,E18Q1FinalDragonGreenStone:1,1,have2GreenEpic,484767,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1,27812,food:469,4.2,rage3,14,229466,1,experience:0,84626,6,5,6,
E18Q1FinalDragon_4,4,food:126000,1,,657328,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1,33314,food:553,4.2,rage3,16,342244,1,experience:0,137482,6,5,6,
E18Q1FinalDragon_5,5,food:147600,1,,756683,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1,38596,food:616,4.2,rage3,17,465988,1,experience:0,267538,6,5,6,
E18Q1FinalDragon_6,6,E18Q1FinalDragonGoldStone:1,1,haveGoldLegendary,978012,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,49538,food:700,4.2,rage3,18,665492,1,experience:0,345896,14,6,6,
E18Q1FinalDragon_7,7,food:185400,1,,1420717,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,71678,food:826,4.2,rage3,18,933488,1,experience:0,639388,14,6,6,
E18Q1FinalDragon_8,8,food:217800,1,,1756538,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,88692,food:952,4.2,rage3,18,1082546,1,experience:0,978199,14,6,6,
E18Q1FinalDragon_9,9,food:250200,1,,2036972,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,102855,food:1078,4.2,rage3,19,1255412,1,experience:0,1315512,14,6,6,
E18Q1FinalDragon_10,10,food:282600,1,have2LegendaryGold,2362158,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,119280,food:1204,4.2,rage3,21,1455891,1,experience:0,1769054,14,6,6,
E18Q1FinalDragon_11,11,food:315000,1,,2607318,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,131662,food:1288,4.2,rage3,22,1607022,1,experience:0,2155326,14,6,6,
E18Q1FinalDragon_12,12,food:336600,1,,2877960,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,145329,food:1372,4.2,rage3,24,1773847,1,experience:0,2626082,14,6,6,
E18Q1FinalDragon_13,13,food:358200,1,,3176655,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,156440,food:1456,4.2,rage3,25,1957988,1,experience:0,3120281,14,6,6,
E18Q1FinalDragon_14,14,E18Q1FinalDragonPlatinumStone:1,1,havePlatinumLegendary,3420854,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,168468,food:1519,4.2,rage3,26,2108537,1,experience:0,3618428,20,7,6,
E18Q1FinalDragon_15,15,food:396000,1,,3594001,18000,lockon:E18Q1FinalDragon_lockon,freezeSpell:ghostfireBlast1|nocturnalFissure:ghostfireWreath1|sacrifice:whiteSacrifice1|darkFlakResist01:darkFlakResist01,176997,food:1561,4.2,rage3,27,2215281,1,experience:0,3994045,20,7,6,
