identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
E18Q1GoofyDragon_01,1,piercing:0,1,,75590,2881,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1,1116,food:60,4.2,rage2,4,6589,1,experience:0,2122,
E18Q1GoofyDragon_02,2,piercing:5411,1,,81689,3321,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1,1190,food:65,4.2,rage2,4,7524,1,experience:0,2438,
E18Q1GoofyDragon_03,3,piercing:7426,1,,102707,4425,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1,1261,food:70,4.2,rage2,4,9652,1,experience:0,3245,
E18Q1GoofyDragon_04,4,piercing:8109,1,,106566,4818,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1,1323,food:75,4.2,rage2,4,12654,1,experience:0,3545,
E18Q1GoofyDragon_05,5,piercing:8813,1,,111599,5255,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1,1378,food:80,4.2,rage2,5,16048,1,experience:0,3858,
E18Q1GoofyDragon_06,6,piercing:11445,1,,115801,5712,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1,1444,food:85,4.2,rage2,5,20007,1,experience:0,4185,
E18Q1GoofyDragon_07,7,piercing:12338,1,,120227,6115,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1,1523,food:90,4.2,rage2,5,22557,1,experience:0,4563,
E18Q1GoofyDragon_08,8,piercing:13431,1,,129089,6730,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1|cloak:cloak1,1612,food:97,4.2,rage2,5,25425,1,experience:0,5199,
E18Q1GoofyDragon_09,9,piercing:16979,1,,138563,7442,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1|cloak:cloak1,1717,food:103,4.2,rage2,6,28408,1,experience:0,5949,
E18Q1GoofyDragon_10,10,piercing:18325,1,,147437,8210,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1|cloak:cloak1,1839,food:109,4.2,rage2,6,32005,1,experience:0,6778,
E18Q1GoofyDragon_11,11,piercing:19707,1,,158185,9101,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1|cloak:cloak1,1967,food:115,4.2,rage2,6,36048,1,experience:0,7779,
E18Q1GoofyDragon_12,12,piercing:23746,1,,169673,10086,flamethrower:E18Q1GoofyDragon_flamethrower,healDragon:whiteSuperRejuvenate1|kamikaze:bellyFlop1|cloak:cloak1,2103,food:122,4.2,rage2,6,53478,1,experience:0,8918,
