identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q1SorcererDragon_1,1,food:0,1,,185281,16130,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1,12287,food:180,4.2,rage3,8,48231,1,experience:0,14855,6,4,5,
E18Q1SorcererDragon_2,2,food:50688,1,,239828,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1,13893,food:216,4.2,rage3,9,68106,1,experience:0,21731,6,4,5,
E18Q1SorcererDragon_3,3,food:60192,1,,275566,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1,16080,food:258,4.2,rage3,10,109112,1,experience:0,28958,6,4,5,
E18Q1SorcererDragon_4,4,food:72864,1,,335392,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1,19469,food:312,4.2,rage3,11,168413,1,experience:0,42619,6,4,5,
E18Q1SorcererDragon_5,5,food:87120,1,,407705,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1,23665,food:366,4.2,rage3,13,230022,1,experience:0,62985,6,4,5,
E18Q1SorcererDragon_6,6,E18Q1SorcererDragonGreenStone:1,1,have2GreenEpic,466122,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1,26743,food:402,4.2,rage3,14,288732,1,experience:0,81371,10,5,5,
E18Q1SorcererDragon_7,7,food:110880,1,,611340,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1,30825,food:456,4.2,rage3,15,350234,1,experience:0,123032,10,5,5,
E18Q1SorcererDragon_8,8,food:125136,1,,685356,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1,35115,food:510,4.2,rage3,17,424413,1,experience:0,157158,10,5,5,
E18Q1SorcererDragon_9,9,food:139392,1,,880807,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1,44724,food:564,4.2,rage3,18,513817,1,experience:0,257248,10,5,5,
E18Q1SorcererDragon_10,10,E18Q1SorcererDragonGoldStone:1,1,haveGoldLegendary,1003878,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1|fireTurretResist01:fireTurretResist01,50734,food:618,4.2,rage3,18,621502,1,experience:0,332592,19,6,5,
E18Q1SorcererDragon_11,11,food:167904,1,,1213400,17280,lockon:E18Q1SorcererDragon_lockon,southernCross:summersPurification1|northernLights:northernLightsDark1|umbralSpike:solarStrike1|fireTurretResist01:fireTurretResist01,61251,food:672,4.2,rage3,18,751132,1,experience:0,485316,19,6,5,
