identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E18Q1_Terris_1,1,E18Q1_TerrisShard:5,,5,50,
E18Q1_Terris_2,2,E18Q1_TerrisShard:3,,1,100,
E18Q1_Terris_3,3,E18Q1_TerrisShard:3,,1,150,
E18Q1_Terris_4,4,E18Q1_TerrisShard:4,,1,200,
E18Q1_Terris_5,5,E18Q1_TerrisShard:4,,1,250,
E18Q1_Terris_6,6,E18Q1_TerrisShard:4,,1,300,
E18Q1_Terris_7,7,E18Q1_TerrisShard:4,,1,350,
E18Q1_Terris_8,8,E18Q1_TerrisShard:4,,1,400,
E18Q1_Terris_9,9,E18Q1_TerrisShard:4,,1,450,
E18Q1_Terris_10,10,E18Q1_TerrisShard:5,,5,500,
E18Q1_Terris_11,11,E18Q1_TerrisShard:5,,2,550,
E18Q1_Terris_12,12,E18Q1_TerrisShard:5,,2,600,
E18Q1_Terris_13,13,E18Q1_TerrisShard:5,,2,650,
E18Q1_Terris_14,14,E18Q1_TerrisShard:5,,2,700,
E18Q1_Terris_15,15,E18Q1_TerrisShard:5,,2,750,
E18Q1_Terris_16,16,E18Q1_TerrisShard:5,,2,800,
E18Q1_Terris_17,17,E18Q1_TerrisShard:6,,2,850,
E18Q1_Terris_18,18,E18Q1_TerrisShard:6,,2,900,
E18Q1_Terris_19,19,E18Q1_TerrisShard:6,,2,950,
E18Q1_Terris_20,20,E18Q1_TerrisShard:6,,5,1000,
E18Q1_Terris_21,21,E18Q1_TerrisShard:6,,2,1050,
E18Q1_Terris_22,22,E18Q1_TerrisShard:6,,2,1100,
E18Q1_Terris_23,23,E18Q1_TerrisShard:6,,2,1150,
E18Q1_Terris_24,24,E18Q1_TerrisShard:6,,2,1200,
E18Q1_Terris_25,25,E18Q1_TerrisShard:6,,2,1250,
E18Q1_Terris_26,26,E18Q1_TerrisShard:6,,2,1300,
E18Q1_Terris_27,27,E18Q1_TerrisShard:7,,2,1350,
E18Q1_Terris_28,28,E18Q1_TerrisShard:7,,2,1400,
E18Q1_Terris_29,29,E18Q1_TerrisShard:7,,2,1450,
E18Q1_Terris_30,30,E18Q1_TerrisShard:8,,5,1500,
E18Q1_Terris_31,31,E18Q1_TerrisShard:8,,3,1550,
E18Q1_Terris_32,32,E18Q1_TerrisShard:8,,3,1600,
E18Q1_Terris_33,33,E18Q1_TerrisShard:8,,3,1650,
E18Q1_Terris_34,34,E18Q1_TerrisShard:9,,3,1700,
E18Q1_Terris_35,35,E18Q1_TerrisShard:9,,3,1750,
E18Q1_Terris_36,36,E18Q1_TerrisShard:10,,3,1800,
E18Q1_Terris_37,37,E18Q1_TerrisShard:10,,3,1850,
E18Q1_Terris_38,38,E18Q1_TerrisShard:10,,3,1900,
E18Q1_Terris_39,39,E18Q1_TerrisShard:11,,3,1950,
E18Q1_Terris_40,40,E18Q1_TerrisShard:11,,5,2000,
E18Q1_Terris_41,41,E18Q1_TerrisShard:12,,3,2050,
E18Q1_Terris_42,42,E18Q1_TerrisShard:12,,3,2100,
E18Q1_Terris_43,43,E18Q1_TerrisShard:13,,3,2150,
E18Q1_Terris_44,44,E18Q1_TerrisShard:14,,3,2200,
E18Q1_Terris_45,45,E18Q1_TerrisShard:14,,5,2250,
E18Q1_Terris_46,46,E18Q1_TerrisShard:15,,3,2300,
E18Q1_Terris_47,47,E18Q1_TerrisShard:15,,3,2350,
E18Q1_Terris_48,48,E18Q1_TerrisShard:16,,3,2400,
E18Q1_Terris_49,49,E18Q1_TerrisShard:17,,3,2450,
E18Q1_Terris_50,50,E18Q1_TerrisShard:18,,5,2500,!@#bmiapggbicbmofgp
