identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q3FestiveDragon_1,1,food:0,1,,40597,1292,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1,3272,food:45,4.2,rage3,2,3142,1,experience:0,866,2,1,5,
E18Q3FestiveDragon_2,2,E18Q3FestiveDragonPurpleStone:1,1,have1PurpleDragon,53567,2258,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1,4334,food:60,4.2,rage3,3,6205,1,experience:0,1516,4,2,5,
E18Q3FestiveDragon_3,3,food:5692,1,,89507,5256,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1,6036,food:90,4.2,rage3,4,13440,1,experience:0,3545,4,2,5,
E18Q3FestiveDragon_4,4,E18Q3FestiveDragonBlueStone:1,1,have1BlueDragon,123836,8957,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1,8390,food:131,4.2,rage3,6,31482,1,experience:0,6778,6,3,5,
E18Q3FestiveDragon_5,5,food:25503,1,,151589,12131,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1,10270,food:153,4.2,rage3,7,50123,1,experience:0,10156,6,3,5,
E18Q3FestiveDragon_6,6,E18Q3FestiveDragonOrangeStone:1,1,haveOrangeEpic,185281,16130,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1,12287,food:180,4.2,rage3,8,78353,1,experience:0,14855,9,4,5,
E18Q3FestiveDragon_7,7,food:50688,1,,259289,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1,15205,food:240,4.2,rage3,9,138812,1,experience:0,25740,9,4,5,
E18Q3FestiveDragon_8,8,food:68112,1,,407705,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1,23665,food:366,4.2,rage3,13,254271,1,experience:0,62985,9,4,5,
E18Q3FestiveDragon_9,9,E18Q3FestiveDragonGreenStone:1,1,have2GreenEpic,466122,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath53,26743,food:402,4.2,rage3,14,288732,1,experience:0,81371,12,5,5,
E18Q3FestiveDragon_10,10,food:110880,1,,657997,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath58,33442,food:492,4.2,rage3,16,399775,1,experience:0,143712,12,5,5,
E18Q3FestiveDragon_11,11,food:134640,1,,880807,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath63,44724,food:582,4.2,rage3,18,548589,1,experience:0,257248,12,5,5,
E18Q3FestiveDragon_12,12,E18Q3FestiveDragonGoldStone:1,1,haveGoldLegendary,1003878,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath65|darkFlakResist01:darkFlakResist01,50734,food:618,4.2,rage3,18,621502,1,experience:0,332592,18,6,5,
E18Q3FestiveDragon_13,13,food:167904,1,,1287497,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath69|darkFlakResist01:darkFlakResist01,65104,food:690,4.2,rage3,18,796983,1,experience:0,547349,18,6,5,
E18Q3FestiveDragon_14,14,food:186912,1,,1607623,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath74|darkFlakResist01:darkFlakResist01,81022,food:780,4.2,rage3,18,906741,1,experience:0,850504,18,6,5,
E18Q3FestiveDragon_15,15,food:210672,1,have2LegendaryGold,1774459,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath78|darkFlakResist01:darkFlakResist01,89598,food:852,4.2,rage3,18,1000866,1,experience:0,1038133,18,6,5,
E18Q3FestiveDragon_16,16,food:229680,1,,1958627,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath82|darkFlakResist01:darkFlakResist01,98899,food:924,4.2,rage3,19,1104763,1,experience:0,1264916,18,6,5,
E18Q3FestiveDragon_17,17,food:248688,1,,2161892,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath86|darkFlakResist01:darkFlakResist01,109166,food:996,4.2,rage3,20,1219450,1,experience:0,1541051,18,6,5,
E18Q3FestiveDragon_18,18,E18Q3FestiveDragonPlatinumStone:1,1,havePlatinumLegendary,2271306,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath88|darkFlakResist01:darkFlakResist01,114692,food:1032,4.2,rage3,21,1701670,1,experience:0,1701014,24,7,5,
E18Q3FestiveDragon_19,19,food:368178,1,,2633944,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath94|darkFlakResist01:darkFlakResist01,133007,food:1140,4.2,rage3,23,1973403,1,experience:0,2287584,24,7,5,
E18Q3FestiveDragon_20,20,food:406048,1,,3054476,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath100|darkFlakResist01:darkFlakResist01,150423,food:1248,4.2,rage3,25,2288530,1,experience:0,3000270,24,7,5,
E18Q3FestiveDragon_21,21,food:443917,1,have2LegendaryPlatinum,3289283,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath103|darkFlakResist01:darkFlakResist01,161989,food:1302,4.2,rage3,26,2464494,1,experience:0,3479258,24,7,5,
E18Q3FestiveDragon_22,22,food:462852,1,,3371501,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath104|darkFlakResist01:darkFlakResist01,166038,food:1320,4.2,rage3,26,3089645,1,experience:0,3655402,24,7,5,
E18Q3FestiveDragon_23,23,food:573828,1,,3542153,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath106|darkFlakResist01:darkFlakResist01,174444,food:1356,4.2,rage3,27,3246057,1,experience:0,4034784,24,7,5,
E18Q3FestiveDragon_24,24,E18Q3FestiveDragonSapphireStone:1,1,haveLegendarySapphire,3630695,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath107|darkFlakResist01:darkFlakResist01,178805,food:1374,4.2,rage3,27,3327205,1,experience:0,4239073,29,8,5,
E18Q3FestiveDragon_25,25,food:596987,1,,4007557,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath111|darkFlakResist01:darkFlakResist01,197367,food:1446,4.2,rage3,29,3672602,1,experience:0,5164786,29,8,5,
E18Q3FestiveDragon_26,26,food:627865,1,have2LegendarySapphire,4423514,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath115|darkFlakResist01:darkFlakResist01,217855,food:1518,4.2,rage3,30,4739207,1,experience:0,6292754,29,8,5,
E18Q3FestiveDragon_27,27,food:770111,1,,4647435,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath117|darkFlakResist01:darkFlakResist01,228884,food:1554,4.2,rage3,31,4979123,1,experience:0,6945951,29,8,5,
E18Q3FestiveDragon_28,28,food:788161,1,,5004740,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath120|darkFlakResist01:darkFlakResist01,246482,food:1608,4.2,rage3,32,5361968,1,experience:0,8055060,29,8,5,
E18Q3FestiveDragon_29,29,E18Q3FestiveDragonGarnetStone:1,1,haveLegendaryGarnet,5258068,17280,lockon:E18Q3FestiveDragon_lockon,seekerShots:soulBarrage1|nova:deathKnell1|maleficBreath:ectoplasmicBreath122|darkFlakResist01:darkFlakResist01,258960,food:1644,4.2,rage3,32,5633412,1,experience:0,8891275,34,9,5,
