identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q3MythicHunterDragon_1,1,food:0,1,,181357,16802,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,13530,food:210,4.2,rage1,8,54809,1,experience:0,15449,3,4,6,
E18Q3MythicHunterDragon_2,2,food:57600,1,,399071,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,26059,food:427,4.2,rage1,13,177866,1,experience:0,65504,3,4,6,
E18Q3MythicHunterDragon_3,3,E18Q3MythicHunterDragonGreenStone:1,1,have2GreenEpic,456251,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,29448,food:469,4.2,rage1,14,229466,1,experience:0,84626,5,5,6,
E18Q3MythicHunterDragon_4,4,food:126000,1,,862155,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,49248,food:679,4.2,rage1,18,501720,1,experience:0,267538,5,5,6,
E18Q3MythicHunterDragon_5,5,E18Q3MythicHunterDragonGoldStone:1,1,haveGoldLegendary,982620,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,55867,food:721,4.2,rage1,18,638900,1,experience:0,345896,9,6,6,
E18Q3MythicHunterDragon_6,6,food:190800,1,,1337145,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,75895,food:826,4.2,rage1,18,933488,1,experience:0,639388,9,6,6,
E18Q3MythicHunterDragon_7,7,food:217800,1,have2LegendaryGold,1736882,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,98663,food:994,4.2,rage1,18,1137348,1,experience:0,1079659,9,6,6,
E18Q3MythicHunterDragon_8,8,food:261000,1,,2116111,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,120210,food:1162,4.2,rage1,20,1385738,1,experience:0,1602693,9,6,6,
E18Q3MythicHunterDragon_9,9,E18Q3MythicHunterDragonPlatinumStone:1,1,havePlatinumLegendary,2223207,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,126296,food:1204,4.2,rage1,21,1455891,1,experience:0,1769054,15,7,6,
E18Q3MythicHunterDragon_10,10,food:315000,1,,2453947,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,139407,food:1288,4.2,rage1,22,1607022,1,experience:0,2155326,15,7,6,
E18Q3MythicHunterDragon_11,11,food:336600,1,,2708668,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,153878,food:1372,4.2,rage1,24,1773847,1,experience:0,2626082,15,7,6,
E18Q3MythicHunterDragon_12,12,food:358200,1,,2989793,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,165642,food:1456,4.2,rage1,25,1957988,1,experience:0,3120281,15,7,6,
E18Q3MythicHunterDragon_13,13,food:379800,1,have2LegendaryPlatinum,3219628,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,178378,food:1519,4.2,rage1,26,2108537,1,experience:0,3618428,15,7,6,
E18Q3MythicHunterDragon_14,14,food:396000,1,,3467142,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,192093,food:1582,4.2,rage1,27,2270662,1,experience:0,4196175,15,7,6,
E18Q3MythicHunterDragon_15,15,E18Q3MythicHunterDragonSapphireStone:1,1,haveLegendarySapphire,3553810,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,196896,food:1603,4.2,rage1,27,2327426,1,experience:0,4408635,19,8,6,
E18Q3MythicHunterDragon_16,16,food:417600,1,,3922691,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,217335,food:1687,4.2,rage1,29,2569036,1,experience:0,5371377,19,8,6,
E18Q3MythicHunterDragon_17,17,food:439200,1,have2LegendarySapphire,4329839,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,239897,food:1771,4.2,rage1,30,2835731,1,experience:0,6544464,19,8,6,
E18Q3MythicHunterDragon_18,18,food:460800,1,,4898757,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,271421,food:1876,4.2,rage1,32,4261352,1,experience:0,8377262,19,8,6,
E18Q3MythicHunterDragon_19,19,E18Q3MythicHunterDragonGarnetStone:1,1,haveLegendaryGarnet,5146721,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,285161,food:1918,4.2,rage1,32,4477079,1,experience:0,9246926,24,9,6,
E18Q3MythicHunterDragon_20,20,food:662242,1,,5680951,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,314764,food:2002,4.2,rage1,34,4941848,1,experience:0,11266400,24,9,6,
E18Q3MythicHunterDragon_21,21,food:690931,1,have2LegendaryGarnet,6427388,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,356126,food:2107,4.2,rage1,35,5591239,1,experience:0,14421699,24,9,6,
E18Q3MythicHunterDragon_22,22,food:726792,1,,6921530,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,383508,food:2170,4.2,rage1,36,7364379,1,experience:0,16724524,24,9,6,
E18Q3MythicHunterDragon_23,23,food:915247,1,,7830994,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,433903,food:2275,4.2,rage1,38,8332101,1,experience:0,21408570,24,9,6,
E18Q3MythicHunterDragon_24,24,E18Q3MythicHunterDragonEmeraldStone:1,1,haveLegendaryEmerald,8026750,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,444750,food:2296,4.2,rage1,38,8540401,1,experience:0,22492332,30,10,6,
E18Q3MythicHunterDragon_25,25,food:967880,1,,8643872,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,478947,food:2359,4.2,rage1,39,9197066,1,experience:0,26083926,30,10,6,
E18Q3MythicHunterDragon_26,26,food:994197,1,,9541166,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,528667,food:2443,4.2,rage1,41,11868107,1,experience:0,31780557,30,10,6,
E18Q3MythicHunterDragon_27,27,food:1203298,1,,10274734,18000,fireball:E18Q3MythicHunterDragon_fireball,freezeSpell:cripplingChill1|cloak:spectralForm1|energySyphon:soulDevour1|frostbite:deathsDoor1,569316,food:2506,4.2,rage1,43,12780646,1,experience:0,36855452,30,10,6,
