identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q3MythicWarriorDragon_1,1,food:0,1,,249366,16802,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,3045,food:210,4.2,rage2,8,54809,1,experience:0,15449,3,4,6,
E18Q3MythicWarriorDragon_2,2,food:57600,1,,548722,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,5864,food:427,4.2,rage2,13,177866,1,experience:0,65504,3,4,6,
E18Q3MythicWarriorDragon_3,3,E18Q3MythicWarriorDragonGreenStone:1,1,have2GreenEpic,627345,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,6626,food:469,4.2,rage2,14,229466,1,experience:0,84626,5,5,6,
E18Q3MythicWarriorDragon_4,4,food:126000,1,,1185463,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,11081,food:679,4.2,rage2,18,501720,1,experience:0,267538,5,5,6,
E18Q3MythicWarriorDragon_5,5,E18Q3MythicWarriorDragonGoldStone:1,1,haveGoldLegendary,1351102,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,12570,food:721,4.2,rage2,18,638900,1,experience:0,345896,9,6,6,
E18Q3MythicWarriorDragon_6,6,food:190800,1,,1838574,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,17077,food:826,4.2,rage2,18,933488,1,experience:0,639388,9,6,6,
E18Q3MythicWarriorDragon_7,7,food:217800,1,have2LegendaryGold,2388213,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,22200,food:994,4.2,rage2,18,1137348,1,experience:0,1079659,9,6,6,
E18Q3MythicWarriorDragon_8,8,food:261000,1,,2909652,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,27048,food:1162,4.2,rage2,20,1385738,1,experience:0,1602693,9,6,6,
E18Q3MythicWarriorDragon_9,9,E18Q3MythicWarriorDragonPlatinumStone:1,1,havePlatinumLegendary,3056910,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,28417,food:1204,4.2,rage2,21,1455891,1,experience:0,1769054,15,7,6,
E18Q3MythicWarriorDragon_10,10,food:315000,1,,3374177,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,31367,food:1288,4.2,rage2,22,1607022,1,experience:0,2155326,15,7,6,
E18Q3MythicWarriorDragon_11,11,food:336600,1,,3724419,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,34623,food:1372,4.2,rage2,24,1773847,1,experience:0,2626082,15,7,6,
E18Q3MythicWarriorDragon_12,12,food:358200,1,,4110965,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,37270,food:1456,4.2,rage2,25,1957988,1,experience:0,3120281,15,7,6,
E18Q3MythicWarriorDragon_13,13,food:379800,1,have2LegendaryPlatinum,4426988,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,40135,food:1519,4.2,rage2,26,2108537,1,experience:0,3618428,15,7,6,
E18Q3MythicWarriorDragon_14,14,food:396000,1,,4767321,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,43221,food:1582,4.2,rage2,27,2270662,1,experience:0,4196175,15,7,6,
E18Q3MythicWarriorDragon_15,15,E18Q3MythicWarriorDragonSapphireStone:1,1,haveLegendarySapphire,4886488,18000,flamethrower:E18Q3MythicWarriorDragon_flamethrower,dodge:mystify1|heatedPiercingBreath:inferno1|fluxSpell:harrowingBolt1|elementalResist01:elementalResist01,44302,food:1603,4.2,rage2,27,2327426,1,experience:0,4408635,19,8,6,
