identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q4MythicWarriorDragon_1,1,food:0,1,,249366,16802,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1,3045,food:210,4.2,rage2,8,54809,1,experience:0,15449,3,4,6,
E18Q4MythicWarriorDragon_2,2,food:57600,1,,548722,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1,5864,food:427,4.2,rage2,13,177866,1,experience:0,65504,3,4,6,
E18Q4MythicWarriorDragon_3,3,E18Q4MythicWarriorDragonGreenStone:1,1,have2GreenEpic,627345,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1,6626,food:469,4.2,rage2,14,229466,1,experience:0,84626,5,5,6,
E18Q4MythicWarriorDragon_4,4,food:126000,1,,1185463,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1,11081,food:679,4.2,rage2,18,501720,1,experience:0,267538,5,5,6,
E18Q4MythicWarriorDragon_5,5,E18Q4MythicWarriorDragonGoldStone:1,1,haveGoldLegendary,1351102,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,12570,food:721,4.2,rage2,18,638900,1,experience:0,345896,9,6,6,
E18Q4MythicWarriorDragon_6,6,food:190800,1,,1838574,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,17077,food:826,4.2,rage2,18,933488,1,experience:0,639388,9,6,6,
E18Q4MythicWarriorDragon_7,7,food:217800,1,have2LegendaryGold,2388213,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,22200,food:994,4.2,rage2,18,1137348,1,experience:0,1079659,9,6,6,
E18Q4MythicWarriorDragon_8,8,food:261000,1,,2909652,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,27048,food:1162,4.2,rage2,20,1385738,1,experience:0,1602693,9,6,6,
E18Q4MythicWarriorDragon_9,9,E18Q4MythicWarriorDragonPlatinumStone:1,1,havePlatinumLegendary,3056910,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,28417,food:1204,4.2,rage2,21,1455891,1,experience:0,1769054,13,7,6,
E18Q4MythicWarriorDragon_10,10,food:315000,1,,4110965,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,37270,food:1456,4.2,rage2,25,1957988,1,experience:0,3120281,13,7,6,
E18Q4MythicWarriorDragon_11,11,food:379800,1,have2LegendaryPlatinum,4426988,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,40135,food:1519,4.2,rage2,26,2108537,1,experience:0,3618428,13,7,6,
E18Q4MythicWarriorDragon_12,12,food:396000,1,,4767321,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,43221,food:1582,4.2,rage2,27,2270662,1,experience:0,4196175,13,7,6,
E18Q4MythicWarriorDragon_13,13,E18Q4MythicWarriorDragonSapphireStone:1,1,haveLegendarySapphire,4886488,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,44302,food:1603,4.2,rage2,27,2327426,1,experience:0,4408635,17,8,6,
E18Q4MythicWarriorDragon_14,14,food:417600,1,,5393700,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,48901,food:1687,4.2,rage2,29,2569036,1,experience:0,5371377,17,8,6,
E18Q4MythicWarriorDragon_15,15,food:439200,1,have2LegendarySapphire,5953529,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,53977,food:1771,4.2,rage2,30,2835731,1,experience:0,6544464,17,8,6,
E18Q4MythicWarriorDragon_16,16,food:460800,1,,6735791,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,61070,food:1876,4.2,rage2,32,3208363,1,experience:0,8377262,17,8,6,
E18Q4MythicWarriorDragon_17,17,E18Q4MythicWarriorDragonGarnetStone:1,1,haveLegendaryGarnet,7076741,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,64162,food:1918,4.2,rage2,32,3370783,1,experience:0,9246926,21,9,6,
E18Q4MythicWarriorDragon_18,18,food:498600,1,,7811307,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,70822,food:2002,4.2,rage2,34,4941848,1,experience:0,11266400,21,9,6,
E18Q4MythicWarriorDragon_19,19,food:690931,1,have2LegendaryGarnet,8837659,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,80129,food:2107,4.2,rage2,35,5591239,1,experience:0,14421699,21,9,6,
E18Q4MythicWarriorDragon_20,20,food:726792,1,,10767617,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,97629,food:2275,4.2,rage2,38,6812357,1,experience:0,21408570,21,9,6,
E18Q4MythicWarriorDragon_21,21,E18Q4MythicWarriorDragonEmeraldStone:1,1,haveLegendaryEmerald,11036781,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,100069,food:2296,4.2,rage2,38,6982664,1,experience:0,22492332,25,10,6,
E18Q4MythicWarriorDragon_22,22,food:791343,1,,14127760,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,128097,food:2506,4.2,rage2,43,10932407,1,experience:0,36855452,25,10,6,
E18Q4MythicWarriorDragon_23,23,food:1055604,1,have2LegendaryEmerald,14842927,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,134581,food:2548,4.2,rage2,44,11485856,1,experience:0,40681366,25,10,6,
E18Q4MythicWarriorDragon_24,24,food:1073148,1,,15984133,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,144929,food:2611,4.2,rage2,45,12369003,1,experience:0,47177614,25,10,6,
E18Q4MythicWarriorDragon_25,25,E18Q4MythicWarriorDragonObsidianStone:1,1,haveLegendaryObsidian,16793282,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,152266,food:2653,4.2,rage2,46,12995179,1,experience:0,52075152,34,11,6,
E18Q4MythicWarriorDragon_26,26,food:1117010,1,,17643415,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,159975,food:2695,4.2,rage2,47,15961243,1,experience:0,57481153,34,11,6,
E18Q4MythicWarriorDragon_27,27,food:1326363,1,,18536581,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,168073,food:2737,4.2,rage2,48,16769279,1,experience:0,63448123,34,11,6,
E18Q4MythicWarriorDragon_28,28,food:1346874,1,,19474973,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,176582,food:2779,4.2,rage2,49,17618220,1,experience:0,70034832,34,11,6,
E18Q4MythicWarriorDragon_29,29,food:1367385,1,have2LegendaryObsidian,20972366,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,190159,food:2842,4.2,rage2,52,18972887,1,experience:0,81218799,34,11,6,
E18Q4MythicWarriorDragon_30,30,food:1398151,1,,23149486,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,209900,food:2926,4.2,rage2,56,20942504,1,experience:0,98446448,34,11,6,
E18Q4MythicWarriorDragon_31,31,food:1439172,1,haveMythicObsidian,24929409,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,226039,food:2989,4.2,rage2,59,22552777,1,experience:0,112034547,34,11,6,
E18Q4MythicWarriorDragon_32,32,food:1469938,1,,26846211,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,243419,food:3052,4.2,rage2,61,24286867,1,experience:0,123927305,34,11,6,
E18Q4MythicWarriorDragon_33,33,food:1500704,1,,28910392,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,262136,food:3115,4.2,rage2,62,26154291,1,experience:0,135066359,34,11,6,
E18Q4MythicWarriorDragon_34,34,E18Q4MythicWarriorDragonHarbingerStone:1,1,haveLegendaryHarbinger,30373972,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,275406,food:3157,4.2,rage2,63,27478348,1,experience:0,142660489,44,12,6,
E18Q4MythicWarriorDragon_35,35,food:1551981,1,,34365297,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,311597,food:3262,4.2,rage2,66,31089215,1,experience:0,162234143,44,12,6,
E18Q4MythicWarriorDragon_36,36,food:1603258,1,,37007645,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,335556,food:3325,4.2,rage2,67,33479671,1,experience:0,174381762,44,12,6,
E18Q4MythicWarriorDragon_37,37,food:1634024,1,have2LegendaryHarbinger,39853126,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,361356,food:3388,4.2,rage2,69,36053935,1,experience:0,186831950,44,12,6,
E18Q4MythicWarriorDragon_38,38,food:1664791,1,,42917401,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,389141,food:3451,4.2,rage2,70,38826135,1,experience:0,199584707,44,12,6,
E18Q4MythicWarriorDragon_39,39,food:1695557,1,,45090069,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,408841,food:3493,4.2,rage2,71,40791702,1,experience:0,208254640,44,12,6,
E18Q4MythicWarriorDragon_40,40,food:1716067,1,haveMythicHarbinger,47372719,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,429539,food:3535,4.2,rage2,72,42856770,1,experience:0,217059048,44,12,6,
E18Q4MythicWarriorDragon_41,41,food:1736578,1,,56311176,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,510586,food:3682,4.2,rage2,77,50943209,1,experience:0,248933469,44,12,6,
E18Q4MythicWarriorDragon_42,42,food:1808366,1,,59161876,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,536435,food:3724,4.2,rage2,79,53522204,1,experience:0,258343015,44,12,6,
E18Q4MythicWarriorDragon_43,43,food:1828877,1,,62156908,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,563592,food:3766,4.2,rage2,80,56231757,1,experience:0,267887038,44,12,6,
E18Q4MythicWarriorDragon_44,44,E18Q4MythicWarriorDragonVanguardStone:1,1,haveLegendaryVanguard,65303553,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,592123,food:3808,4.2,rage2,81,59078484,1,experience:0,277565535,55,13,6,
E18Q4MythicWarriorDragon_45,45,food:1869898,1,,68609512,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,622099,food:3850,4.2,rage2,82,62069323,1,experience:0,287378508,55,13,6,
E18Q4MythicWarriorDragon_46,46,food:1890409,1,,72082842,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,653593,food:3892,4.2,rage2,83,65211579,1,experience:0,297325956,55,13,6,
E18Q4MythicWarriorDragon_47,47,food:1910920,1,,73884903,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,669933,food:3913,4.2,rage2,84,66841864,1,experience:0,302350108,55,13,6,
E18Q4MythicWarriorDragon_48,48,food:1921175,1,have2LegendaryVanguard,77625313,18000,flamethrower:E18Q4MythicWarriorDragon_flamethrower,berserk:rampage1|dreadfulRoar:timeStop1|alterFate:alterFate1|elementalResist01:elementalResist01,703848,food:3955,4.2,rage2,85,70225721,1,experience:0,312499270,55,13,6,
