identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q4SorcererDragon_1,1,food:0,1,,185281,16130,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1,12287,food:180,4.2,rage3,8,48231,1,experience:0,14855,3,4,5,
E18Q4SorcererDragon_2,2,food:50688,1,,407705,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1,23665,food:366,4.2,rage3,13,156522,1,experience:0,62985,3,4,5,
E18Q4SorcererDragon_3,3,E18Q4SorcererDragonGreenStone:1,1,have2GreenEpic,466122,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1,26743,food:402,4.2,rage3,14,201930,1,experience:0,81371,5,5,5,
E18Q4SorcererDragon_4,4,food:110880,1,,880807,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1,44724,food:582,4.2,rage3,18,441514,1,experience:0,257248,5,5,5,
E18Q4SorcererDragon_5,5,E18Q4SorcererDragonGoldStone:1,1,haveGoldLegendary,1003878,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1,50734,food:618,4.2,rage3,18,562232,1,experience:0,332592,9,6,5,
E18Q4SorcererDragon_6,6,food:167904,1,,1366074,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1|darkFlakResist01:darkFlakResist01,68921,food:708,4.2,rage3,18,821470,1,experience:0,614796,9,6,5,
E18Q4SorcererDragon_7,7,food:191664,1,have2LegendaryGold,1774459,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1|darkFlakResist01:darkFlakResist01,89598,food:852,4.2,rage3,18,1000866,1,experience:0,1038133,9,6,5,
E18Q4SorcererDragon_8,8,food:229680,1,,2161892,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1|darkFlakResist01:darkFlakResist01,109166,food:996,4.2,rage3,20,1219450,1,experience:0,1541051,9,6,5,
E18Q4SorcererDragon_9,9,E18Q4SorcererDragonPlatinumStone:1,1,havePlatinumLegendary,2271306,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1|darkFlakResist01:darkFlakResist01,114692,food:1032,4.2,rage3,21,1281184,1,experience:0,1701014,15,7,5,
E18Q4SorcererDragon_10,10,food:277200,1,,2507037,17280,lockon:E18Q4SorcererDragon_lockon,seekerShots:spearSalvo1|freezeSpell:staticBlast1|shadowApophet:spiritualGuardian1|darkFlakResist01:darkFlakResist01,126598,food:1104,4.2,rage3,22,1414179,1,experience:0,2072429,15,7,5,
