identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E18Q4WarriorDragon_1,1,food:0,1,,239775,16130,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1,2927,food:180,4.2,rage2,8,48231,1,experience:0,14855,3,4,5,
E18Q4WarriorDragon_2,2,food:50688,1,,527618,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1,5638,food:366,4.2,rage2,13,156522,1,experience:0,62985,3,4,5,
E18Q4WarriorDragon_3,3,E18Q4WarriorDragonGreenStone:1,1,have2GreenEpic,603216,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1,6371,food:402,4.2,rage2,14,201930,1,experience:0,81371,5,5,5,
E18Q4WarriorDragon_4,4,food:110880,1,,1139868,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1,10655,food:582,4.2,rage2,18,441514,1,experience:0,257248,5,5,5,
E18Q4WarriorDragon_5,5,E18Q4WarriorDragonGoldStone:1,1,haveGoldLegendary,1299136,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1,12087,food:618,4.2,rage2,18,562232,1,experience:0,332592,9,6,5,
E18Q4WarriorDragon_6,6,food:167904,1,,1767860,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,16420,food:708,4.2,rage2,18,821470,1,experience:0,614796,9,6,5,
E18Q4WarriorDragon_7,7,food:191664,1,have2LegendaryGold,2296359,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,21346,food:852,4.2,rage2,18,1000866,1,experience:0,1038133,9,6,5,
E18Q4WarriorDragon_8,8,food:229680,1,,2797742,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,26007,food:996,4.2,rage2,20,1219450,1,experience:0,1541051,9,6,5,
E18Q4WarriorDragon_9,9,E18Q4WarriorDragonPlatinumStone:1,1,havePlatinumLegendary,2939336,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,27324,food:1032,4.2,rage2,21,1281184,1,experience:0,1701014,15,7,5,
E18Q4WarriorDragon_10,10,food:277200,1,,3244401,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,30160,food:1104,4.2,rage2,22,1414179,1,experience:0,2072429,15,7,5,
E18Q4WarriorDragon_11,11,food:296208,1,,3581172,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,33291,food:1176,4.2,rage2,24,1560985,1,experience:0,2525078,15,7,5,
E18Q4WarriorDragon_12,12,food:315216,1,,3952851,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,35836,food:1248,4.2,rage2,25,1723030,1,experience:0,3000270,15,7,5,
E18Q4WarriorDragon_13,13,food:334224,1,have2LegendaryPlatinum,4256719,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,38592,food:1302,4.2,rage2,26,1855513,1,experience:0,3479258,15,7,5,
E18Q4WarriorDragon_14,14,food:348480,1,,4583962,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,41559,food:1356,4.2,rage2,27,1998183,1,experience:0,4034784,15,7,5,
E18Q4WarriorDragon_15,15,E18Q4WarriorDragonSapphireStone:1,1,haveLegendarySapphire,4698546,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,42598,food:1374,4.2,rage2,27,2048135,1,experience:0,4239073,19,8,5,
E18Q4WarriorDragon_16,16,food:367488,1,,5186250,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,47020,food:1446,4.2,rage2,29,2260751,1,experience:0,5164786,19,8,5,
E18Q4WarriorDragon_17,17,food:386496,1,have2LegendarySapphire,5724547,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,51901,food:1518,4.2,rage2,30,2495443,1,experience:0,6292754,19,8,5,
E18Q4WarriorDragon_18,18,food:405504,1,,6476722,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,58721,food:1608,4.2,rage2,32,3749990,1,experience:0,8055060,19,8,5,
E18Q4WarriorDragon_19,19,E18Q4WarriorDragonGarnetStone:1,1,haveLegendaryGarnet,6804559,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,61694,food:1644,4.2,rage2,32,3939829,1,experience:0,8891275,24,9,5,
E18Q4WarriorDragon_20,20,food:582773,1,,7510872,17280,flamethrower:E18Q4WarriorDragon_flamethrower,chargedShield:stormShield1|frostbite:pillagingFlames1|healDragon:regenerate1|fireFlakResist01:fireFlakResist01,68098,food:1716,4.2,rage2,34,4348826,1,experience:0,10833077,24,9,5,
