identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E18Q4_Bjorn_1,1,E18Q4_BjornShard:5,,5,50,
E18Q4_Bjorn_2,2,E18Q4_BjornShard:3,,1,100,
E18Q4_Bjorn_3,3,E18Q4_BjornShard:3,,1,150,
E18Q4_Bjorn_4,4,E18Q4_BjornShard:4,,1,200,
E18Q4_Bjorn_5,5,E18Q4_BjornShard:4,,1,250,
E18Q4_Bjorn_6,6,E18Q4_BjornShard:4,,1,300,
E18Q4_Bjorn_7,7,E18Q4_BjornShard:4,,1,350,
E18Q4_Bjorn_8,8,E18Q4_BjornShard:4,,1,400,
E18Q4_Bjorn_9,9,E18Q4_BjornShard:4,,1,450,
E18Q4_Bjorn_10,10,E18Q4_BjornShard:5,,5,500,
E18Q4_Bjorn_11,11,E18Q4_BjornShard:5,,2,550,
E18Q4_Bjorn_12,12,E18Q4_BjornShard:5,,2,600,
E18Q4_Bjorn_13,13,E18Q4_BjornShard:5,,2,650,
E18Q4_Bjorn_14,14,E18Q4_BjornShard:5,,2,700,
E18Q4_Bjorn_15,15,E18Q4_BjornShard:5,,2,750,
E18Q4_Bjorn_16,16,E18Q4_BjornShard:5,,2,800,
E18Q4_Bjorn_17,17,E18Q4_BjornShard:6,,2,850,
E18Q4_Bjorn_18,18,E18Q4_BjornShard:6,,2,900,
E18Q4_Bjorn_19,19,E18Q4_BjornShard:6,,2,950,
E18Q4_Bjorn_20,20,E18Q4_BjornShard:6,,5,1000,
E18Q4_Bjorn_21,21,E18Q4_BjornShard:6,,2,1050,
E18Q4_Bjorn_22,22,E18Q4_BjornShard:6,,2,1100,
E18Q4_Bjorn_23,23,E18Q4_BjornShard:6,,2,1150,
E18Q4_Bjorn_24,24,E18Q4_BjornShard:6,,2,1200,
E18Q4_Bjorn_25,25,E18Q4_BjornShard:6,,2,1250,
E18Q4_Bjorn_26,26,E18Q4_BjornShard:6,,2,1300,
E18Q4_Bjorn_27,27,E18Q4_BjornShard:7,,2,1350,
E18Q4_Bjorn_28,28,E18Q4_BjornShard:7,,2,1400,
E18Q4_Bjorn_29,29,E18Q4_BjornShard:7,,2,1450,
E18Q4_Bjorn_30,30,E18Q4_BjornShard:8,,5,1500,
E18Q4_Bjorn_31,31,E18Q4_BjornShard:8,,3,1550,
E18Q4_Bjorn_32,32,E18Q4_BjornShard:8,,3,1600,
E18Q4_Bjorn_33,33,E18Q4_BjornShard:8,,3,1650,
E18Q4_Bjorn_34,34,E18Q4_BjornShard:9,,3,1700,
E18Q4_Bjorn_35,35,E18Q4_BjornShard:9,,3,1750,
E18Q4_Bjorn_36,36,E18Q4_BjornShard:10,,3,1800,
E18Q4_Bjorn_37,37,E18Q4_BjornShard:10,,3,1850,
E18Q4_Bjorn_38,38,E18Q4_BjornShard:10,,3,1900,
E18Q4_Bjorn_39,39,E18Q4_BjornShard:11,,3,1950,
E18Q4_Bjorn_40,40,E18Q4_BjornShard:11,,5,2000,
E18Q4_Bjorn_41,41,E18Q4_BjornShard:12,,3,2050,
E18Q4_Bjorn_42,42,E18Q4_BjornShard:12,,3,2100,
E18Q4_Bjorn_43,43,E18Q4_BjornShard:13,,3,2150,
E18Q4_Bjorn_44,44,E18Q4_BjornShard:14,,3,2200,
E18Q4_Bjorn_45,45,E18Q4_BjornShard:14,,5,2250,
E18Q4_Bjorn_46,46,E18Q4_BjornShard:15,,3,2300,
E18Q4_Bjorn_47,47,E18Q4_BjornShard:15,,3,2350,
E18Q4_Bjorn_48,48,E18Q4_BjornShard:16,,3,2400,
E18Q4_Bjorn_49,49,E18Q4_BjornShard:17,,3,2450,
E18Q4_Bjorn_50,50,E18Q4_BjornShard:18,,5,2500,!@#adekblbgododmfap
