identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E19Q1DiscountDragon_1,1,food:0,1,,239775,16130,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1,2927,food:180,4.2,rage2,8,48231,1,experience:0,14855,3,4,5,
E19Q1DiscountDragon_2,2,food:50688,1,,527618,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1,5638,food:366,4.2,rage2,13,156522,1,experience:0,62985,3,4,5,
E19Q1DiscountDragon_3,3,E19Q1DiscountDragonGreenStone:1,1,have2GreenEpic,603216,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1,6371,food:402,4.2,rage2,14,201930,1,experience:0,81371,5,5,5,
E19Q1DiscountDragon_4,4,food:110880,1,,1139868,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1,10655,food:582,4.2,rage2,18,441514,1,experience:0,257248,5,5,5,
E19Q1DiscountDragon_5,5,E19Q1DiscountDragonGoldStone:1,1,haveGoldLegendary,1299136,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,12087,food:618,4.2,rage6,18,562232,1,experience:0,332592,9,6,5,
E19Q1DiscountDragon_6,6,food:167904,1,,1767860,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,16420,food:708,4.2,rage6,18,821470,1,experience:0,614796,9,6,5,
E19Q1DiscountDragon_7,7,food:191664,1,have2LegendaryGold,2296359,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,21346,food:852,4.2,rage6,18,1000866,1,experience:0,1038133,9,6,5,
E19Q1DiscountDragon_8,8,food:229680,1,,2797742,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,26007,food:996,4.2,rage6,20,1219450,1,experience:0,1541051,9,6,5,
E19Q1DiscountDragon_9,9,E19Q1DiscountDragonPlatinumStone:1,1,havePlatinumLegendary,2939336,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,27324,food:1032,4.2,rage6,21,1281184,1,experience:0,1701014,13,7,5,
E19Q1DiscountDragon_10,10,food:277200,1,,3952851,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,35836,food:1248,4.2,rage6,25,1723030,1,experience:0,3000270,13,7,5,
E19Q1DiscountDragon_11,11,food:334224,1,have2LegendaryPlatinum,4256719,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,38592,food:1302,4.2,rage6,26,1855513,1,experience:0,3479258,13,7,5,
E19Q1DiscountDragon_12,12,food:348480,1,,4698546,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,42598,food:1374,4.2,rage6,27,2048135,1,experience:0,4239073,13,7,5,
E19Q1DiscountDragon_13,13,E19Q1DiscountDragonSapphireStone:1,1,haveLegendarySapphire,4936381,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,44754,food:1410,4.2,rage6,28,2151820,1,experience:0,4679076,17,8,5,
E19Q1DiscountDragon_14,14,food:376992,1,,5186250,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,47020,food:1446,4.2,rage6,29,2260751,1,experience:0,5164786,17,8,5,
E19Q1DiscountDragon_15,15,food:386496,1,have2LegendarySapphire,5724547,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,51901,food:1518,4.2,rage6,30,2495443,1,experience:0,6292754,17,8,5,
E19Q1DiscountDragon_16,16,food:405504,1,,6804559,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,61694,food:1644,4.2,rage6,32,2966289,1,experience:0,8891275,17,8,5,
E19Q1DiscountDragon_17,17,E19Q1DiscountDragonGarnetStone:1,1,haveLegendaryGarnet,7148994,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,64817,food:1680,4.2,rage6,33,3116455,1,experience:0,9814178,21,9,5,
E19Q1DiscountDragon_18,18,food:448272,1,,7510872,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,68098,food:1716,4.2,rage6,34,4348826,1,experience:0,10833077,21,9,5,
E19Q1DiscountDragon_19,19,food:608019,1,have2LegendaryGarnet,8497749,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,77047,food:1806,4.2,rage6,35,4920290,1,experience:0,13867018,21,9,5,
E19Q1DiscountDragon_20,20,food:639577,1,,11149484,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,101091,food:2004,4.2,rage6,39,6455816,1,experience:0,23872287,21,9,5,
E19Q1DiscountDragon_21,21,E19Q1DiscountDragonEmeraldStone:1,1,haveLegendaryEmerald,12306870,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,111586,food:2076,4.2,rage6,41,7126007,1,experience:0,29085711,25,10,5,
E19Q1DiscountDragon_22,22,food:734251,1,,13584384,17280,flamethrower:E19Q1DiscountDragon_flamethrower,heatBlastShield:purifyingAegis1|berserk:rampage1|invincibleSpell:protectiveTalisman1|frostbite:shrineGuardian1,123170,food:2148,4.2,rage6,43,9620518,1,experience:0,35437935,25,10,5,
