identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E19Q1WarriorDragon_1,1,food:0,1,,239775,16130,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1,2927,food:180,4.2,rage2,8,48231,1,experience:0,14855,3,4,5,
E19Q1WarriorDragon_2,2,food:50688,1,,527618,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1,5638,food:366,4.2,rage2,13,156522,1,experience:0,62985,3,4,5,
E19Q1WarriorDragon_3,3,E19Q1WarriorDragonGreenStone:1,1,have2GreenEpic,603216,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1,6371,food:402,4.2,rage2,14,201930,1,experience:0,81371,5,5,5,
E19Q1WarriorDragon_4,4,food:110880,1,,1139868,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1,10655,food:582,4.2,rage2,18,441514,1,experience:0,257248,5,5,5,
E19Q1WarriorDragon_5,5,E19Q1WarriorDragonGoldStone:1,1,haveGoldLegendary,1299136,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,12087,food:618,4.2,rage2,18,562232,1,experience:0,332592,9,6,5,
E19Q1WarriorDragon_6,6,food:167904,1,,1767860,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,16420,food:708,4.2,rage2,18,821470,1,experience:0,614796,9,6,5,
E19Q1WarriorDragon_7,7,food:191664,1,have2LegendaryGold,2296359,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,21346,food:852,4.2,rage2,18,1000866,1,experience:0,1038133,9,6,5,
E19Q1WarriorDragon_8,8,food:229680,1,,2797742,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,26007,food:996,4.2,rage2,20,1219450,1,experience:0,1541051,9,6,5,
E19Q1WarriorDragon_9,9,E19Q1WarriorDragonPlatinumStone:1,1,havePlatinumLegendary,2939336,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,27324,food:1032,4.2,rage2,21,1281184,1,experience:0,1701014,13,7,5,
E19Q1WarriorDragon_10,10,food:277200,1,,3952851,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,35836,food:1248,4.2,rage2,25,1723030,1,experience:0,3000270,13,7,5,
E19Q1WarriorDragon_11,11,food:334224,1,have2LegendaryPlatinum,4256719,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,38592,food:1302,4.2,rage2,26,1855513,1,experience:0,3479258,13,7,5,
E19Q1WarriorDragon_12,12,food:348480,1,,4698546,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,42598,food:1374,4.2,rage2,27,2048135,1,experience:0,4239073,13,7,5,
E19Q1WarriorDragon_13,13,E19Q1WarriorDragonSapphireStone:1,1,haveLegendarySapphire,4936381,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,44754,food:1410,4.2,rage2,28,2151820,1,experience:0,4679076,17,8,5,
E19Q1WarriorDragon_14,14,food:376992,1,,5186250,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,47020,food:1446,4.2,rage2,29,2260751,1,experience:0,5164786,17,8,5,
E19Q1WarriorDragon_15,15,food:386496,1,have2LegendarySapphire,5724547,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,51901,food:1518,4.2,rage2,30,2495443,1,experience:0,6292754,17,8,5,
E19Q1WarriorDragon_16,16,food:405504,1,,6804559,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,61694,food:1644,4.2,rage2,32,2966289,1,experience:0,8891275,17,8,5,
E19Q1WarriorDragon_17,17,E19Q1WarriorDragonGarnetStone:1,1,haveLegendaryGarnet,7148994,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,64817,food:1680,4.2,rage2,33,3116455,1,experience:0,9814178,21,9,5,
E19Q1WarriorDragon_18,18,food:448272,1,,7510872,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,68098,food:1716,4.2,rage2,34,4348826,1,experience:0,10833077,21,9,5,
E19Q1WarriorDragon_19,19,food:608019,1,have2LegendaryGarnet,8497749,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,77047,food:1806,4.2,rage2,35,4920290,1,experience:0,13867018,21,9,5,
E19Q1WarriorDragon_20,20,food:639577,1,,11149484,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,101091,food:2004,4.2,rage2,39,6455816,1,experience:0,23872287,21,9,5,
E19Q1WarriorDragon_21,21,E19Q1WarriorDragonEmeraldStone:1,1,haveLegendaryEmerald,12306870,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,111586,food:2076,4.2,rage2,41,7126007,1,experience:0,29085711,25,10,5,
E19Q1WarriorDragon_22,22,food:734251,1,,13584384,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,123170,food:2148,4.2,rage2,43,9620518,1,experience:0,35437935,25,10,5,
E19Q1WarriorDragon_23,23,food:928931,1,have2LegendaryEmerald,14272046,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,129405,food:2184,4.2,rage2,44,10107553,1,experience:0,39116698,25,10,5,
E19Q1WarriorDragon_24,24,food:944371,1,,16551058,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,150070,food:2292,4.2,rage2,47,11721647,1,experience:0,52607048,25,10,5,
E19Q1WarriorDragon_25,25,E19Q1WarriorDragonObsidianStone:1,1,haveLegendaryObsidian,16964822,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,153822,food:2310,4.2,rage2,47,12014684,1,experience:0,55270340,34,11,5,
E19Q1WarriorDragon_26,26,food:998408,1,,17388928,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,157667,food:2328,4.2,rage2,48,14397039,1,experience:0,58068192,34,11,5,
E19Q1WarriorDragon_27,27,food:1176224,1,,17823636,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,161609,food:2346,4.2,rage2,48,14756966,1,experience:0,61007811,34,11,5,
E19Q1WarriorDragon_28,28,food:1185249,1,,18725935,17280,flamethrower:E19Q1WarriorDragon_flamethrower,nova:eruption1|cosmicEnergy:risingTemper1|crystallineShield:moltenBarrier1|fireFlakResist01:fireFlakResist01,169790,food:2382,4.2,rage2,49,15504034,1,experience:0,67341184,34,11,5,
