identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E19Q1_Kazane_1,1,E19Q1_KazaneShard:5,,5,50,
E19Q1_Kazane_2,2,E19Q1_KazaneShard:3,,1,100,
E19Q1_Kazane_3,3,E19Q1_KazaneShard:3,,1,150,
E19Q1_Kazane_4,4,E19Q1_KazaneShard:4,,1,200,
E19Q1_Kazane_5,5,E19Q1_KazaneShard:4,,1,250,
E19Q1_Kazane_6,6,E19Q1_KazaneShard:4,,1,300,
E19Q1_Kazane_7,7,E19Q1_KazaneShard:4,,1,350,
E19Q1_Kazane_8,8,E19Q1_KazaneShard:4,,1,400,
E19Q1_Kazane_9,9,E19Q1_KazaneShard:4,,1,450,
E19Q1_Kazane_10,10,E19Q1_KazaneShard:5,,5,500,
E19Q1_Kazane_11,11,E19Q1_KazaneShard:5,,2,550,
E19Q1_Kazane_12,12,E19Q1_KazaneShard:5,,2,600,
E19Q1_Kazane_13,13,E19Q1_KazaneShard:5,,2,650,
E19Q1_Kazane_14,14,E19Q1_KazaneShard:5,,2,700,
E19Q1_Kazane_15,15,E19Q1_KazaneShard:5,,2,750,
E19Q1_Kazane_16,16,E19Q1_KazaneShard:5,,2,800,
E19Q1_Kazane_17,17,E19Q1_KazaneShard:6,,2,850,
E19Q1_Kazane_18,18,E19Q1_KazaneShard:6,,2,900,
E19Q1_Kazane_19,19,E19Q1_KazaneShard:6,,2,950,
E19Q1_Kazane_20,20,E19Q1_KazaneShard:6,,5,1000,
E19Q1_Kazane_21,21,E19Q1_KazaneShard:6,,2,1050,
E19Q1_Kazane_22,22,E19Q1_KazaneShard:6,,2,1100,
E19Q1_Kazane_23,23,E19Q1_KazaneShard:6,,2,1150,
E19Q1_Kazane_24,24,E19Q1_KazaneShard:6,,2,1200,
E19Q1_Kazane_25,25,E19Q1_KazaneShard:6,,2,1250,
E19Q1_Kazane_26,26,E19Q1_KazaneShard:6,,2,1300,
E19Q1_Kazane_27,27,E19Q1_KazaneShard:7,,2,1350,
E19Q1_Kazane_28,28,E19Q1_KazaneShard:7,,2,1400,
E19Q1_Kazane_29,29,E19Q1_KazaneShard:7,,2,1450,
E19Q1_Kazane_30,30,E19Q1_KazaneShard:8,,5,1500,
E19Q1_Kazane_31,31,E19Q1_KazaneShard:8,,3,1550,
E19Q1_Kazane_32,32,E19Q1_KazaneShard:8,,3,1600,
E19Q1_Kazane_33,33,E19Q1_KazaneShard:8,,3,1650,
E19Q1_Kazane_34,34,E19Q1_KazaneShard:9,,3,1700,
E19Q1_Kazane_35,35,E19Q1_KazaneShard:9,,3,1750,
E19Q1_Kazane_36,36,E19Q1_KazaneShard:10,,3,1800,
E19Q1_Kazane_37,37,E19Q1_KazaneShard:10,,3,1850,
E19Q1_Kazane_38,38,E19Q1_KazaneShard:10,,3,1900,
E19Q1_Kazane_39,39,E19Q1_KazaneShard:11,,3,1950,
E19Q1_Kazane_40,40,E19Q1_KazaneShard:11,,5,2000,
E19Q1_Kazane_41,41,E19Q1_KazaneShard:12,,3,2050,
E19Q1_Kazane_42,42,E19Q1_KazaneShard:12,,3,2100,
E19Q1_Kazane_43,43,E19Q1_KazaneShard:13,,3,2150,
E19Q1_Kazane_44,44,E19Q1_KazaneShard:14,,3,2200,
E19Q1_Kazane_45,45,E19Q1_KazaneShard:14,,5,2250,
E19Q1_Kazane_46,46,E19Q1_KazaneShard:15,,3,2300,
E19Q1_Kazane_47,47,E19Q1_KazaneShard:15,,3,2350,
E19Q1_Kazane_48,48,E19Q1_KazaneShard:16,,3,2400,
E19Q1_Kazane_49,49,E19Q1_KazaneShard:17,,3,2450,
E19Q1_Kazane_50,50,E19Q1_KazaneShard:18,,5,2500,!@#plphgmggpldlgdnn
