identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E19Q2_Leilani_1,1,E19Q2_LeilaniShard:5,,5,50,
E19Q2_Leilani_2,2,E19Q2_LeilaniShard:3,,1,100,
E19Q2_Leilani_3,3,E19Q2_LeilaniShard:3,,1,150,
E19Q2_Leilani_4,4,E19Q2_LeilaniShard:4,,1,200,
E19Q2_Leilani_5,5,E19Q2_LeilaniShard:4,,1,250,
E19Q2_Leilani_6,6,E19Q2_LeilaniShard:4,,1,300,
E19Q2_Leilani_7,7,E19Q2_LeilaniShard:4,,1,350,
E19Q2_Leilani_8,8,E19Q2_LeilaniShard:4,,1,400,
E19Q2_Leilani_9,9,E19Q2_LeilaniShard:4,,1,450,
E19Q2_Leilani_10,10,E19Q2_LeilaniShard:5,,5,500,
E19Q2_Leilani_11,11,E19Q2_LeilaniShard:5,,2,550,
E19Q2_Leilani_12,12,E19Q2_LeilaniShard:5,,2,600,
E19Q2_Leilani_13,13,E19Q2_LeilaniShard:5,,2,650,
E19Q2_Leilani_14,14,E19Q2_LeilaniShard:5,,2,700,
E19Q2_Leilani_15,15,E19Q2_LeilaniShard:5,,2,750,
E19Q2_Leilani_16,16,E19Q2_LeilaniShard:5,,2,800,
E19Q2_Leilani_17,17,E19Q2_LeilaniShard:6,,2,850,
E19Q2_Leilani_18,18,E19Q2_LeilaniShard:6,,2,900,
E19Q2_Leilani_19,19,E19Q2_LeilaniShard:6,,2,950,
E19Q2_Leilani_20,20,E19Q2_LeilaniShard:6,,5,1000,
E19Q2_Leilani_21,21,E19Q2_LeilaniShard:6,,2,1050,
E19Q2_Leilani_22,22,E19Q2_LeilaniShard:6,,2,1100,
E19Q2_Leilani_23,23,E19Q2_LeilaniShard:6,,2,1150,
E19Q2_Leilani_24,24,E19Q2_LeilaniShard:6,,2,1200,
E19Q2_Leilani_25,25,E19Q2_LeilaniShard:6,,2,1250,
E19Q2_Leilani_26,26,E19Q2_LeilaniShard:6,,3,1300,
E19Q2_Leilani_27,27,E19Q2_LeilaniShard:7,,3,1350,
E19Q2_Leilani_28,28,E19Q2_LeilaniShard:7,,3,1400,
E19Q2_Leilani_29,29,E19Q2_LeilaniShard:7,,3,1450,
E19Q2_Leilani_30,30,E19Q2_LeilaniShard:8,,5,1500,
E19Q2_Leilani_31,31,E19Q2_LeilaniShard:8,,3,1550,
E19Q2_Leilani_32,32,E19Q2_LeilaniShard:8,,3,1600,
E19Q2_Leilani_33,33,E19Q2_LeilaniShard:8,,3,1650,
E19Q2_Leilani_34,34,E19Q2_LeilaniShard:9,,3,1700,
E19Q2_Leilani_35,35,E19Q2_LeilaniShard:9,,5,1750,
E19Q2_Leilani_36,36,E19Q2_LeilaniShard:10,,5,1800,
E19Q2_Leilani_37,37,E19Q2_LeilaniShard:10,,5,1850,
E19Q2_Leilani_38,38,E19Q2_LeilaniShard:10,,5,1900,
E19Q2_Leilani_39,39,E19Q2_LeilaniShard:11,,5,1950,
E19Q2_Leilani_40,40,E19Q2_LeilaniShard:11,,5,2000,
E19Q2_Leilani_41,41,E19Q2_LeilaniShard:12,,5,2050,
E19Q2_Leilani_42,42,E19Q2_LeilaniShard:12,,5,2100,
E19Q2_Leilani_43,43,E19Q2_LeilaniShard:13,,5,2150,
E19Q2_Leilani_44,44,E19Q2_LeilaniShard:14,,5,2200,
E19Q2_Leilani_45,45,E19Q2_LeilaniShard:14,,5,2250,
E19Q2_Leilani_46,46,E19Q2_LeilaniShard:15,,5,2300,
E19Q2_Leilani_47,47,E19Q2_LeilaniShard:15,,5,2350,
E19Q2_Leilani_48,48,E19Q2_LeilaniShard:16,,5,2400,
E19Q2_Leilani_49,49,E19Q2_LeilaniShard:17,,5,2450,
E19Q2_Leilani_50,50,E19Q2_LeilaniShard:18,,5,2500,!@#poaflghdcfmgocgo
