identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
E19Q4HolidayDragon_1,1,food:0,1,,185281,806,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1,12287,food:180,4.2,rage3,8,28207,1.5,experience:0,14855,
E19Q4HolidayDragon_2,2,food:30413,1,,224163,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1,12865,food:192,4.2,rage3,8,31730,1.5,experience:0,18824,
E19Q4HolidayDragon_3,3,food:32314,1,,232647,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1,13396,food:204,4.2,rage3,8,35419,1.5,experience:0,20361,
E19Q4HolidayDragon_4,4,food:34215,1,,239828,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1,13893,food:216,4.2,rage3,9,46468,1.5,experience:0,21731,
E19Q4HolidayDragon_5,5,food:36116,1,,249288,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1,14486,food:228,4.2,rage3,9,52243,1.5,experience:0,23590,
E19Q4HolidayDragon_6,6,food:38016,1,,259289,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1,15205,food:240,4.2,rage3,9,66629,1.5,experience:0,25740,
E19Q4HolidayDragon_7,7,food:40868,1,,275566,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1,16080,food:258,4.2,rage3,10,74887,1.5,experience:0,28958,
E19Q4HolidayDragon_8,8,food:43719,1,,294956,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1,17073,food:276,4.2,rage3,10,94669,1.5,experience:0,32890,
E19Q4HolidayDragon_9,9,food:46570,1,,315653,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1,18221,food:294,4.2,rage3,11,105619,1.5,experience:0,37577,
E19Q4HolidayDragon_10,10,food:49421,1,,335392,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1,19469,food:312,4.2,rage3,11,125553,1.5,experience:0,42619,
E19Q4HolidayDragon_11,11,food:52272,1,,358821,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1,20769,food:330,4.2,rage3,12,134300,1.5,experience:0,48667,
E19Q4HolidayDragon_12,12,food:55124,1,,383808,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1,22157,food:348,4.2,rage3,12,142665,1.5,experience:0,55510,
E19Q4HolidayDragon_13,13,food:57975,1,,407705,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1,23665,food:366,4.2,rage3,13,152562,1.5,experience:0,62985,
E19Q4HolidayDragon_14,14,food:60826,1,,435976,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,25236,food:384,4.2,rage3,13,163117,1.5,experience:0,71859,
E19Q4HolidayDragon_15,15,food:63677,1,,466122,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,26743,food:402,4.2,rage3,14,173239,1.5,experience:0,81371,
E19Q4HolidayDragon_16,16,food:66528,1,,495035,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,28210,food:420,4.2,rage3,14,185176,1.5,experience:0,91190,
E19Q4HolidayDragon_17,17,food:69380,1,,587928,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,29561,food:438,4.2,rage3,15,197903,1.5,experience:0,113471,
E19Q4HolidayDragon_18,18,food:72231,1,,611340,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,30825,food:456,4.2,rage3,15,210140,1.5,experience:0,123032,
E19Q4HolidayDragon_19,19,food:75082,1,,632046,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,32033,food:474,4.2,rage3,16,224529,1.5,experience:0,132194,
E19Q4HolidayDragon_20,20,food:77933,1,,657997,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,33442,food:492,4.2,rage3,16,239865,1.5,experience:0,143712,
E19Q4HolidayDragon_21,21,food:80785,1,,685356,864,lockon:E19Q4HolidayDragon_lockon,adaptiveBreath:threeGifts1|summonAIDragon:holidayHelper1|dreadfulRoar:flashFreeze1|iceTurretResist01:iceTurretResist01,35115,food:510,4.2,rage3,17,254647,1.5,experience:0,157158,
