identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
E19Q4MythicSorcererDragon_1,1,food:0,1,,192692,840,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,12778,food:210,4.2,rageDragonCurse,8,32053,1.5,experience:0,15449,5,4,6,
E19Q4MythicSorcererDragon_2,2,food:34560,1,,259260,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,15066,food:266,4.2,rageDragonCurse,9,50886,1.5,experience:0,24533,5,4,6,
E19Q4MythicSorcererDragon_3,3,food:43200,1,,328279,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,18949,food:343,4.2,rageDragonCurse,11,80014,1.5,experience:0,39080,5,4,6,
E19Q4MythicSorcererDragon_4,4,food:56160,1,,424013,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,24611,food:427,4.2,rageDragonCurse,13,121356,1.5,experience:0,65504,5,4,6,
E19Q4MythicSorcererDragon_5,5,E19Q4MythicSorcererDragonGreenStone:1,1,have2GreenEpic,484767,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,27812,food:469,4.2,rageDragonCurse,14,137804,1.5,experience:0,84626,11,5,6,
E19Q4MythicSorcererDragon_6,6,food:75600,1,,611445,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,30743,food:511,4.2,rageDragonCurse,15,179912,1.5,experience:0,118009,11,5,6,
E19Q4MythicSorcererDragon_7,7,food:82080,1,,657328,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,33314,food:553,4.2,rageDragonCurse,16,204117,1.5,experience:0,137482,11,5,6,
E19Q4MythicSorcererDragon_8,8,food:88560,1,,712770,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,36520,food:595,4.2,rageDragonCurse,17,260435,1.5,experience:0,163445,11,5,6,
E19Q4MythicSorcererDragon_9,9,food:95041,1,,808172,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,40935,food:637,4.2,rageDragonCurse,18,297049,1.5,experience:0,207747,11,5,6,
E19Q4MythicSorcererDragon_10,10,food:101520,1,,916039,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,46512,food:679,4.2,rageDragonCurse,18,374038,1.5,experience:0,267538,11,5,6,
E19Q4MythicSorcererDragon_11,11,E19Q4MythicSorcererDragonGoldStone:1,1,haveGoldLegendary,1044033,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,52763,food:721,4.2,rageDragonCurse,18,423751,1.5,experience:0,345896,18,6,6,
E19Q4MythicSorcererDragon_12,12,food:114480,1,,1261936,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,63701,food:784,4.2,rageDragonCurse,18,512136,1.5,experience:0,504729,18,6,6,
E19Q4MythicSorcererDragon_13,13,food:124200,1,,1504979,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,75405,food:847,4.2,rageDragonCurse,18,574094,1.5,experience:0,712549,18,6,6,
E19Q4MythicSorcererDragon_14,14,food:133920,1,,1671928,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,84262,food:910,4.2,rageDragonCurse,18,618232,1.5,experience:0,884524,18,6,6,
E19Q4MythicSorcererDragon_15,15,food:143640,1,have2LegendaryGold,1845438,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,93182,food:994,4.2,rageDragonCurse,18,682409,1.5,experience:0,1079659,18,6,6,
E19Q4MythicSorcererDragon_16,16,food:156600,1,,2036972,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,102855,food:1078,4.2,rageDragonCurse,19,753247,1.5,experience:0,1315512,18,6,6,
E19Q4MythicSorcererDragon_17,17,food:169560,1,,2248368,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,113532,food:1162,4.2,rageDragonCurse,20,831443,1.5,experience:0,1602693,18,6,6,
E19Q4MythicSorcererDragon_18,18,E19Q4MythicSorcererDragonPlatinumStone:1,1,havePlatinumLegendary,2362158,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,119280,food:1204,4.2,rageDragonCurse,21,873534,1.5,experience:0,1769054,25,7,6,
E19Q4MythicSorcererDragon_19,19,food:189000,1,,2607318,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,131662,food:1288,4.2,rageDragonCurse,22,964213,1.5,experience:0,2155326,25,7,6,
E19Q4MythicSorcererDragon_20,20,food:201960,1,,2877960,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,145329,food:1372,4.2,rageDragonCurse,24,1064308,1.5,experience:0,2626082,25,7,6,
E19Q4MythicSorcererDragon_21,21,food:214920,1,,3176655,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,156440,food:1456,4.2,rageDragonCurse,25,1174793,1.5,experience:0,3120281,25,7,6,
E19Q4MythicSorcererDragon_22,22,food:227880,1,have2LegendaryPlatinum,3420854,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,168468,food:1519,4.2,rageDragonCurse,26,1265122,1.5,experience:0,3618428,25,7,6,
E19Q4MythicSorcererDragon_23,23,food:237600,1,,3594001,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,176997,food:1561,4.2,rageDragonCurse,27,1329168,1.5,experience:0,3994045,25,7,6,
E19Q4MythicSorcererDragon_24,24,food:244080,1,,3683839,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,181421,food:1582,4.2,rageDragonCurse,27,1362397,1.5,experience:0,4196175,25,7,6,
E19Q4MythicSorcererDragon_25,25,E19Q4MythicSorcererDragonSapphireStone:1,1,haveLegendarySapphire,3775923,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,185957,food:1603,4.2,rageDragonCurse,27,1396455,1.5,experience:0,4408635,33,8,6,
E19Q4MythicSorcererDragon_26,26,food:250560,1,,4066218,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,200255,food:1666,4.2,rageDragonCurse,28,1503828,1.5,experience:0,5112696,33,8,6,
E19Q4MythicSorcererDragon_27,27,food:260280,1,,4272035,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,210393,food:1708,4.2,rageDragonCurse,29,1579956,1.5,experience:0,5643270,33,8,6,
E19Q4MythicSorcererDragon_28,28,food:266760,1,,4488267,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,221043,food:1750,4.2,rageDragonCurse,30,1659941,1.5,experience:0,6229083,33,8,6,
E19Q4MythicSorcererDragon_29,29,food:273240,1,have2LegendarySapphire,4600454,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,226569,food:1771,4.2,rageDragonCurse,30,1701438,1.5,experience:0,6544464,33,8,6,
E19Q4MythicSorcererDragon_30,30,food:276480,1,,4833332,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,238039,food:1813,4.2,rageDragonCurse,31,2383429,1.5,experience:0,7223789,33,8,6,
E19Q4MythicSorcererDragon_31,31,food:367849,1,,5078000,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,250090,food:1855,4.2,rageDragonCurse,31,2504089,1.5,experience:0,7973770,33,8,6,
E19Q4MythicSorcererDragon_32,32,food:376272,1,,5335033,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,262750,food:1897,4.2,rageDragonCurse,32,2630857,1.5,experience:0,8801413,33,8,6,
E19Q4MythicSorcererDragon_33,33,E19Q4MythicSorcererDragonGarnetStone:1,1,haveLegendaryGarnet,5745192,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,282953,food:1960,4.2,rageDragonCurse,33,2833141,1.5,experience:0,10206746,41,9,6,
E19Q4MythicSorcererDragon_34,34,food:397332,1,,6036010,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,297277,food:2002,4.2,rageDragonCurse,34,2976566,1.5,experience:0,11266400,41,9,6,
E19Q4MythicSorcererDragon_35,35,food:405756,1,,6341543,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,312326,food:2044,4.2,rageDragonCurse,34,3127251,1.5,experience:0,12435804,41,9,6,
E19Q4MythicSorcererDragon_36,36,food:414180,1,,6662549,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,328138,food:2086,4.2,rageDragonCurse,35,3285567,1.5,experience:0,13726680,41,9,6,
E19Q4MythicSorcererDragon_37,37,food:422604,1,have2LegendaryGarnet,6829100,900,lockon:E19Q4MythicSorcererDragon_lockon,dragonCurse:curse1|sacrifice:avarice1|adaptiveBreath:goldenHex1|deflectingGale:shiningSplendor1,336341,food:2107,4.2,rageDragonCurse,35,4083343,1.5,experience:0,14421699,41,9,6,
