identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E19Q4_Atlas_Anja_1,1,blueRiderShard:500,,5,100,
E19Q4_Atlas_Anja_2,2,redRiderShard:2,400,3,200,
E19Q4_Atlas_Anja_3,3,redRiderShard:2,579,3,300,
E19Q4_Atlas_Anja_4,4,redRiderShard:3,734,3,400,
E19Q4_Atlas_Anja_5,5,redRiderShard:3,873,3,500,
E19Q4_Atlas_Anja_6,6,redRiderShard:3,1003,3,600,
E19Q4_Atlas_Anja_7,7,redRiderShard:3,1126,3,700,
E19Q4_Atlas_Anja_8,8,redRiderShard:3,1247,3,800,
E19Q4_Atlas_Anja_9,9,redRiderShard:3,1364,3,900,
E19Q4_Atlas_Anja_10,10,redRiderShard:4,1481,5,1000,
E19Q4_Atlas_Anja_11,11,redRiderShard:4,1598,3,1100,
E19Q4_Atlas_Anja_12,12,redRiderShard:4,1716,3,1200,
E19Q4_Atlas_Anja_13,13,redRiderShard:4,1837,3,1300,
E19Q4_Atlas_Anja_14,14,redRiderShard:4,1960,3,1400,
E19Q4_Atlas_Anja_15,15,redRiderShard:4,2087,3,1500,
E19Q4_Atlas_Anja_16,16,redRiderShard:4,2217,3,1600,
E19Q4_Atlas_Anja_17,17,redRiderShard:5,2352,3,1700,
E19Q4_Atlas_Anja_18,18,redRiderShard:5,2493,3,1800,
E19Q4_Atlas_Anja_19,19,redRiderShard:5,2639,3,1900,
E19Q4_Atlas_Anja_20,20,redRiderShard:5,2790,5,2000,
E19Q4_Atlas_Anja_21,21,redRiderShard:5,2948,4,2100,
E19Q4_Atlas_Anja_22,22,redRiderShard:6,3113,4,2200,
E19Q4_Atlas_Anja_23,23,redRiderShard:6,3285,4,2300,
E19Q4_Atlas_Anja_24,24,redRiderShard:6,3466,4,2400,
E19Q4_Atlas_Anja_25,25,redRiderShard:6,3654,4,2500,
E19Q4_Atlas_Anja_26,26,redRiderShard:6,3853,4,2600,
E19Q4_Atlas_Anja_27,27,redRiderShard:7,4061,4,2700,
E19Q4_Atlas_Anja_28,28,redRiderShard:7,4278,4,2800,
E19Q4_Atlas_Anja_29,29,redRiderShard:7,4506,4,2900,
E19Q4_Atlas_Anja_30,30,redRiderShard:8,4746,5,3000,
E19Q4_Atlas_Anja_31,31,redRiderShard:8,4998,4,3100,
E19Q4_Atlas_Anja_32,32,redRiderShard:8,5262,4,3200,
E19Q4_Atlas_Anja_33,33,redRiderShard:8,5540,4,3300,
E19Q4_Atlas_Anja_34,34,redRiderShard:9,5831,4,3400,
E19Q4_Atlas_Anja_35,35,redRiderShard:9,6138,4,3500,
E19Q4_Atlas_Anja_36,36,redRiderShard:10,6460,4,3600,
E19Q4_Atlas_Anja_37,37,redRiderShard:10,6799,4,3700,
E19Q4_Atlas_Anja_38,38,redRiderShard:10,7154,4,3800,
E19Q4_Atlas_Anja_39,39,redRiderShard:11,7529,4,3900,
E19Q4_Atlas_Anja_40,40,redRiderShard:11,7922,5,4000,
E19Q4_Atlas_Anja_41,41,redRiderShard:12,8336,4,4100,
E19Q4_Atlas_Anja_42,42,redRiderShard:12,8772,4,4200,
E19Q4_Atlas_Anja_43,43,redRiderShard:13,9229,4,4300,
E19Q4_Atlas_Anja_44,44,redRiderShard:14,9710,4,4400,
E19Q4_Atlas_Anja_45,45,redRiderShard:14,10217,5,4500,
E19Q4_Atlas_Anja_46,46,redRiderShard:15,10750,4,4600,
E19Q4_Atlas_Anja_47,47,redRiderShard:15,11311,4,4700,
E19Q4_Atlas_Anja_48,48,redRiderShard:16,11900,4,4800,
E19Q4_Atlas_Anja_49,49,redRiderShard:17,12521,4,4900,
E19Q4_Atlas_Anja_50,50,redRiderShard:18,13173,5,5000,!@#mdablmmpkodmajin
