identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E19Q4_Atlas_Aurora_1,1,blueRiderShard:500,,5,100,
E19Q4_Atlas_Aurora_2,2,redRiderShard:2,400,3,200,
E19Q4_Atlas_Aurora_3,3,redRiderShard:2,579,3,300,
E19Q4_Atlas_Aurora_4,4,redRiderShard:3,734,3,400,
E19Q4_Atlas_Aurora_5,5,redRiderShard:3,873,3,500,
E19Q4_Atlas_Aurora_6,6,redRiderShard:3,1003,3,600,
E19Q4_Atlas_Aurora_7,7,redRiderShard:3,1126,3,700,
E19Q4_Atlas_Aurora_8,8,redRiderShard:3,1247,3,800,
E19Q4_Atlas_Aurora_9,9,redRiderShard:3,1364,3,900,
E19Q4_Atlas_Aurora_10,10,redRiderShard:4,1481,5,1000,
E19Q4_Atlas_Aurora_11,11,redRiderShard:4,1598,3,1100,
E19Q4_Atlas_Aurora_12,12,redRiderShard:4,1716,3,1200,
E19Q4_Atlas_Aurora_13,13,redRiderShard:4,1837,3,1300,
E19Q4_Atlas_Aurora_14,14,redRiderShard:4,1960,3,1400,
E19Q4_Atlas_Aurora_15,15,redRiderShard:4,2087,3,1500,
E19Q4_Atlas_Aurora_16,16,redRiderShard:4,2217,3,1600,
E19Q4_Atlas_Aurora_17,17,redRiderShard:5,2352,3,1700,
E19Q4_Atlas_Aurora_18,18,redRiderShard:5,2493,3,1800,
E19Q4_Atlas_Aurora_19,19,redRiderShard:5,2639,3,1900,
E19Q4_Atlas_Aurora_20,20,redRiderShard:5,2790,5,2000,
E19Q4_Atlas_Aurora_21,21,redRiderShard:5,2948,4,2100,
E19Q4_Atlas_Aurora_22,22,redRiderShard:6,3113,4,2200,
E19Q4_Atlas_Aurora_23,23,redRiderShard:6,3285,4,2300,
E19Q4_Atlas_Aurora_24,24,redRiderShard:6,3466,4,2400,
E19Q4_Atlas_Aurora_25,25,redRiderShard:6,3654,4,2500,
E19Q4_Atlas_Aurora_26,26,redRiderShard:6,3853,4,2600,
E19Q4_Atlas_Aurora_27,27,redRiderShard:7,4061,4,2700,
E19Q4_Atlas_Aurora_28,28,redRiderShard:7,4278,4,2800,
E19Q4_Atlas_Aurora_29,29,redRiderShard:7,4506,4,2900,
E19Q4_Atlas_Aurora_30,30,redRiderShard:8,4746,5,3000,
E19Q4_Atlas_Aurora_31,31,redRiderShard:8,4998,4,3100,
E19Q4_Atlas_Aurora_32,32,redRiderShard:8,5262,4,3200,
E19Q4_Atlas_Aurora_33,33,redRiderShard:8,5540,4,3300,
E19Q4_Atlas_Aurora_34,34,redRiderShard:9,5831,4,3400,
E19Q4_Atlas_Aurora_35,35,redRiderShard:9,6138,4,3500,
E19Q4_Atlas_Aurora_36,36,redRiderShard:10,6460,4,3600,
E19Q4_Atlas_Aurora_37,37,redRiderShard:10,6799,4,3700,
E19Q4_Atlas_Aurora_38,38,redRiderShard:10,7154,4,3800,
E19Q4_Atlas_Aurora_39,39,redRiderShard:11,7529,4,3900,
E19Q4_Atlas_Aurora_40,40,redRiderShard:11,7922,5,4000,
E19Q4_Atlas_Aurora_41,41,redRiderShard:12,8336,4,4100,
E19Q4_Atlas_Aurora_42,42,redRiderShard:12,8772,4,4200,
E19Q4_Atlas_Aurora_43,43,redRiderShard:13,9229,4,4300,
E19Q4_Atlas_Aurora_44,44,redRiderShard:14,9710,4,4400,
E19Q4_Atlas_Aurora_45,45,redRiderShard:14,10217,5,4500,
E19Q4_Atlas_Aurora_46,46,redRiderShard:15,10750,4,4600,
E19Q4_Atlas_Aurora_47,47,redRiderShard:15,11311,4,4700,
E19Q4_Atlas_Aurora_48,48,redRiderShard:16,11900,4,4800,
E19Q4_Atlas_Aurora_49,49,redRiderShard:17,12521,4,4900,
E19Q4_Atlas_Aurora_50,50,redRiderShard:18,13173,5,5000,!@#hnllfejmnajhiolo
