identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
E19Q4_Mackenzie_1,1,E19Q4_MackenzieShard:5,,5,50,
E19Q4_Mackenzie_2,2,E19Q4_MackenzieShard:3,,1,100,
E19Q4_Mackenzie_3,3,E19Q4_MackenzieShard:3,,1,150,
E19Q4_Mackenzie_4,4,E19Q4_MackenzieShard:4,,1,200,
E19Q4_Mackenzie_5,5,E19Q4_MackenzieShard:4,,1,250,
E19Q4_Mackenzie_6,6,E19Q4_MackenzieShard:4,,1,300,
E19Q4_Mackenzie_7,7,E19Q4_MackenzieShard:4,,1,350,
E19Q4_Mackenzie_8,8,E19Q4_MackenzieShard:4,,1,400,
E19Q4_Mackenzie_9,9,E19Q4_MackenzieShard:4,,1,450,
E19Q4_Mackenzie_10,10,E19Q4_MackenzieShard:5,,5,500,
E19Q4_Mackenzie_11,11,E19Q4_MackenzieShard:5,,2,550,
E19Q4_Mackenzie_12,12,E19Q4_MackenzieShard:5,,2,600,
E19Q4_Mackenzie_13,13,E19Q4_MackenzieShard:5,,2,650,
E19Q4_Mackenzie_14,14,E19Q4_MackenzieShard:5,,2,700,
E19Q4_Mackenzie_15,15,E19Q4_MackenzieShard:5,,2,750,
E19Q4_Mackenzie_16,16,E19Q4_MackenzieShard:5,,2,800,
E19Q4_Mackenzie_17,17,E19Q4_MackenzieShard:6,,2,850,
E19Q4_Mackenzie_18,18,E19Q4_MackenzieShard:6,,2,900,
E19Q4_Mackenzie_19,19,E19Q4_MackenzieShard:6,,2,950,
E19Q4_Mackenzie_20,20,E19Q4_MackenzieShard:6,,5,1000,
E19Q4_Mackenzie_21,21,E19Q4_MackenzieShard:6,,2,1050,
E19Q4_Mackenzie_22,22,E19Q4_MackenzieShard:6,,2,1100,
E19Q4_Mackenzie_23,23,E19Q4_MackenzieShard:6,,2,1150,
E19Q4_Mackenzie_24,24,E19Q4_MackenzieShard:6,,2,1200,
E19Q4_Mackenzie_25,25,E19Q4_MackenzieShard:6,,2,1250,
E19Q4_Mackenzie_26,26,E19Q4_MackenzieShard:6,,3,1300,
E19Q4_Mackenzie_27,27,E19Q4_MackenzieShard:7,,3,1350,
E19Q4_Mackenzie_28,28,E19Q4_MackenzieShard:7,,3,1400,
E19Q4_Mackenzie_29,29,E19Q4_MackenzieShard:7,,3,1450,
E19Q4_Mackenzie_30,30,E19Q4_MackenzieShard:8,,5,1500,
E19Q4_Mackenzie_31,31,E19Q4_MackenzieShard:8,,3,1550,
E19Q4_Mackenzie_32,32,E19Q4_MackenzieShard:8,,3,1600,
E19Q4_Mackenzie_33,33,E19Q4_MackenzieShard:8,,3,1650,
E19Q4_Mackenzie_34,34,E19Q4_MackenzieShard:9,,3,1700,
E19Q4_Mackenzie_35,35,E19Q4_MackenzieShard:9,,5,1750,
E19Q4_Mackenzie_36,36,E19Q4_MackenzieShard:10,,5,1800,
E19Q4_Mackenzie_37,37,E19Q4_MackenzieShard:10,,5,1850,
E19Q4_Mackenzie_38,38,E19Q4_MackenzieShard:10,,5,1900,
E19Q4_Mackenzie_39,39,E19Q4_MackenzieShard:11,,5,1950,
E19Q4_Mackenzie_40,40,E19Q4_MackenzieShard:11,,5,2000,
E19Q4_Mackenzie_41,41,E19Q4_MackenzieShard:12,,5,2050,
E19Q4_Mackenzie_42,42,E19Q4_MackenzieShard:12,,5,2100,
E19Q4_Mackenzie_43,43,E19Q4_MackenzieShard:13,,5,2150,
E19Q4_Mackenzie_44,44,E19Q4_MackenzieShard:14,,5,2200,
E19Q4_Mackenzie_45,45,E19Q4_MackenzieShard:14,,5,2250,
E19Q4_Mackenzie_46,46,E19Q4_MackenzieShard:15,,5,2300,
E19Q4_Mackenzie_47,47,E19Q4_MackenzieShard:15,,5,2350,
E19Q4_Mackenzie_48,48,E19Q4_MackenzieShard:16,,5,2400,
E19Q4_Mackenzie_49,49,E19Q4_MackenzieShard:17,,5,2450,
E19Q4_Mackenzie_50,50,E19Q4_MackenzieShard:18,,5,2500,!@#chjgebllajjlohhm
