identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,levelRequired,h
String,Integer,String,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,Integer,Integer,String
EarthTotemUpgrades_1,1,0,bld_brazier_earth_level01.lvl,,elementalEmber:100,990,,6991,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,1,1,
EarthTotemUpgrades_2,2,0,bld_brazier_earth_level01.lvl,,piercing:145,3510,,8643,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,1,1,
EarthTotemUpgrades_3,3,0,bld_brazier_earth_level01.lvl,,elementalEmber:200,7200,,10261,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,2,1,
EarthTotemUpgrades_4,4,0,bld_brazier_earth_level01.lvl,,piercing:861,10800,,11982,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,2,1,
EarthTotemUpgrades_5,5,0,bld_brazier_earth_level01.lvl,,elementalEmber:300,16200,,14255,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,3,1,
EarthTotemUpgrades_6,6,0,bld_brazier_earth_level01.lvl,,piercing:1894,21600,,16884,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,3,7,
EarthTotemUpgrades_7,7,0,bld_brazier_earth_level01.lvl,,elementalEmber:400,28800,,19892,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,4,7,
EarthTotemUpgrades_8,8,0,bld_brazier_earth_level01.lvl,,piercing:3714,36000,,23314,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,4,12,
EarthTotemUpgrades_9,9,0,bld_brazier_earth_level01.lvl,,elementalEmber:500,43200,,27185,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,5,12,
EarthTotemUpgrades_10,10,0,bld_brazier_earth_level01.lvl,,piercing:8712,57600,,30537,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,5,17,
EarthTotemUpgrades_11,11,0,bld_brazier_earth_level01.lvl,,elementalEmber:600,72000,,34165,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,6,17,
EarthTotemUpgrades_12,12,0,bld_brazier_earth_level01.lvl,,piercing:17819,86400,,38072,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,6,21,
EarthTotemUpgrades_13,13,0,bld_brazier_earth_level01.lvl,,elementalEmber:700,129600,,42382,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,7,21,
EarthTotemUpgrades_14,14,0,bld_brazier_earth_level01.lvl,,piercing:38115,172800,,47181,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,7,28,
EarthTotemUpgrades_15,15,0,bld_brazier_earth_level02.lvl,,elementalEmber:800,216000,,52525,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,8,28,
EarthTotemUpgrades_16,16,0,bld_brazier_earth_level02.lvl,,piercing:57617,259200,,58473,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,8,31,
EarthTotemUpgrades_17,17,0,bld_brazier_earth_level02.lvl,,elementalEmber:900,302400,,65095,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,9,31,
EarthTotemUpgrades_18,18,0,bld_brazier_earth_level02.lvl,,piercing:86400,345600,,72467,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,9,37,
EarthTotemUpgrades_19,19,0,bld_brazier_earth_level02.lvl,,elementalEmber:1000,388800,,85121,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,10,37,
EarthTotemUpgrades_20,20,0,bld_brazier_earth_level02.lvl,,piercing:154799,432000,,99983,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,10,46,
EarthTotemUpgrades_21,21,0,bld_brazier_earth_level02.lvl,,elementalEmber:1100,518400,,117442,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,11,46,
EarthTotemUpgrades_22,22,0,bld_brazier_earth_level02.lvl,,piercing:219599,604800,,137949,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,11,56,
EarthTotemUpgrades_23,23,0,bld_brazier_earth_level02.lvl,,elementalEmber:1200,691200,,162037,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,12,56,
EarthTotemUpgrades_24,24,0,bld_brazier_earth_level02.lvl,,piercing:269232,864000,,190332,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,12,64,
EarthTotemUpgrades_25,25,0,bld_brazier_earth_level03.lvl,,elementalEmber:1300,864000,,223569,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,13,64,
EarthTotemUpgrades_26,26,0,bld_brazier_earth_level03.lvl,,piercing:340800,936000,,277082,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,13,73,
EarthTotemUpgrades_27,27,0,bld_brazier_earth_level03.lvl,,elementalEmber:1400,1080000,,343405,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,14,73,
EarthTotemUpgrades_28,28,0,bld_brazier_earth_level03.lvl,,piercing:422592,1152000,,401654,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,14,85,
EarthTotemUpgrades_29,29,0,bld_brazier_earth_level03.lvl,,elementalEmber:1500,1224000,,443347,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,15,85,
EarthTotemUpgrades_30,30,0,bld_brazier_earth_level03.lvl,,piercing:504384,1224000,,489370,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,15,94,
EarthTotemUpgrades_31,31,0,bld_brazier_earth_level03.lvl,,elementalEmber:1600,1370990,,540170,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,16,94,
EarthTotemUpgrades_32,32,0,bld_brazier_earth_level03.lvl,,piercing:586176,1468800,,596246,,,,,,,,,,,bld_brazier_death.lvl,,,,,,,,16,106,
