identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageActivatedAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
DarkFlakTowerUpgrades_1,1,0,bld_flakDark_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,60,,1,8389,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,3521,4049,0,,,,,experience:1,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_01,Concussive Blast,Stun Enemy Dragon,0,,,24,
DarkFlakTowerUpgrades_2,2,0,bld_flakDark_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,450,,1,10371,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,4887,5620,0,,,,,experience:13,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,0,,,45,
DarkFlakTowerUpgrades_3,3,0,bld_flakDark_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,1920,,1,12313,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,6888,7921,0,,,,,experience:60,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,0,,,73,
DarkFlakTowerUpgrades_4,4,0,bld_flakDark_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,3952,,1,14378,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,9361,10765,0,,,,,experience:140,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_03,Concussive Blast,Stun Enemy Dragon,1,,,107,
DarkFlakTowerUpgrades_5,5,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,9094,,1,17106,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,12727,14636,0,,,,,experience:240,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_03,Concussive Blast,Stun Enemy Dragon,1,,,168,
DarkFlakTowerUpgrades_6,6,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,14580,,7,20260,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,17251,19839,0,,,,,experience:405,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_03,Concussive Blast,Stun Enemy Dragon,1,,,267,
DarkFlakTowerUpgrades_7,7,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,23040,,7,23870,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,23295,26789,0,,,,,experience:600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,2,,,441,
DarkFlakTowerUpgrades_8,8,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,28800,,12,27976,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,31335,36035,0,,,,,experience:600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,2,,,708,
DarkFlakTowerUpgrades_9,9,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,35100,,12,32622,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,37075,42636,0,,,,,experience:750,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,2,,,953,
DarkFlakTowerUpgrades_10,10,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,41559,,17,36644,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,41642,47888,0,,,,,experience:912,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_02,Concussive Blast,Stun Enemy Dragon,3,,,1230,
DarkFlakTowerUpgrades_11,11,0,bld_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:800,51896,,17,40998,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,46585,53573,0,,,,,experience:936,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,3,,,1499,
DarkFlakTowerUpgrades_12,12,0,bld_flakDark_level03.lvl,stru_tower_lobLocators.lvl,piercing:17819,66355,,21,45686,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,51902,59687,0,,,,,experience:1280,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,4,,,1881,
DarkFlakTowerUpgrades_13,13,0,bld_flakDark_level03.lvl,stru_tower_lobLocators.lvl,elementalEmber:1000,103561,,21,50858,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,57770,66436,0,,,,,experience:1644,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,4,,,2349,
DarkFlakTowerUpgrades_14,14,0,bld_flakDark_level03.lvl,stru_tower_lobLocators.lvl,piercing:38115,137915,,28,56617,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,64303,73948,0,,,,,experience:1691,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,5,,,2913,
DarkFlakTowerUpgrades_15,15,0,bld_flakDark_level03.lvl,stru_tower_lobLocators.lvl,elementalEmber:1200,177093,,28,63030,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,71576,82312,0,,,,,experience:2087,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,5,,,3582,
DarkFlakTowerUpgrades_16,16,0,bld_flakDark_level03.lvl,stru_tower_lobLocators.lvl,piercing:57617,219927,,31,70167,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,79673,91624,0,,,,,experience:2546,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,6,,,4423,
DarkFlakTowerUpgrades_17,17,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1400,297600,,31,78114,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,88695,101999,0,,,,,experience:3048,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,7,,,5514,
DarkFlakTowerUpgrades_18,18,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,37,86960,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,98739,113550,0,,,,,experience:4000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,8,,,6823,
DarkFlakTowerUpgrades_19,19,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1600,388800,,37,102145,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,115971,133367,0,,,,,experience:5334,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,9,,,9390,
DarkFlakTowerUpgrades_20,20,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,46,119979,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,136206,156637,0,,,,,experience:7000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,10,,,12976,
DarkFlakTowerUpgrades_21,21,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1800,518400,,46,140930,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,159981,183978,0,,,,,experience:9143,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,11,,,17885,
DarkFlakTowerUpgrades_22,22,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,56,165538,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,187902,216087,0,,,,,experience:12000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,13,,,24703,
DarkFlakTowerUpgrades_23,23,0,bld_flakDark_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:2000,691200,,56,194444,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,220700,253805,0,,,,,experience:16000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,14,,,34030,
DarkFlakTowerUpgrades_24,24,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,piercing:269232,864000,,64,228398,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,259225,298109,0,,,,,experience:17600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,16,,,47001,
DarkFlakTowerUpgrades_25,25,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2200,864000,,64,268282,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,304481,350153,0,,,,,experience:19200,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,17,,,64832,
DarkFlakTowerUpgrades_26,26,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,piercing:340800,936000,,73,332498,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,377330,433930,0,,,,,experience:20800,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,19,,,99533,
DarkFlakTowerUpgrades_27,27,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2400,1080000,,73,412086,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,467626,537770,0,,,,,experience:24000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,20,,,152902,
DarkFlakTowerUpgrades_28,28,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,piercing:422592,1152000,,85,481984,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,546933,628973,0,,,,,experience:25600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,20,,,209252,
DarkFlakTowerUpgrades_29,29,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2600,1224000,,85,532016,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,603692,694246,0,,,,,experience:27200,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,20,,,254858,
DarkFlakTowerUpgrades_30,30,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,piercing:504384,1224000,,94,587244,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,666347,766299,0,,,,,experience:30400,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,20,,,310522,
DarkFlakTowerUpgrades_31,31,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:2800,1370990,,94,648204,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,735500,845825,0,,,,,experience:32000,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,20,,,378438,
DarkFlakTowerUpgrades_32,32,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,piercing:586176,1468800,,106,715495,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,811830,933605,0,,,,,experience:33600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,21,,,461039,
DarkFlakTowerUpgrades_33,33,0,bld_flakDark_level05.lvl,stru_tower_lobLocators.lvl,elementalEmber:3000,1566720,,106,789769,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,896099,1030514,0,,,,,experience:33600,,prj_elementalFlakDark_special,stun:stun01|dragonSpellDependent:dragonSpellDependentLightningSpecial_FlakSuper,0,showBattleText:trebuchetShotText,2,1,1,50,bld_flak_death.lvl,release_001_05,Concussive Blast,Stun Enemy Dragon,21,,,561732,
