identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Integer,Integer,String,Float,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
EarthFlakTowerUpgrades_1,1,0,bld_flakEarth_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,990,,1,8738,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,1356,1748,0,,,,,experience:1,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost1,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_01,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,0,,,24,
EarthFlakTowerUpgrades_2,2,0,bld_flakEarth_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,10803,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,1881,2161,0,,,,,experience:13,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost2,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,0,,,45,
EarthFlakTowerUpgrades_3,3,0,bld_flakEarth_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,7200,,1,12826,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,2651,2565,0,,,,,experience:60,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost3,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,0,,,73,
EarthFlakTowerUpgrades_4,4,0,bld_flakEarth_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,14977,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,3602,2995,0,,,,,experience:140,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost4,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_03,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,1,,,107,
EarthFlakTowerUpgrades_5,5,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,16200,,1,17818,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,4897,3564,0,,,,,experience:240,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost5,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_03,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,1,,,168,
EarthFlakTowerUpgrades_6,6,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,21105,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,6638,4221,0,,,,,experience:405,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost6,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_03,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,1,,,267,
EarthFlakTowerUpgrades_7,7,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,28800,,7,24865,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,8963,4973,0,,,,,experience:600,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost7,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,2,,,441,
EarthFlakTowerUpgrades_8,8,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,7,29142,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,12057,5828,0,,,,,experience:600,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost8,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,2,,,708,
EarthFlakTowerUpgrades_9,9,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,43200,,12,33981,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,14265,6796,0,,,,,experience:750,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost9,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,2,,,953,
EarthFlakTowerUpgrades_10,10,0,bld_flakEarth_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,38171,0.65,1,70,prj_elementalFlakEarth,hpReduction:hpReductionEarthFlak,16022,7634,0,,,,,experience:912,,prj_elementalFlakEarth_special,,0,0,invincibleBuildings:earthFlak_invincible|fireBeam:beamHPReduction3|showBattleText:earthFlakShotText|iceShield:buildingEarthHPBoost10,1.5,1.5,2,1,70,bld_flak_death.lvl,release_001_02,Invincible Earth Shield,Create invincible shield for other nearby towers and add health,3,,,1230,
