identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
FireFlakTowerUpgrades_1,1,0,bld_flakFire_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,990,,1,7844,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,2054,2054,1541,,,,,experience:1,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_01,Weaken Dragon,Temporarily reduce dragon attack damage,0,,,24,
FireFlakTowerUpgrades_2,2,0,bld_flakFire_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,9698,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,2850,2850,2138,,,,,experience:13,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,0,,,45,
FireFlakTowerUpgrades_3,3,0,bld_flakFire_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,7200,,1,11513,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,4016,4016,3012,,,,,experience:60,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,0,,,73,
FireFlakTowerUpgrades_4,4,0,bld_flakFire_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,13443,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,5458,5458,4094,,,,,experience:140,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_03,Weaken Dragon,Temporarily reduce dragon attack damage,1,,,107,
FireFlakTowerUpgrades_5,5,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,16200,,1,15994,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,7420,7420,5565,,,,,experience:240,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_03,Weaken Dragon,Temporarily reduce dragon attack damage,1,,,168,
FireFlakTowerUpgrades_6,6,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,18944,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,10058,10058,7544,,,,,experience:405,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_03,Weaken Dragon,Temporarily reduce dragon attack damage,1,,,267,
FireFlakTowerUpgrades_7,7,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,28800,,7,22319,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,13581,13581,10186,,,,,experience:600,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,2,,,441,
FireFlakTowerUpgrades_8,8,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,26158,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,18268,18268,13701,,,,,experience:600,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,2,,,708,
FireFlakTowerUpgrades_9,9,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,43200,,12,30502,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,21614,21614,16211,,,,,experience:750,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,2,,,953,
FireFlakTowerUpgrades_10,10,0,bld_flakFire_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,34262,0.65,1,70,prj_elementalFlakFire,hpReduction:hpReductionFireFlak,24276,24276,18207,,,,,experience:912,,prj_elementalFlakFire_special,dragonSpellDependent:dragonSpellDependentLightningSpecial_FireFlakSuper|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,2,1,1,70,bld_flakFire_death.lvl,release_001_02,Weaken Dragon,Temporarily reduce dragon attack damage,3,,,1230,
