identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
IceFlakTowerUpgrades_1,1,0,bld_flakIce_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,990,,1,8039,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,1056,1545,0,,,,,experience:1,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_01,Dispel Magic,Silence Enemy Dragon,0,,,24,
IceFlakTowerUpgrades_2,2,0,bld_flakIce_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,9939,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,1466,2144,0,,,,,experience:13,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,0,,,45,
IceFlakTowerUpgrades_3,3,0,bld_flakIce_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,7200,,1,11800,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,2066,3022,0,,,,,experience:60,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,0,,,73,
IceFlakTowerUpgrades_4,4,0,bld_flakIce_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,13779,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,2808,4107,0,,,,,experience:140,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Dispel Magic,Silence Enemy Dragon,1,,,107,
IceFlakTowerUpgrades_5,5,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,16200,,1,16393,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,3818,5585,0,,,,,experience:240,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Dispel Magic,Silence Enemy Dragon,1,,,168,
IceFlakTowerUpgrades_6,6,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,19416,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,5175,7569,0,,,,,experience:405,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Dispel Magic,Silence Enemy Dragon,1,,,267,
IceFlakTowerUpgrades_7,7,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,28800,,7,22875,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,6989,10221,0,,,,,experience:600,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,2,,,441,
IceFlakTowerUpgrades_8,8,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,26811,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,9400,13749,0,,,,,experience:600,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,2,,,708,
IceFlakTowerUpgrades_9,9,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,43200,,12,31262,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,11122,16266,0,,,,,experience:750,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,2,,,953,
IceFlakTowerUpgrades_10,10,0,bld_flakIce_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,35117,1,1,83,prj_elementalFlakIce,hpReduction:hpReductionIceFlak|slowAttack:slow02,12493,18271,0,,,,,experience:912,,prj_elementalFlakIce_special,iceFlak:spellSilencerIceFlak|dragonSpellDependent:dragonSpellDependentLightningSpecial_IceFlakSuper|slowAttack:slow03,0,showBattleText:iceFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Dispel Magic,Silence Enemy Dragon,3,,,1230,
