identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Integer,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
ElectroFlakTowerUpgrades_1,1,0,bld_flakWind_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,990,,1,7340,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,1469,3286,0,,,,,experience:1,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_01,Overcharge,Increase Nearby Flak Towers' Supershot Damage,0,,,24,
ElectroFlakTowerUpgrades_2,2,0,bld_flakWind_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,450,,1,9075,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,2038,4560,0,,,,,experience:13,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,0,,,45,
ElectroFlakTowerUpgrades_3,3,0,bld_flakWind_level01.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,1920,,1,10774,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,2871,6426,0,,,,,experience:60,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,0,,,73,
ElectroFlakTowerUpgrades_4,4,0,bld_flakWind_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,3952,,1,12581,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,3902,8733,0,,,,,experience:140,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Overcharge,Increase Nearby Flak Towers' Supershot Damage,1,,,107,
ElectroFlakTowerUpgrades_5,5,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,9094,,1,14967,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,5305,11872,0,,,,,experience:240,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Overcharge,Increase Nearby Flak Towers' Supershot Damage,1,,,168,
ElectroFlakTowerUpgrades_6,6,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,14580,,7,17728,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,7191,16093,0,,,,,experience:405,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_03,Overcharge,Increase Nearby Flak Towers' Supershot Damage,1,,,267,
ElectroFlakTowerUpgrades_7,7,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,23040,,7,20886,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,9710,21730,0,,,,,experience:600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,2,,,441,
ElectroFlakTowerUpgrades_8,8,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,28800,,12,24479,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,13062,29229,0,,,,,experience:600,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,2,,,708,
ElectroFlakTowerUpgrades_9,9,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,35100,,12,28544,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,15454,34582,0,,,,,experience:750,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,2,,,953,
ElectroFlakTowerUpgrades_10,10,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,41559,,17,32063,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,17357,38842,0,,,,,experience:912,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_02,Overcharge,Increase Nearby Flak Towers' Supershot Damage,3,,,1230,
ElectroFlakTowerUpgrades_11,11,0,bld_flakWind_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:800,51896,,17,35873,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,19418,43453,0,,,,,experience:936,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,3,,,1499,
ElectroFlakTowerUpgrades_12,12,0,bld_flakWind_level03.lvl,stru_tower_lobLocators.lvl,piercing:17819,66355,,21,39975,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,21633,48410,0,,,,,experience:1280,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,4,,,1881,
ElectroFlakTowerUpgrades_13,13,0,bld_flakWind_level03.lvl,stru_tower_lobLocators.lvl,elementalEmber:1000,103561,,21,44501,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,24080,53885,0,,,,,experience:1644,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,4,,,2349,
ElectroFlakTowerUpgrades_14,14,0,bld_flakWind_level03.lvl,stru_tower_lobLocators.lvl,piercing:38115,137915,,28,49540,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,26802,59978,0,,,,,experience:1691,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,5,,,2913,
ElectroFlakTowerUpgrades_15,15,0,bld_flakWind_level03.lvl,stru_tower_lobLocators.lvl,elementalEmber:1200,177093,,28,55151,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,29835,66763,0,,,,,experience:2087,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,5,,,3582,
ElectroFlakTowerUpgrades_16,16,0,bld_flakWind_level03.lvl,stru_tower_lobLocators.lvl,piercing:57617,219927,,31,61396,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,33209,74314,0,,,,,experience:2546,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,6,,,4423,
ElectroFlakTowerUpgrades_17,17,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1400,297600,,31,68349,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,36970,82730,0,,,,,experience:3048,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,7,,,5514,
ElectroFlakTowerUpgrades_18,18,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,37,76090,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,41157,92099,0,,,,,experience:4000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,8,,,6823,
ElectroFlakTowerUpgrades_19,19,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1600,388800,,37,89377,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,48339,108171,0,,,,,experience:5334,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,9,,,9390,
ElectroFlakTowerUpgrades_20,20,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,46,104982,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,56774,127046,0,,,,,experience:7000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,10,,,12976,
ElectroFlakTowerUpgrades_21,21,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,elementalEmber:1800,518400,,46,123314,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,66684,149224,0,,,,,experience:9143,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,11,,,17885,
ElectroFlakTowerUpgrades_22,22,0,bld_flakWind_level04.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,56,144846,1,1,70,prj_elementalFlakWind,hpReduction:hpReductionWindFlak,78323,175269,0,,,,,experience:12000,,prj_elementalFlakWind_special,hpReduction:hpReductionWindFlakSuper,0,0,showBattleText:windFlakShotText,2,1,1,70,bld_flak_death.lvl,release_001_05,Overcharge,Increase Nearby Flak Towers' Supershot Damage,13,,,24703,
