identifier,nodeName,particleEffect,activeAnimationIdentifier,disabledAnimationIdentifier,delayDuringLoad,delayDuringRemove,podFileIdentifier,h
String,String,String,String,String,Integer,Integer,String,String
VFX_eventIsland_emerge_drain_01_LOD00_01,VFX_eventIsland_emerge_drain_01_LOD00_01,VFX_eventIsland_emerge_drain_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_01_LOD00_02,VFX_eventIsland_emerge_drain_01_LOD00_02,VFX_eventIsland_emerge_drain_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_01_LOD00_03,VFX_eventIsland_emerge_drain_01_LOD00_03,VFX_eventIsland_emerge_drain_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_01_LOD00_04,VFX_eventIsland_emerge_drain_01_LOD00_04,VFX_eventIsland_emerge_drain_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_02_LOD00_01,VFX_eventIsland_emerge_drain_02_LOD00_01,VFX_eventIsland_emerge_drain_02,rise,,,2,island,
VFX_eventIsland_emerge_drain_02_LOD00_02,VFX_eventIsland_emerge_drain_02_LOD00_02,VFX_eventIsland_emerge_drain_02,rise,,,2,island,
VFX_eventIsland_emerge_drain_02_LOD00_04,VFX_eventIsland_emerge_drain_02_LOD00_04,VFX_eventIsland_emerge_drain_02,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_01_LOD00_01,VFX_eventIsland_emerge_drain_splash_01_LOD00_01,VFX_eventIsland_emerge_drain_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_01_LOD00_02,VFX_eventIsland_emerge_drain_splash_01_LOD00_02,VFX_eventIsland_emerge_drain_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_01_LOD00_03,VFX_eventIsland_emerge_drain_splash_01_LOD00_03,VFX_eventIsland_emerge_drain_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_01_LOD00_04,VFX_eventIsland_emerge_drain_splash_01_LOD00_04,VFX_eventIsland_emerge_drain_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_01_LOD00_05,VFX_eventIsland_emerge_drain_splash_01_LOD00_05,VFX_eventIsland_emerge_drain_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_drain_splash_02_LOD00_01,VFX_eventIsland_emerge_drain_splash_02_LOD00_01,VFX_eventIsland_emerge_drain_splash_02,rise,,,2,island,
VFX_eventIsland_emerge_splash_01_LOD00_01,VFX_eventIsland_emerge_splash_01_LOD00_01,VFX_eventIsland_emerge_splash_04,rise,,,2,island,
VFX_eventIsland_emerge_splash_01_LOD00_02,VFX_eventIsland_emerge_splash_01_LOD00_02,VFX_eventIsland_emerge_splash_01,rise,,,2,island,
VFX_eventIsland_emerge_splash_02_LOD00,VFX_eventIsland_emerge_splash_02_LOD00,VFX_eventIsland_emerge_splash_02,rise,,,2,island,
VFX_eventIsland_emerge_splash_03_LOD00,VFX_eventIsland_emerge_splash_03_LOD00,VFX_eventIsland_emerge_splash_03,rise,,,2,island,
VFX_eventIsland_emerge_splash_dock_LOD00,VFX_eventIsland_emerge_splash_dock_LOD00,VFX_eventIsland_emerge_splash_dock,rise,,,2,island,
VFX_eventIsland_emerge_surf_preFoam_LOD00,VFX_eventIsland_emerge_surf_preFoam_LOD00,VFX_eventIsland_emerge_surf_preFoam,rise,,,2,island,
base_ripples_round_01,base_ripples_round_01,VFX_eventIsland_amb_base_ripples_round,idle,,,2,island,
base_ripples_round_02,base_ripples_round_02,VFX_eventIsland_amb_base_ripples_round,idle,,,2,island,
base_ripples_round_03,base_ripples_round_03,VFX_eventIsland_amb_base_ripples_round,idle,,,2,island,
base_ripples_round_04,base_ripples_round_04,VFX_eventIsland_amb_base_ripples_round,idle,,,2,island,
