identifier,h
String,String
Snarelure,
Skullbone,
Burnblaze,
Emberburn,
Emberfire,
Evilember,
Firespawn,
Flameblow,
SniperGod,
TalkBomber,
SniperWish,
WebTool,
TurtleCat,
BlogWobbles,
LuckyDusty,
RumChicken,
CouchChiller,
VisualMaster,
ZeroReborn,
eGremlin,
BinaryMan,
AwesomeTucker,
FastChef,
JunkTop,
PurpleCharger,
GoogleCat,
StrangeWizard,
Fuzzy_Logic,
New_Cliche,
Ignoramus,
Nojokur,
Illusionz,
Spazyfool,
Dreamworx,
Fried_Sushi,
Raving_Cute,
Lunatick,
GarbageCanLid,
Crazy_Nice,
Booteefool,
Harmless_Venom,
Lord_Tryzalot,
Gallonhead,
King_Martha,
Evil_kitten,
farquit,
fire3232,
firehawk729,
Firestix,
Fixin,
For_the_lolz,
FoxHound42,
Mayahem,
Meman5000,
MineMan_620,
MisterModerator,
Muro45,
CookiePal,
ColdBlood,
PythonPal,
MeepLeap,
DerpLerp,
Palster,
KillArmy,
NiceClaw,
FireTooth,
SharpEye,
FriendZone,
KnifeX,
TooShort,
GreatFace,
LeapFrog,
Vemacis,
Truthless,
LilDream,
BigHelm,
EasyOne,
CashRules,
Blinger,
Yeamster,
LoveSVU,
MindyTime,!@#kffkndmkngnoknmm
