identifier,featureEnabled,unlockAchievementIdentifiers,h
String,Integer,Array<String>,String
launchAttackOptionsOnAttack,1,bothTutorialUsername,
enablePVP,1,bothTutorialDefenseBuildMode,
enableReplays,1,bothTutorialUsername,
enableColonies,1,level999,
enableBoosts,1,level07,
enableDefenseBoosts,1,level07,
enablePowerups,1,,
stableRemoval,1,bothTutorialUsername,
enableLeaderboards,1,unlockGuildLeaderboard,
disableLimitedViewCameraMode,1,bothTutorialUsername,
enableChat,1,bothTutorialClearExpansion1StartDelay|bothTutorialUsername,
enableGlobalChat,0,,
enableNewPlayerChat,1,bothTutorialClearExpansion1StartDelay|bothTutorialUsername,
enableLeagueChat,1,level06|bothTutorialUsername|buildGuildHallUnlock,
enableCustomGroupChat,1,level06|bothTutorialUsername|buildGuildHallUnlock,
realChat,1,,
realGuilds,1,,
createGuild,1,level06|bothTutorialUsername|buildGuildHallUnlock,
joinGuild,1,level06|bothTutorialUsername|buildGuildHallUnlock,
enableStoringBuildings,1,level04,
enableBookmarks,1,bothTutorialPveMapsFinish,
enableMail,1,bothTutorialClearExpansion1StartDelay|bothTutorialUsername,
enableSellingDragon,1,questHaveFourDragons,
enableReceiveInteractiveBattleInvites,1,level04,
enableDestroyedBuildingComponentCollection,1,,
disableCameraTransitionInIncubator,0,bothTutorialUsername,
tutorialFinished,1,bothTutorialDefenseBuildMode,
enableHarvestBuildingGeneration,1,,
showIdleTimers,1,level04,
showStableIdleTimer,1,level04,
enableBuildingMovement,1,bothTutorialPveMapsFinish,
enableAlmostWonText,1,level02,
disableDefenderBoostsTooltip,1,bothTutorialDelayAfterSlideShow,
disableDefenderBoostSlideIn,1,bothTutorialDelayAfterSlideShow,
enableDefenderBoostsSynchronizedWithGameStepTime,1,bothTutorialDelayAfterSlideShow,
startGameInBuildMode,1,,
disableTapTooltips,1,level15,
disableTapLogging,1,level04,
enableGuildEliminationWars,1,level06,
showReplays,1,level04,
showConsumables,1,level06,
enableStableRightPanel,1,level04,
showMedalsOnHud,1,level04,
enableInviteTeammates,1,buildGuildHallUnlock,
showHarvestBuildingNeighborUpgrade,1,level03,
enablePeriodicAnalyticPings,0,level03,
disablePeriodicAnalyticPings,1,,
enableAvatarPortrait,1,level02,
hideAIDefenseSpotlight,1,,
enableAutoDefend,1,level04,
enableRubyExpedite,1,level01,
enableRubyForSpendTransactions,1,bothTutorialDelayAfterSlideShow,
enableConsumablePurchase,1,bothTutorialDelayAfterSlideShow,
enableActiveAbilityTooltip,1,bothTutorialDelayAfterSlideShow,
enableBattleText,1,level02,
enableDefenseAIUpgradingBuildings,1,,
enableSpellTooltip,1,bothTutorialDelayAfterSlideShow,
enableDisablingSpellTooltipForAdvancedPlayers,1,level06,
enableAttackTooltip,1,bothTutorialPve01Finish,
enableDailyQuest,1,level01,
enableFoliage,1,,
startRotatingStableDragon,1,bothTutorialFinishIntroSlideShow,
showLockReasonsForExpansions,1,level02,
enableBlockingExpansionsThroughBuilderHut,0,,
enableTruncatingPremiumCurrency,1,,
enableCrossbreeding,1,bothTutorialEnableCrossBreeding,
enableShrine,1,expansionClear03FT,
disableAttackCinematics,1,,
enableCachingBattleGroup,1,bothTutorialUsername,
disableNoConsumableExpediteExpansionView,1,level03,
enableRewardingConsumables,1,bothTutorialPveMapsFinish,
enableRewardingCurrencyInBattle,1,bothTutorialPveMapsFinish,
