identifier,damageIncreaseByPercent,duration,vfxIdentifiers,h
String,Integer,Float,String,String
fire01,13,5,,
fire02,13,5,,
fire03,13,5,,
fire04,13,5,,
fire05,13,5,,
fire06,13,5,,
fire07,13,5,,
fire08,13,5,,
fire09,13,5,,
fire10,13,5,,
fire11,13,5,,
fire12,13,5,,
fire13,13,5,,
fire14,13,5,,
fire15,13,5,,
fire16,13,5,,
fire17,13,5,,
fire18,13,5,,
fire19,13,5,,
fire20,13,5,,
fire21,13,5,,
fire22,13,5,,
fire23,13,5,,
fire24,13,5,,
fire25,13,5,,
fire26,13,5,,
fire27,13,5,,
fire28,13,5,,
fire29,13,5,,
fire30,13,5,,
fire31,13,5,,
fire32,13,5,,
fire33,13,5,,
fire34,13,5,,
fire35,13,5,,
fire36,13,5,,
fire37,13,5,,
fire38,13,5,,
fire39,13,5,,
fire40,13,5,,
fire41,13,5,,
fire42,13,5,,
fire43,13,5,,
fire44,13,5,,
fire45,13,5,,
fire46,13,5,,
fire47,13,5,,
fire48,13,5,,
fire49,13,5,,
fire50,13,5,,
fireTut,13,5,,
fire51,13,5,,
fire52,13,5,,
fire53,13,5,,
fire54,13,5,,
fire55,13,5,,
fire56,13,5,,
fire57,13,5,,
fire58,13,5,,
fire59,13,5,,
fire60,13,5,,!@#fmmfhiknncfjgmko
