identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,shotsPerAttack,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityEffects,activeAbilityProjectileEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,activeAbilityBusyDuration,shotsPerActiveProjectile,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Integer,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Float,Integer,Integer,Float,Integer,String,String,LocalizedString,LocalizedString,Integer,String,Integer,String
FireTurretBossNDEUpgrades_1,1,0,bld_fireTurret_level01.lvl,stru_tower_lobLocators.lvl,fireShard:100,990,,,13982,1,1,4,70,fireTurret,hpReduction:hpReduction28,4001,87,0,,,,,experience:28,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,,20,
FireTurretBossNDEUpgrades_2,2,0,bld_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,2,17286,1,1,4,70,fireTurret,hpReduction:hpReduction28,5553,121,0,,,,,experience:98,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,,37,
FireTurretBossNDEUpgrades_3,3,0,bld_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,fireShard:200,7200,,3,20522,1,1,4,70,fireTurret,hpReduction:hpReduction28,7827,171,0,,,,,experience:225,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,60,
FireTurretBossNDEUpgrades_4,4,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,4,23964,1,1,4,70,fireTurret,hpReduction:hpReduction28,10637,232,0,,,,,experience:383,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,88,
FireTurretBossNDEUpgrades_5,5,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,fireShard:300,16200,,5,28510,1,1,4,70,fireTurret,hpReduction:hpReduction28,14463,316,0,,,,,experience:428,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,138,
FireTurretBossNDEUpgrades_6,6,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,6,33768,1,1,4,70,fireTurret,hpReduction:hpReduction28,19603,428,0,,,,,experience:600,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,2,,219,
FireTurretBossNDEUpgrades_7,7,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:400,28800,,7,39784,1,1,4,70,fireTurret,hpReduction:hpReduction28,26472,578,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,2,,362,
FireTurretBossNDEUpgrades_8,8,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,8,46628,1,1,4,70,fireTurret,hpReduction:hpReduction28,35608,777,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,581,
FireTurretBossNDEUpgrades_9,9,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:500,43200,,9,54370,1,1,4,70,fireTurret,hpReduction:hpReduction28,42131,919,0,,,,,experience:924,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,782,
FireTurretBossNDEUpgrades_10,10,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,10,61074,1,1,4,70,fireTurret,hpReduction:hpReduction28,47321,1032,0,,,,,experience:1264,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,1009,
FireTurretBossNDEUpgrades_11,11,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:600,72000,,11,68330,1,1,4,70,fireTurret,hpReduction:hpReduction28,52937,1155,0,,,,,experience:1298,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,4,,1230,
FireTurretBossNDEUpgrades_12,12,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,12,76144,1,1,4,70,fireTurret,hpReduction:hpReduction28,58979,1287,0,,,,,experience:1667,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,4,,1544,
FireTurretBossNDEUpgrades_13,13,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:700,129600,,13,84764,1,1,4,70,fireTurret,hpReduction:hpReduction28,65648,1432,0,,,,,experience:2058,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,5,,1929,
FireTurretBossNDEUpgrades_14,14,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,14,94362,1,1,4,70,fireTurret,hpReduction:hpReduction28,73072,1594,0,,,,,experience:2118,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,5,,2391,
FireTurretBossNDEUpgrades_15,15,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:800,216000,,15,105050,1,1,4,70,fireTurret,hpReduction:hpReduction28,81336,1774,0,,,,,experience:2546,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,6,,2941,
FireTurretBossNDEUpgrades_16,16,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,15,116946,1,1,4,70,fireTurret,hpReduction:hpReduction28,90537,1975,0,,,,,experience:3000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,6,,3631,
FireTurretBossNDEUpgrades_17,17,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:900,302400,,15,130190,1,1,4,70,fireTurret,hpReduction:hpReduction28,100790,2199,0,,,,,experience:3097,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,7,,4527,
FireTurretBossNDEUpgrades_18,18,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,15,144934,1,1,4,70,fireTurret,hpReduction:hpReduction28,112203,2448,0,,,,,experience:4000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,8,,5602,
FireTurretBossNDEUpgrades_19,19,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1000,388800,,15,170242,1,1,4,70,fireTurret,hpReduction:hpReduction28,131785,2875,0,,,,,experience:5334,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,9,,7709,
FireTurretBossNDEUpgrades_20,20,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,15,199966,1,1,4,70,fireTurret,hpReduction:hpReduction28,154780,3377,0,,,,,experience:7000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,10,,10653,
FireTurretBossNDEUpgrades_21,21,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1100,518400,,15,234884,1,1,4,70,fireTurret,hpReduction:hpReduction28,181797,3966,0,,,,,experience:9143,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,11,,14683,
FireTurretBossNDEUpgrades_22,22,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,15,275898,1,1,4,70,fireTurret,hpReduction:hpReduction28,213525,4658,0,,,,,experience:12000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,13,,20281,
FireTurretBossNDEUpgrades_23,23,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1200,691200,,15,324074,1,1,4,70,fireTurret,hpReduction:hpReduction28,250795,5472,0,,,,,experience:16000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,14,,27938,
FireTurretBossNDEUpgrades_24,24,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:269232,864000,,15,380664,1,1,4,70,fireTurret,hpReduction:hpReduction28,294574,6427,0,,,,,experience:17600,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,16,,38587,
FireTurretBossNDEUpgrades_25,25,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1300,864000,,15,447138,1,1,4,70,fireTurret,hpReduction:hpReduction28,346001,7549,0,,,,,experience:19200,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,17,,53227,
FireTurretBossNDEUpgrades_26,26,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:340800,936000,,15,554164,1,1,4,70,fireTurret,hpReduction:hpReduction28,428784,9355,0,,,,,experience:20800,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,19,,81715,
FireTurretBossNDEUpgrades_27,27,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1400,1080000,,15,686810,1,1,4,70,fireTurret,hpReduction:hpReduction28,531393,11593,0,,,,,experience:24000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,20,,125531,
