identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,shotsPerAttack,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityEffects,activeAbilityProjectileEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,activeAbilityBusyDuration,shotsPerActiveProjectile,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Integer,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Float,Integer,Integer,Float,Integer,String,String,LocalizedString,LocalizedString,Integer,String,Integer,String
FireTurretUpgrades_1,1,0,bld_fireTurret_level01.lvl,stru_tower_lobLocators.lvl,fireShard:100,990,,,6991,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,4001,87,0,,,,,experience:28,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,,20,
FireTurretUpgrades_2,2,0,bld_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,1,8643,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,5553,121,0,,,,,experience:98,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,,37,
FireTurretUpgrades_3,3,0,bld_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,fireShard:200,7200,,1,10261,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,7827,171,0,,,,,experience:225,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,60,
FireTurretUpgrades_4,4,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,10637,232,0,,,,,experience:383,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,88,
FireTurretUpgrades_5,5,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,fireShard:300,16200,,1,14255,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,14463,316,0,,,,,experience:428,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,1,,138,
FireTurretUpgrades_6,6,0,bld_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,16884,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,19603,428,0,,,,,experience:600,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,2,,219,
FireTurretUpgrades_7,7,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:400,28800,,7,19892,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,26472,578,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,2,,362,
FireTurretUpgrades_8,8,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,23314,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,35608,777,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,581,
FireTurretUpgrades_9,9,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:500,43200,,12,27185,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,42131,919,0,,,,,experience:924,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,782,
FireTurretUpgrades_10,10,0,bld_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,30537,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,47321,1032,0,,,,,experience:1264,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,3,,1009,
FireTurretUpgrades_11,11,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:600,72000,,17,34165,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,52937,1155,0,,,,,experience:1298,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,4,,1230,
FireTurretUpgrades_12,12,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,21,38072,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,58979,1287,0,,,,,experience:1667,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,4,,1544,
FireTurretUpgrades_13,13,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:700,129600,,21,42382,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,65648,1432,0,,,,,experience:2058,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,5,,1929,
FireTurretUpgrades_14,14,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,28,47181,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,73072,1594,0,,,,,experience:2118,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,5,,2391,
FireTurretUpgrades_15,15,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:800,216000,,28,52525,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,81336,1774,0,,,,,experience:2546,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,6,,2941,
FireTurretUpgrades_16,16,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,31,58473,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,90537,1975,0,,,,,experience:3000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,6,,3631,
FireTurretUpgrades_17,17,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:900,302400,,31,65095,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,100790,2199,0,,,,,experience:3097,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,7,,4527,
FireTurretUpgrades_18,18,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,37,72467,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,112203,2448,0,,,,,experience:4000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,8,,5602,
FireTurretUpgrades_19,19,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,fireShard:1000,388800,,37,85121,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,131785,2875,0,,,,,experience:5334,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,9,,7709,
FireTurretUpgrades_20,20,0,bld_fireTurret_level05.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,46,99983,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,154780,3377,0,,,,,experience:7000,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_turret_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,10,,10653,
