identifier,damagePerSecond,damageDuration,battleTextIdentifier,h
String,Float,Float,String,String
gloomCloud01,0,0.001,,
gloomCloud02,0.015,3,,
gloomCloud03,0.015,3,,
gloomCloud04,0.015,3,,
gloomCloud05,0.015,3,,
gloomCloud06,0.015,3,,
gloomCloud07,0.015,3,,
gloomCloud08,0.015,3,,
gloomCloud09,0.015,3,,
gloomCloud10,0.015,3,,
gloomCloud11,0.015,3,,
gloomCloud12,0.015,3,,
gloomCloud13,0.015,3,,
gloomCloud14,0.015,3,,
gloomCloud15,0.015,3,,
gloomCloud16,0.015,3,,
gloomCloud17,0.015,3,,
gloomCloud18,0.015,3,,
gloomCloud19,0.015,3,,
gloomCloud20,0.015,3,,
gloomCloud21,0.015,3,,
gloomCloud22,0.015,3,,
gloomCloud23,0.015,3,,
gloomCloud24,0.015,3,,
gloomCloud25,0.015,3,,
gloomCloud26,0.015,3,,
gloomCloud27,0.015,3,,
gloomCloud28,0.015,3,,
gloomCloud29,0.015,3,,
gloomCloud30,0.015,3,,
gloomCloud31,0.015,3,,
gloomCloud32,0.015,3,,
gloomCloud33,0.015,3,,
gloomCloud34,0.015,3,,
gloomCloud35,0.015,3,,
gloomCloud36,0.015,3,,
gloomCloud37,0.015,3,,
gloomCloud38,0.015,3,,
gloomCloud39,0.015,3,,
gloomCloud40,0.015,3,,
gloomCloud41,0.015,3,,
gloomCloud42,0.015,3,,
gloomCloud43,0.015,3,,
gloomCloud44,0.015,3,,
gloomCloud45,0.015,3,,
gloomCloud46,0.015,3,,
gloomCloud47,0.015,3,,
gloomCloud48,0.015,3,,
gloomCloud49,0.015,3,,
gloomCloud50,0.015,3,,
gloomCloud51,0.015,3,,
gloomCloud52,0.015,3,,
gloomCloud53,0.015,3,,
gloomCloud54,0.015,3,,
gloomCloud55,0.015,3,,
gloomCloud56,0.015,3,,
gloomCloud57,0.015,3,,
gloomCloud58,0.015,3,,
gloomCloud59,0.015,3,,
gloomCloud60,0.015,3,,
gloomCloud61,0.015,3,,
gloomCloud62,0.015,3,,
gloomCloud63,0.015,3,,
gloomCloud64,0.015,3,,
gloomCloud65,0.015,3,,
gloomCloud66,0.015,3,,
gloomCloud67,0.015,3,,
gloomCloud68,0.015,3,,
gloomCloud69,0.015,3,,
gloomCloud70,0.015,3,,
gloomCloud71,0.015,3,,
gloomCloud72,0.015,3,,
gloomCloud73,0.015,3,,
gloomCloud74,0.015,3,,
gloomCloud75,0.015,3,,
gloomCloud76,0.015,3,,
gloomCloud77,0.015,3,,
gloomCloud78,0.015,3,,
gloomCloud79,0.015,3,,
gloomCloud80,0.015,3,,
gloomCloud81,0.015,3,,
gloomCloud82,0.015,3,,
gloomCloud83,0.015,3,,
gloomCloud84,0.015,3,,
gloomCloud85,0.015,3,,
gloomCloud86,0.015,3,,
gloomCloud87,0.015,3,,
gloomCloud88,0.015,3,,
gloomCloud89,0.015,3,,
gloomCloud90,0.015,3,,
gloomCloud91,0.015,3,,
gloomCloud92,0.015,3,,
gloomCloud93,0.015,3,,
gloomCloud94,0.015,3,,
gloomCloud95,0.015,3,,
gloomCloud96,0.015,3,,
gloomCloud97,0.015,3,,
gloomCloud98,0.015,3,,
gloomCloud99,0.015,3,,
gloomCloud100,0.015,3,,
gloomCloud101,0.015,3,,
gloomCloud102,0.015,3,,
gloomCloud103,0.015,3,,
gloomCloud104,0.015,3,,
gloomCloud105,0.015,3,,
gloomCloud106,0.015,3,,
gloomCloud107,0.015,3,,
gloomCloud108,0.015,3,,
gloomCloud109,0.015,3,,
gloomCloud110,0.015,3,,
gloomCloud111,0.015,3,,
gloomCloud112,0.015,3,,
gloomCloud113,0.015,3,,
gloomCloud114,0.015,3,,
gloomCloud115,0.015,3,,
gloomCloud116,0.015,3,,
gloomCloud117,0.015,3,,
gloomCloud118,0.015,3,,
gloomCloud119,0.015,3,,
gloomCloud120,0.015,3,,
gloomCloud121,0.015,3,,
gloomCloud122,0.015,3,,
gloomCloud123,0.015,3,,
gloomCloud124,0.015,3,,
gloomCloud125,0.015,3,,
gloomCloud126,0.015,3,,
gloomCloud127,0.015,3,,
gloomCloud128,0.015,3,,
gloomCloud129,0.015,3,,
gloomCloud130,0.015,3,,
gloomCloud131,0.015,3,,
gloomCloud132,0.015,3,,
gloomCloud133,0.015,3,,
gloomCloud134,0.015,3,,
gloomCloud135,0.015,3,,
gloomCloud136,0.015,3,,
gloomCloud137,0.015,3,,
gloomCloud138,0.015,3,,
gloomCloud139,0.015,3,,
gloomCloud140,0.015,3,,
gloomCloud141,0.015,3,,
gloomCloud142,0.015,3,,
gloomCloud143,0.015,3,,
gloomCloud144,0.015,3,,
gloomCloud145,0.015,3,,
gloomCloud146,0.015,3,,
gloomCloud147,0.015,3,,
gloomCloud148,0.015,3,,
gloomCloud149,0.015,3,,
gloomCloud150,0.015,3,,
gloomCloud151,0.015,3,,
gloomCloud152,0.015,3,,
gloomCloud153,0.015,3,,
gloomCloud154,0.015,3,,
gloomCloud155,0.015,3,,
gloomCloud156,0.015,3,,
gloomCloud157,0.015,3,,
gloomCloud158,0.015,3,,
gloomCloud159,0.015,3,,
gloomCloud160,0.015,3,,
gloomCloud161,0.015,3,,
gloomCloud162,0.015,3,,
gloomCloud163,0.015,3,,
gloomCloud164,0.015,3,,
gloomCloud165,0.015,3,,
gloomCloud166,0.015,3,,
gloomCloud167,0.015,3,,
gloomCloud168,0.015,3,,
gloomCloud169,0.015,3,,
gloomCloud170,0.015,3,,
gloomCloud171,0.015,3,,
gloomCloud172,0.015,3,,
gloomCloud173,0.015,3,,
gloomCloud174,0.015,3,,
gloomCloud175,0.015,3,,
gloomCloud176,0.015,3,,
gloomCloud177,0.015,3,,
gloomCloud178,0.015,3,,
gloomCloud179,0.015,3,,
gloomCloud180,0.015,3,,
gloomCloud181,0.015,3,,
gloomCloud182,0.015,3,,
gloomCloud183,0.015,3,,
gloomCloud184,0.015,3,,
gloomCloud185,0.015,3,,
gloomCloud186,0.015,3,,
gloomCloud187,0.015,3,,
gloomCloud188,0.015,3,,
gloomCloud189,0.015,3,,
gloomCloud190,0.015,3,,
gloomCloud191,0.015,3,,
gloomCloud192,0.015,3,,
gloomCloud193,0.015,3,,
gloomCloud194,0.015,3,,
gloomCloud195,0.015,3,,
gloomCloud196,0.015,3,,
gloomCloud197,0.015,3,,
gloomCloud198,0.015,3,,
gloomCloud199,0.015,3,,
gloomCloud200,0.015,3,,
gloomCloud201,0.015,3,,
gloomCloud202,0.015,3,,
gloomCloud203,0.015,3,,
gloomCloud204,0.015,3,,
gloomCloud205,0.015,3,,
gloomCloud206,0.015,3,,
gloomCloud207,0.015,3,,
gloomCloud208,0.015,3,,
gloomCloud209,0.015,3,,
gloomCloud210,0.015,3,,
gloomCloud211,0.015,3,,
gloomCloud212,0.015,3,,
gloomCloud213,0.015,3,,
gloomCloud214,0.015,3,,
gloomCloud215,0.015,3,,
gloomCloud216,0.015,3,,
gloomCloud217,0.015,3,,
gloomCloud218,0.015,3,,
gloomCloud219,0.015,3,,
gloomCloud220,0.025,3,,
gloomCloud600,0.01,5,,
gloomCloud601,0.01,5,,
gloomCloud602,0.01,5,,
gloomCloud603,0.01,5,,
gloomCloud604,0.01,5,,
gloomCloud605,0.01,5,,
gloomCloud606,0.01,5,,
gloomCloud607,0.01,5,,
gloomCloud608,0.01,5,,
gloomCloud609,0.01,5,,
gloomCloud610,0.01,5,,
gloomCloud611,0.01,5,,
gloomCloud612,0.01,5,,
gloomCloud613,0.01,5,,
gloomCloud614,0.01,5,,
gloomCloud615,0.01,5,,
gloomCloud616,0.01,5,,
gloomCloud617,0.01,5,,
gloomCloud618,0.01,5,,
gloomCloud619,0.01,5,,
gloomCloud620,0.01,5,,
gloomCloud621,0.01,5,,
gloomCloud622,0.01,5,,
gloomCloud623,0.01,5,,
gloomCloud624,0.01,5,,
gloomCloud625,0.01,5,,
gloomCloud626,0.01,5,,
gloomCloud627,0.01,5,,
gloomCloud628,0.01,5,,
gloomCloud629,0.01,5,,
gloomCloud630,0.01,5,,
gloomCloud631,0.01,5,,
gloomCloud632,0.01,5,,
gloomCloud633,0.01,5,,
gloomCloud634,0.01,5,,
gloomCloud635,0.01,5,,
gloomCloud636,0.01,5,,
gloomCloud637,0.01,5,,
gloomCloud638,0.01,5,,
gloomCloud639,0.01,5,,
gloomCloud640,0.01,5,,
gloomCloud641,0.01,5,,
gloomCloud642,0.01,5,,
gloomCloud643,0.01,5,,
gloomCloud644,0.01,5,,
gloomCloud645,0.01,5,,
gloomCloud646,0.01,5,,
gloomCloud647,0.01,5,,
gloomCloud648,0.01,5,,
gloomCloud649,0.01,5,,
gloomCloud650,0.01,5,,
gloomCloud651,0.01,5,,
gloomCloud652,0.01,5,,
gloomCloud653,0.01,5,,
gloomCloud654,0.01,5,,
gloomCloud655,0.01,5,,
gloomCloud656,0.01,5,,
gloomCloud657,0.01,5,,
gloomCloud658,0.01,5,,
gloomCloud659,0.01,5,,
gloomCloud660,0.01,5,,
gloomCloud661,0.01,5,,
gloomCloud662,0.01,5,,
gloomCloud663,0.01,5,,
gloomCloud664,0.01,5,,
gloomCloud665,0.01,5,,
gloomCloud666,0.01,5,,
gloomCloud667,0.01,5,,
gloomCloud668,0.01,5,,
gloomCloud669,0.01,5,,
gloomCloud670,0.01,5,,
gloomCloud671,0.01,5,,
gloomCloud672,0.01,5,,
gloomCloud673,0.01,5,,
gloomCloud674,0.01,5,,
gloomCloud675,0.01,5,,
gloomCloud676,0.01,5,,
gloomCloud677,0.01,5,,
gloomCloud678,0.01,5,,
gloomCloud679,0.01,5,,
gloomCloud680,0.01,5,,
gloomCloud681,0.01,5,,
gloomCloud682,0.01,5,,
gloomCloud683,0.01,5,,
gloomCloud684,0.01,5,,
gloomCloud685,0.01,5,,
gloomCloud686,0.01,5,,
gloomCloud687,0.01,5,,
gloomCloud688,0.01,5,,
gloomCloud689,0.01,5,,
gloomCloud690,0.01,5,,
gloomCloud691,0.01,5,,
gloomCloud692,0.01,5,,
gloomCloud693,0.01,5,,
gloomCloud694,0.01,5,,
gloomCloud695,0.01,5,,
gloomCloud696,0.01,5,,
gloomCloud697,0.01,5,,
gloomCloud698,0.01,5,,
gloomCloud699,0.01,5,,
gloomCloud700,0.01,5,,
gloomCloud701,0.01,5,,
gloomCloud702,0.01,5,,
gloomCloud703,0.01,5,,
gloomCloud704,0.01,5,,
gloomCloud705,0.01,5,,
gloomCloud706,0.01,5,,
gloomCloud707,0.01,5,,
gloomCloud708,0.01,5,,
gloomCloud709,0.01,5,,
gloomCloud710,0.01,5,,
gloomCloud711,0.01,5,,
gloomCloud712,0.01,5,,
gloomCloud713,0.01,5,,
gloomCloud714,0.01,5,,
gloomCloud715,0.01,5,,
gloomCloud716,0.01,5,,
gloomCloud717,0.01,5,,
gloomCloud718,0.01,5,,
gloomCloud719,0.01,5,,
gloomCloud720,0.01,5,,
gloomCloud721,0.01,5,,
gloomCloud722,0.01,5,,
gloomCloud723,0.01,5,,
gloomCloud724,0.01,5,,
gloomCloud725,0.01,5,,
gloomCloud726,0.01,5,,
gloomCloud727,0.01,5,,
gloomCloud728,0.01,5,,
gloomCloud729,0.01,5,,
gloomCloud730,0.01,5,,
gloomCloud731,0.01,5,,
gloomCloud732,0.01,5,,
gloomCloud733,0.01,5,,
gloomCloud734,0.01,5,,
gloomCloud735,0.01,5,,
gloomCloud736,0.01,5,,
gloomCloud737,0.01,5,,
gloomCloud738,0.01,5,,
gloomCloud739,0.01,5,,
gloomCloud740,0.01,5,,
gloomCloud741,0.01,5,,
gloomCloud742,0.01,5,,
gloomCloud743,0.01,5,,
gloomCloud744,0.01,5,,
gloomCloud745,0.01,5,,
gloomCloud746,0.01,5,,
gloomCloud747,0.01,5,,
gloomCloud748,0.01,5,,
gloomCloud749,0.01,5,,
gloomCloud750,0.01,5,,
gloomCloud751,0.01,5,,
gloomCloud752,0.01,5,,
gloomCloud753,0.01,5,,
gloomCloud754,0.01,5,,
gloomCloud755,0.01,5,,
gloomCloud756,0.01,5,,
gloomCloud757,0.01,5,,
gloomCloud758,0.01,5,,
gloomCloud759,0.01,5,,
gloomCloud760,0.01,5,,
gloomCloud761,0.01,5,,
gloomCloud762,0.01,5,,
gloomCloud763,0.01,5,,
gloomCloud764,0.01,5,,
gloomCloud765,0.01,5,,
gloomCloud766,0.01,5,,
gloomCloud767,0.01,5,,
gloomCloud768,0.01,5,,
gloomCloud769,0.01,5,,
gloomCloud770,0.01,5,,
gloomCloud771,0.01,5,,
gloomCloud772,0.01,5,,
gloomCloud773,0.01,5,,
gloomCloud774,0.01,5,,
gloomCloud775,0.01,5,,
gloomCloud776,0.01,5,,
gloomCloud777,0.01,5,,
gloomCloud778,0.01,5,,
gloomCloud779,0.01,5,,
gloomCloud780,0.01,5,,
gloomCloud781,0.01,5,,
gloomCloud782,0.01,5,,
gloomCloud783,0.01,5,,
gloomCloud784,0.01,5,,
gloomCloud785,0.01,5,,
gloomCloud786,0.01,5,,
gloomCloud787,0.01,5,,
gloomCloud788,0.01,5,,
gloomCloud789,0.01,5,,
gloomCloud790,0.01,5,,
gloomCloud791,0.01,5,,
gloomCloud792,0.01,5,,
gloomCloud793,0.01,5,,
gloomCloud794,0.01,5,,
gloomCloud795,0.01,5,,
gloomCloud796,0.01,5,,
gloomCloud797,0.01,5,,
