identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,harvestTimeInSeconds,harvestAmount,experienceThreshold,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,Array<String>,String,Integer,String,Integer,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,LocalizedString,String,Integer,String,String,Integer,String
GoldMineUpgrades_1,1,0,stru_resource_gold_level01.lvl,,,food:28,3,,1,21600,gold:180,,6482,,,experience:17,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,1,,,0,
GoldMineUpgrades_2,2,0,stru_resource_gold_level02.lvl,,,food:144,900,,1,21600,gold:360,,8986,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,1,,,0,
GoldMineUpgrades_3,3,0,stru_resource_gold_level03.lvl,,,food:966,5832,,1,32400,gold:945,,14919,,,experience:9,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,1,,,0,
GoldMineUpgrades_4,4,0,stru_resource_gold_level03.lvl,,,food:2304,11108,,1,43200,gold:1800,,21620,,,experience:16,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,2,,,0,
GoldMineUpgrades_5,5,0,stru_resource_gold_level03.lvl,,,food:5376,17280,,1,54000,gold:3150,,27062,,,experience:24,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,3,,,0,
GoldMineUpgrades_6,6,0,stru_resource_gold_level03.lvl,,,food:8295,18514,,1,64800,gold:4860,,33538,,,experience:26,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,4,,,0,
GoldMineUpgrades_7,7,0,stru_resource_gold_level03.lvl,,,food:12365,24000,,1,75600,gold:7245,,41564,,,experience:34,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,5,,,0,
GoldMineUpgrades_8,8,0,stru_resource_gold_level03.lvl,,,food:21504,30052,,1,75600,gold:8820,,51511,,,experience:42,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,6,,,0,
GoldMineUpgrades_9,9,0,stru_resource_gold_level03.lvl,,,food:26112,48137,,1,75600,gold:10710,,60506,,,experience:67,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,7,,,0,
GoldMineUpgrades_10,10,0,stru_resource_gold_level03.lvl,,,food:30720,47265,,1,75600,gold:12600,,71070,,,experience:66,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_gold_death.lvl,Heal Neighboring Towers,,8,,,0,
