identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,String
GoldStatueUpgrades_1,1,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level01,1250,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_2,2,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level04,1633,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_3,3,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level07,2160,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_4,4,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level10,2744,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_5,5,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level13,3563,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_6,6,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level16,4584,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_7,7,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level19,5828,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_8,8,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level22,7206,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_9,9,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level25,8541,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_10,10,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level28,10042,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_11,11,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level31,11795,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_12,12,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level34,13854,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_13,13,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level37,16273,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_14,14,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level40,19115,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_15,15,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level43,22453,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_16,16,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level46,26373,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_17,17,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level49,30978,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_18,18,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level52,36387,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_19,19,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level55,42742,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
GoldStatueUpgrades_20,20,1,prop_monument_dragonStatue_gold.lvl,,piercing:0,0,level58,50205,,,,0~20~60,,,,,,,prop_monument_dragonStatue_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,
