identifier,googleAchievementIdentifier,inGameAchievementIdentifier,description,segment,h
String,String,String,String,Integer,String
1,CgkI8ZW2pPcJEAIQAw,tutorialDefense1AI,Complete first defense,1,
2,CgkI8ZW2pPcJEAIQBA,questHaveThreeDragons,Hatch 3 dragons,1,
3,CgkI8ZW2pPcJEAIQBQ,questHavePurpleDragon,Hatch the Google Dragon,1,
4,CgkI8ZW2pPcJEAIQBg,questDragon16,Train one Epic dragon to expert level ,2,
5,CgkI8ZW2pPcJEAIQBw,portraitFlamma,Win 100 battles,2,
6,CgkI8ZW2pPcJEAIQCA,questHaveSixDragons,Hatch 6 dragons,2,
7,CgkI8ZW2pPcJEAIQCQ,upgradeBuildings2505,Upgrade towers to level 25,2,
8,CgkI8ZW2pPcJEAIQCg,questDragon14,Breed 5 blue dragons,2,
9,CgkI8ZW2pPcJEAIQCw,expansionClear08,Clear 8 Islands,2,
10,CgkI8ZW2pPcJEAIQDA,getTutorialRunes,Unlock Runes,2,
11,CgkI8ZW2pPcJEAIQDQ,portraitMaximilian2,Forge 200 boosts,2,
12,CgkI8ZW2pPcJEAIQDg,portraitShawni,Win 1000 battles,3,
13,CgkI8ZW2pPcJEAIQDw,portraitQuint2,Hatch 30 dragons,3,
14,CgkI8ZW2pPcJEAIQEA,questDragon15,Train 3 rare dragons to expert level,3,
15,CgkI8ZW2pPcJEAIQEQ,questDragon21,Breed 4 legendary dragons,4,
16,CgkI8ZW2pPcJEAIQEg,unlockT2GoldDragon,Unlock Gold dragon,4,
17,CgkI8ZW2pPcJEAIQEw,portraitSpiculus,Win 2000 battles,4,!@#bkfeomjljogjmone
