identifier,flagInsideColor,flagOutsideColor,emblemIndex,h
String,String,String,Integer,String
icon_team_crest_001,7B1802,9D7313,1,
icon_team_crest_002,0C3060,16689C,23,
icon_team_crest_003,604463,BE7917,2,
icon_team_crest_004,293A86,59777B,24,
icon_team_crest_005,5A4244,7C6458,3,
icon_team_crest_006,4A111A,C76415,25,
icon_team_crest_007,1242AB,C18612,4,
icon_team_crest_008,454B61,7F6A5B,26,
icon_team_crest_009,523B87,79637A,5,
icon_team_crest_010,336120,829133,27,
icon_team_crest_011,212D68,AB7613,6,
icon_team_crest_012,3E4086,986414,28,
icon_team_crest_013,57596E,5F8091,7,
icon_team_crest_014,4C4336,A16921,29,
icon_team_crest_015,406F2C,89986A,8,
icon_team_crest_016,406F2C,B48B2A,8,
icon_COA_griffin,7B1802,1E6A87,0,
icon_COA_horseshoe,BD7D42,667474,30,
icon_COA_knightHelm,225F6C,6A7B7B,9,
icon_COA_leaves,883025,4C802F,31,
icon_COA_lightning,3A5352,678080,10,
icon_COA_lion,4D000E,9D7313,32,
icon_COA_lollipop,4C4C4C,898372,11,
icon_COA_moon,326C9F,A87A1C,33,
icon_COA_mountains,515860,80796F,12,
icon_COA_moustache,29657F,AA7734,34,
icon_COA_painterPalette,29657F,AA7734,13,
icon_COA_pattern_01,3974A3,998D7D,35,
icon_COA_pattern_02,31829A,B07633,14,
icon_COA_pattern_03,25674D,71A284,36,
icon_COA_pattern_04,2A529C,66759D,15,
icon_COA_pattern_05,445272,5C7BB2,37,
icon_COA_pattern_06,4A5267,777FA3,16,
icon_COA_pattern_07,6B1A12,8D8579,38,
icon_COA_pattern_08,540074,A37231,17,
icon_COA_pencil,18675A,875D2B,39,
icon_COA_pirateSkull,2C4048,976129,18,
icon_COA_ruby,214480,7486E7,40,
icon_COA_ship,3B568F,868798,19,
icon_COA_skull,7E2234,868798,41,
icon_COA_star,1D666B,B1812B,20,
icon_COA_storm,1B6376,878C98,42,
icon_COA_sun,2F627A,748386,21,
icon_COA_talons,8E8069,DB8741,43,
icon_COA_trees,456349,8BAB62,22,
icon_COA_trophy,4F2024,978D8D,44,!@#jgeinccphjdccmil
