key,value,localizedValue,h
String,String,LocalizedString,String
guildDisplayNameMinLength,4,,
guildDisplayNameMaxLength,14,,
guildStatementMaxLength,80,,
guildDescriptionMaxLength,3000,,
guildRefreshDelayFast,600,,
guildRefreshDelaySlow,1200,,
guildRequestTimeout,15,,
guildRequestRetries,3,,
guildDefaultCapacity,50,,
guildCrestNames,icon_team_crest_001|icon_team_crest_002|icon_team_crest_003|icon_team_crest_004|icon_team_crest_005|icon_team_crest_006|icon_team_crest_007|icon_team_crest_008|icon_team_crest_009|icon_team_crest_010|icon_team_crest_011|icon_team_crest_012|icon_team_crest_013|icon_team_crest_014|icon_team_crest_015|icon_team_crest_016|icon_COA_griffin|icon_COA_horseshoe|icon_COA_knightHelm|icon_COA_leaves|icon_COA_lightning|icon_COA_lion|icon_COA_lollipop|icon_COA_moon|icon_COA_mountains|icon_COA_moustache|icon_COA_painterPalette|icon_COA_pattern_01|icon_COA_pattern_02|icon_COA_pattern_03|icon_COA_pattern_04|icon_COA_pattern_05|icon_COA_pattern_06|icon_COA_pattern_07|icon_COA_pattern_08|icon_COA_pencil|icon_COA_pirateSkull|icon_COA_ruby|icon_COA_ship|icon_COA_skull|icon_COA_star|icon_COA_storm|icon_COA_sun|icon_COA_talons|icon_COA_trees|icon_COA_trophy,,
guildDefaultApplicationPolicy,auto_accept,,
guildActivenessDisplayStrings,,0:New|1:Inactive|2:Low Activity|3:Active|4:Very Active,
minimumGuildsToSuggest,3,,
maximumGuildsToSuggest,10,,
idealGuildsToSuggest,6,,
hideAutoKickButtonAndText,1,,
recruitCost,piercing:500,,
numberOfActiveMembersToRecruit,3,,
recruitSendingMailRetryTimeout,45,,
guildIconAmount,45,,
perferredLanguageTitle,,Preferred Language Difference,
perferredLanguageMessage,,This Team's preferred language does not match yours. Are you sure you want to join this team?,
numberOfGuildsToQuery,50,,
activenessToQuery,Active,,!@#dkikemclhchgjjmi
