identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,harvestTimeInSeconds,harvestAmount,experienceThreshold,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,Array<String>,String,Integer,String,Integer,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,LocalizedString,String,Integer,String,String,Integer,String
HogFarmUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_sheep_level01.lvl,,,piercing:28,60,,1,21600,food:180,,6482,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level01_death.lvl,Heal Neighboring Towers,,1,,,0,
HogFarmUpgrades_2,2,0,stru_resource_sheep_level02.lvl,,,piercing:144,60,level03,1,21600,food:360,,8986,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level02_death.lvl,Heal Neighboring Towers,,1,,,0,
HogFarmUpgrades_3,3,0,stru_resource_sheep_level03.lvl,,,piercing:966,300,,1,32400,food:945,,14919,,,experience:9,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,1,,,0,
HogFarmUpgrades_4,4,0,stru_resource_sheep_level03.lvl,,,piercing:2304,2100,,7,43200,food:1800,,21620,,,experience:16,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,2,,,0,
HogFarmUpgrades_5,5,0,stru_resource_sheep_level03.lvl,,,piercing:5376,10500,,17,54000,food:3150,,27062,,,experience:24,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,3,,,0,
HogFarmUpgrades_6,6,0,stru_resource_sheep_level03.lvl,,,piercing:8295,18900,,17,64800,food:4860,,33538,,,experience:26,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,4,,,0,
HogFarmUpgrades_7,7,0,stru_resource_sheep_level03.lvl,,,piercing:12365,24000,,21,75600,food:7245,,41564,,,experience:34,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,5,,,0,
HogFarmUpgrades_8,8,0,stru_resource_sheep_level03.lvl,,,piercing:21504,30052,,25,75600,food:8820,,51511,,,experience:42,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,6,,,0,
HogFarmUpgrades_9,9,0,stru_resource_sheep_level03.lvl,,,piercing:26112,48137,,25,75600,food:10710,,60506,,,experience:67,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,7,,,0,
HogFarmUpgrades_10,10,0,stru_resource_sheep_level03.lvl,,,piercing:30720,47265,,25,75600,food:12600,,71070,,,experience:66,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,8,,,0,
HogFarmUpgrades_11,11,0,stru_resource_sheep_level03.lvl,,,piercing:35328,58320,,28,75600,food:14490,,79120,,,experience:81,,,heal:heal|showBattleText:repairShotText,1.5,1,90,stru_resource_sheep_level03_death.lvl,Heal Neighboring Towers,,9,,,0,
