identifier,inBundle,type,iapIdentifier,chainIdentifier,name,title,subtitle,enabled,eligibleForDailyOffer,revInCents,defaultLocalizedPrice,defaultLocalizedPriceValue,sale,sandboxNumber,backgroundImageFilename,itemImageFilename,itemImageFilenameV2,dailyOfferStoreImageFilename,dailyOfferFullScreenImageFilename,giftType,rewardIdentifier,useGenericPurchasedPopup,achievementsToMakeVisible,achievementsToMakeInvisible,purchaseTimes,contentImageFileName,multiplier,listPriority,shouldRestrictPurchaseIfContentsOwned,extraInfo,haveRightToLeftImage,skuTag,isGiftable,isOnlyGiftable,cooldownMinutes,isAtlasPack,selectablePack,selectableText,h
String,Integer,String,String,String,LocalizedString,LocalizedString,LocalizedString,String,String,String,String,String,String,String,String,String,String,String,String,String,String,Integer,String,String,Integer,String,Float,Integer,Integer,String,Integer,LocalizedString,Integer,Integer,Integer,Integer,String,LocalizedString,String
VP1_1,0,ValuePack,value_pack_1a,chain1,Starter Pack,Starter Pack,Bonus Tokens!,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_1,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP1_2,0,ValuePack,value_pack_1b,chain5,Starter Pack,Starter Pack,Bonus Tokens!,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_2,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP1_3,0,ValuePack,value_pack_1c,,Starter Pack,Starter Pack,Starter Pack,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_3,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP1_4,0,ValuePack,value_pack_1d,,Starter Pack,Starter Pack,Starter Pack,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_4,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP1_5,0,ValuePack,value_pack_1e,valuePackChain1e,Starter Pack,Starter Pack,Starter Pack,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_5,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP1_6,0,ValuePack,value_pack_1f,valuePackChain1f,Starter Pack,Starter Pack,Starter Pack,1,0,350,$4.99,4.99,,0,valuePack_bg_normal01.png,valuePack_bg_Normal_item01.png,valuePack_bg_Normal_item01_v2.jpg,,,Silver,valuePackRewardVP1_6,0,,,,valuePack_normal_content01.png,3,50,,,,,0,0,,0,,,
VP2_1,0,ValuePack,value_pack_2a,chain2,Greater Pack,Greater Pack,Bonus Speed Ups!,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Silver,valuePackRewardVP2_1,0,,,,valuePack_normal_content02.png,3,60,,,,,0,0,,0,,,
VP2_2,0,ValuePack,value_pack_2b,chain6,Greater Pack,Greater Pack,Lots of Tokens!,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Silver,valuePackRewardVP2_2,0,,,,valuePack_normal_content02.png,3,60,,,,,0,0,,0,,,
VP2_3,0,ValuePack,value_pack_2c,,Value Pack 3,Value Pack 3,Value Pack,1,0,1400,$19.99,19.99,,0,valuePack_bg_normal02.png,valuePack_bg_Normal_item02.png,valuePack_bg_Normal_item02_v2.jpg,,,Silver,valuePackRewardVP2_3,0,,,,valuePack_normal_content02.png,3,60,,,,,0,0,,0,,,
