identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,Integer,String,String,Integer,String
IncubatorUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_incubator_level01.lvl,,piercing:3,2,,,100,,,experience:1,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level01_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_2,2,0,stru_resource_incubator_level02.lvl,,piercing:1980,43200,,7,100,,,experience:60,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level02_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_3,3,0,stru_resource_incubator_level03.lvl,,piercing:10368,92160,,14,100,,,experience:128,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_4,4,0,stru_resource_incubator_level03.lvl,,piercing:41904,219429,,28,100,,,experience:305,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_5,5,0,stru_resource_incubator_level03.lvl,,piercing:105840,628364,,40,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_6,6,0,stru_resource_incubator_level03.lvl,,piercing:231168,1728000,,63,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_7,7,0,stru_resource_incubator_level03.lvl,,piercing:305472,1958400,,90,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_8,8,0,stru_resource_incubator_level03.lvl,,piercing:305472,1958400,,108,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_9,9,0,stru_resource_incubator_level03.lvl,,piercing:305472,1958400,,108,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_10,10,0,stru_resource_incubator_level03.lvl,,piercing:305472,1958400,,130,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_11,11,0,stru_resource_incubator_level03.lvl,,piercing:862752,4559777,,182,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_12,12,0,stru_resource_incubator_level03.lvl,,piercing:1636752,5000000,,280,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_13,13,0,stru_resource_incubator_level03.lvl,,piercing:1933968,5000000,,360,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_14,14,0,stru_resource_incubator_level03.lvl,,piercing:2280720,5000000,,400,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,
IncubatorUpgrades_15,15,0,stru_resource_incubator_level03.lvl,,piercing:2577936,5000000,,435,100,,,experience:400,0~12.75~56,,,,1.5,1,90,stru_resource_incubator_level03_death.lvl,,,0,prop_constructionKit_incubator.lvl,,1,!@#kikeahlfdeeebbpi
