identifier,rewards,weights,h
String,Map<String:Integer>,Map<String:Float>,String
beastDrop1,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop2,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop3,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop4,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop5,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop6,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop7,cmCrystalearth:100|cmCrystalfire:100|cmCrystalwind:100|cmCrystalice:100|cmCrystaldark:100|craftingScroll:5,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03,
beastDrop8,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop9,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop10,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop11,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop12,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop13,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop14,cmCrystalearth:120|cmCrystalfire:120|cmCrystalwind:120|cmCrystalice:120|cmCrystaldark:120|craftingScroll:5|redRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01,
beastDrop15,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop16,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop17,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop18,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop19,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop20,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop21,cmCrystalearth:140|cmCrystalfire:140|cmCrystalwind:140|cmCrystalice:140|cmCrystaldark:140|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.03|cmCrystalfire:0.03|cmCrystalwind:0.03|cmCrystalice:0.03|cmCrystaldark:0.03|craftingScroll:0.03|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop22,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop23,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop24,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop25,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop26,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
beastDrop27,cmCrystalearth:160|cmCrystalfire:160|cmCrystalwind:160|cmCrystalice:160|cmCrystaldark:160|craftingScroll:5|redRiderShard:1|blueRiderShard:1,cmCrystalearth:0.04|cmCrystalfire:0.04|cmCrystalwind:0.04|cmCrystalice:0.04|cmCrystaldark:0.04|craftingScroll:0.04|redRiderShard:0.01|blueRiderShard:0.01,
