identifier,type,objectType,expansionArea,level,stage,moveable,amount,h
String,String,String,String,Integer,Integer,Integer,Integer,String
1,BUILDING,stable,expansion_057,1,,,,
2,BUILDING,breedingGround,expansion_058,0,,,,
3,BUILDING,research,expansion_059,0,,,,
4,BUILDING,storage,expansion_060,1,,,,
5,BUILDING,incubator,expansion_061,1,,,,
6,BUILDING,builder,expansion_062,0,,,,
7,BUILDING,guild,expansion_064,0,,,,
8,BUILDING,forge,expansion_065,0,,,,
10,DRAGON,T1C1WFdragon,,1,,,,
11,CONSUMABLE,repairConsumable,,,,,3,
12,CONSUMABLE,attackConsumable,,,,,3,
13,CONSUMABLE,armorConsumable,,,,,3,
20,BUILDING,statues,DITM_island02,1,0,0,,
21,BUILDING,lighthouse,DITM_island03,1,0,0,,
22,BUILDING,waterGate,DITM_island04,1,0,0,,
23,BUILDING,library,DITM_island05,1,0,0,,
24,BUILDING,temple,DITM_island06,1,0,0,,
25,BUILDING,mountDragon,DITM_island07,1,0,0,,
26,BUILDING,tripleTowers,DITM_island08,1,0,0,,
27,BUILDING,shrine,loc_monument_waterGod,1,1,0,,
28,BUILDING,rubyMine,loc_rubyMine,1,1,0,,
29,BUILDING,runeBuilding,loc_runeBuilding,0,1,0,,
30,BUILDING,salvageDepot,loc_salvageDepot,0,1,0,,
31,BUILDING,perchIsland03,loc_perchGrass,0,1,0,,
32,BUILDING,perchIsland06,loc_perchAutumn,0,1,0,,
33,BUILDING,perchIsland08,loc_perchVolcano,0,1,0,,!@#bndpcelmfgclpacj
