identifier,tens,ones,h
String,String,String,String
0,Angry,Dracos,
1,Furious,Friggs,
2,Unstoppable,Ghaums,
3,Fearsome,Alikorns,
4,Fierce,Hantus,
5,Formidable,Vladimirs,
6,Ferocious,Jorns,
7,Fiery,Horgons,
8,Savage,Enkis,
9,Raging,Nagas,
10,Zealous,Zins,
11,Patriotic,Garudas,
12,Hungry,Arborius,
13,Conquering,Leviathans,
14,Powerful,Bolts,
15,Majestic,Fenrirs,
16,Spectacular,Kinnaras,
17,Incredible,Kastors,
18,Fantastic,Dominus,
19,Angry,Yanaris,
20,Furious,Vazirs,
21,Unstoppable,Drudes,
22,Fearsome,Sahran,
23,Fierce,Carsises,
24,Formidable,Kelsises,
25,Ferocious,Etzels,
26,Fiery,Kobahls,
27,Savage,Baldrs,
28,Raging,Luminarks,
29,Zealous,Numens,
30,Patriotic,Slynxs,
31,Hungry,Nosses,
32,Conquering,Hydrons,
33,Powerful,Ankors,
34,Majestic,Habroks,
35,Spectacular,Voloses,
36,Incredible,Amaroks,
37,Fantastic,Ormarrs,!@#booooenmngfhgahm
