identifier,shouldTrack,h
String,String,String
dragonExpertReached,1,
guildDefendPVPInviteReceived,1,
guildAttackPVPInviteReceived,1,
nameSaved,1,
iap_funnel,1,
sessionEnd,1,
sessionStart,1,
dragonUpgraded,1,
dragons_used,1,
dragonHealed,1,
launch_from_notification,1,
firstTimeJoinGuild,1,
guildApplicationResolutionReceived,1,
left_guild,1,
tutAuxDefense1BuildMode,1,
event_main_round,1,
resource_received,1,
rider_level_up,1,
guild_leader_online,1,
user_level_up,1,
getReferral,1,
resource_send,1,
daily_offer_shown,1,
daily_offer_purchase,1,!@#kfahhcdhcjghjbhj
