identifier,androidSpellOrdering,iOSSpellOrdering,h
String,String,String,String
algorDragon,dreadfulRoar:0|heatBlastShield:1|archerResist01:2|iceTurretResist01:3,dreadfulRoar:0|heatBlastShield:1|archerResist01:2|iceTurretResist01:3,
androidDragon,freezeSpell:0|summonAIDragon:1,freezeSpell:0|summonAIDragon:1,
aprilBlueDragon,invincibleSpell:0|summonAIDragon:1|cannonResist01:2,invincibleSpell:0|summonAIDragon:1|cannonResist01:2,
aprilGoldDragon,chargedShield:0|invertSpell:1|archerResist01:2|cannonResist01:3,invertSpell:0|chargedShield:1|archerResist01:2|cannonResist01:3,
augustPlatinumDragon,sacrifice:0|risingPhoenix:1|invertSpell:2|lightningResist01:3,sacrifice:0|invertSpell:1|risingPhoenix:2|lightningResist01:3,
bixiDragon,chargedShield:0|intimidatingRoar:1|trebuchetResist01:2|lightningResist01:3,intimidatingRoar:0|chargedShield:1|trebuchetResist01:2|lightningResist01:3,
boneDefenseDragon,aoeSpell:0|archerResist01:1,aoeSpell:0|archerResist01:1,
chineseDragon02,chainLightning:0|freezeSpell:1|aoeSpell:2|ballistaResist01:3,freezeSpell:0|chainLightning:1|aoeSpell:2|ballistaResist01:3,
chineseTutorialDragon,chainLightning:0,chainLightning:0,
demonDragon,sacrifice:0|maleficBreath:1|heatedPiercingBreath:2|heatBlastShield:3,sacrifice:0|maleficBreath:1|heatedPiercingBreath:2|heatBlastShield:3,
dodoDragon,freezeSpell:0|invincibleSpell:1|cannonResist01:2,invincibleSpell:0|freezeSpell:1|cannonResist01:2,
E17Q4DiscountDragon,starburn:0|heatBlastShield:1|darkFlakResist01:2|fireTurretResist01:3,starburn:0|heatBlastShield:1|fireTurretResist01:2|darkFlakResist01:3,
E17Q4FinalDragon,frostbite:0|umbralSpike:1|dissipate:2|iceTurretResist01:3,frostbite:0|umbralSpike:1|dissipate:2|iceTurretResist01:3,
E17Q4HunterDragon,frenzySpell:0|cloak:1|healingMark:2|iceTurretResist01:3,cloak:0|healingMark:1|frenzySpell:2|iceTurretResist01:3,
E17Q4NewYearDragon,hurricane:0|battlecry:1|iceTurretResist01:2|fireFlakResist01:3,battlecry:0|hurricane:1|iceTurretResist01:2|fireFlakResist01:3,
E17Q4SorcererDragon,stealEssence:0|shadowApophet:1|chainLightning:2|lightningResist01:3,shadowApophet:0|stealEssence:1|chainLightning:2|lightningResist01:3,
E17Q4WarriorDragon,shieldAssault:0|intimidatingRoar:1|healDragon:2|darkFlakResist01:3,shieldAssault:0|intimidatingRoar:1|healDragon:2|darkFlakResist01:3,
E18Q1DiscountDragon,dodge:0|healthRageDeathMark:1|frenzySpell:2|fireFlakResist01:3,healthRageDeathMark:0|dodge:1|frenzySpell:2|fireFlakResist01:3,
E18Q1FinalDragon,sacrifice:0|nocturnalFissure:1|freezeSpell:2|darkFlakResist01:3,sacrifice:0|nocturnalFissure:1|freezeSpell:2|darkFlakResist01:3,
E18Q1GoofyDragon,cloak:0|kamikaze:1|healDragon:2|ballistaResist01:3,cloak:0|healDragon:1|kamikaze:2|ballistaResist01:3,
E18Q1HunterDragon,cloak:0|lockdown:1|berserk:2|iceTurretResist01:3,cloak:0|lockdown:1|berserk:2|iceTurretResist01:3,
E18Q1SorcererDragon,umbralSpike:0|northernLights:1|southernCross:2|fireTurretResist01:3,umbralSpike:0|southernCross:1|northernLights:2|fireTurretResist01:3,
E18Q1WarriorDragon,healDragon:0|crystallineShield:1|maleficBreath:2|iceFlakResist01:3,healDragon:0|crystallineShield:1|maleficBreath:2|iceFlakResist01:3,
E18Q2DiscountDragon,adaptiveResist:0|frenzySpell:1|northernLights:2|chainLightning:3,adaptiveResist:0|frenzySpell:1|northernLights:2|chainLightning:3,
E18Q2FestiveDragon,adaptiveResist:0|healDragon:1|freezeSpell:2|elementalBarrier:3,healDragon:0|adaptiveResist:1|freezeSpell:2|elementalBarrier:3,
E18Q2FinalDragon,bloodFury:0|explosiveAegis:1|thunderstorm:2|darkFlakResist01:3,bloodFury:0|explosiveAegis:1|thunderstorm:2|darkFlakResist01:3,
E18Q2HunterDragon,cloak:0|maleficBreath:1|risingPhoenix:2|fireFlakResist01:3,cloak:0|maleficBreath:1|risingPhoenix:2|fireFlakResist01:3,
E18Q2SorcererDragon,sacrifice:0|dissipate:1|umbralSpike:2|darkFlakResist01:3,sacrifice:0|dissipate:1|umbralSpike:2|darkFlakResist01:3,
E18Q2WarriorDragon,furyOfTheWastes:0|nova:1|stoneskin:2|iceFlakResist01:3,furyOfTheWastes:0|nova:1|stoneskin:2|iceFlakResist01:3,
E18Q3DiscountDragon,healDragon:0|absorbMagic:1|battlecry:2|iceFlakResist01:3,healDragon:0|absorbMagic:1|battlecry:2|iceFlakResist01:3,
E18Q3FestiveDragon,maleficBreath:0|seekerShots:1|nova:2|darkFlakResist01:3,maleficBreath:0|seekerShots:1|nova:2|darkFlakResist01:3,
E18Q3HunterDragon,adaptiveResist:0|cloak:1|consume:2|seethingSpark:3,adaptiveResist:0|consume:1|cloak:2|seethingSpark:3,
E18Q3MythicHunterDragon,frostbite:0|freezeSpell:1|cloak:2|energySyphon:3,frostbite:0|freezeSpell:1|cloak:2|energySyphon:3,
E18Q3MythicWarriorDragon,fluxSpell:0|dodge:1|heatedPiercingBreath:2|elementalResist01:3,fluxSpell:0|dodge:1|heatedPiercingBreath:2|elementalResist01:3,
E18Q3SorcererDragon,desiccatingSand:0|northernLights:1|instantKill:2|elementalResist01:3,northernLights:0|desiccatingSand:1|instantKill:2|elementalResist01:3,
E18Q4DiscountDragon,cloak:0|healthRageDeathMark:1|maleficBreath:2|iceFlakResist01:3,healthRageDeathMark:0|cloak:1|maleficBreath:2|iceFlakResist01:3,
E18Q4FestiveDragon,starburn:0|lightSpeed:1|elementalBarrier:2|energySyphon:3,starburn:0|lightSpeed:1|elementalBarrier:2|energySyphon:3,
E18Q4MythicSorcererDragon,bloodFury:0|fluxSpell:1|umbralSpike:2|elementalResist01:3,bloodFury:0|fluxSpell:1|umbralSpike:2|elementalResist01:3,
E18Q4MythicWarriorDragon,berserk:0|dreadfulRoar:1|alterFate:2|elementalResist01:3,berserk:0|dreadfulRoar:1|alterFate:2|elementalResist01:3,
