identifier,requiredXp,maxComponentsPerBuilding,minAvailableDragonsToShowWarning,defenderLevelXPPayout,attackerLevelXPPayoutCap,maxParallelGiftTransfers,maxCurrencyPerGiftTransfer,minOpponentLevelForBreederQuest,minOpponentLevelForChallenging,h
String,Integer,Map<String:Integer>,Integer,Float,Integer,Integer,String,Integer,Integer,String
0,0,piercing:1|artillery:1|aura:1|lightning:1,1,0.01,1000,3,piercing:300|ruby:1000|food:300|gold:300,0,5,
1,4,piercing:1|artillery:1|aura:1|lightning:1,1,0.004,102,3,food:720|piercing:720|ruby:0|gold:720,0,6,
2,9,piercing:1|artillery:1|aura:1|lightning:1,1,0.003998,148,3,food:720|piercing:720|ruby:0|gold:720,0,7,
3,27,piercing:1|artillery:1|aura:1|lightning:1,1,0.003994,198,3,food:720|piercing:720|ruby:0|gold:720,0,7,
4,77,piercing:1|artillery:1|aura:1|lightning:1,1,0.003988,198,3,food:738|piercing:738|ruby:0|gold:738,0,7,
5,187,piercing:1|artillery:1|aura:1|lightning:1,1,0.00398,252,3,food:922|piercing:922|ruby:0|gold:922,1,8,
6,427,piercing:1|artillery:1|aura:1|lightning:1,1,0.00397,304,3,food:1107|piercing:1107|ruby:0|gold:1107,2,8,
7,817,piercing:1|artillery:1|aura:1|lightning:1,2,0.003957,304,3,food:1291|piercing:1291|ruby:0|gold:1291,3,8,
8,1377,piercing:1|artillery:1|aura:1|lightning:1,2,0.003941,359,3,food:1912|piercing:1912|ruby:0|gold:1912,4,9,
9,2277,piercing:1|artillery:1|aura:1|lightning:1,2,0.003922,423,3,food:1912|piercing:1912|ruby:0|gold:1912,4,9,
10,3237,piercing:1|artillery:1|aura:1|lightning:1,2,0.0039,423,3,food:2376|piercing:2376|ruby:0|gold:2376,5,10,
11,4767,piercing:1|artillery:1|aura:1|lightning:1,2,0.003875,488,3,food:2866|piercing:2866|ruby:0|gold:2866,6,10,
12,6387,piercing:1|artillery:1|aura:1|lightning:1,2,0.003847,488,3,food:2866|piercing:2866|ruby:0|gold:2866,7,10,
13,8097,piercing:1|artillery:1|aura:1|lightning:1,2,0.003816,562,3,food:3384|piercing:3384|ruby:0|gold:3384,8,10,
14,10497,piercing:1|artillery:1|aura:1|lightning:1,2,0.003782,562,3,food:4341|piercing:4341|ruby:0|gold:4341,9,10,
15,12897,piercing:1|artillery:1|aura:1|lightning:1,2,0.003745,637,3,food:4341|piercing:4341|ruby:0|gold:4341,10,10,
16,15297,piercing:1|artillery:1|aura:1|lightning:1,2,0.003705,637,3,food:4897|piercing:4897|ruby:0|gold:4897,11,10,
17,18297,piercing:1|artillery:1|aura:1|lightning:1,2,0.003662,729,3,food:4897|piercing:4897|ruby:0|gold:4897,12,10,
18,21297,piercing:1|artillery:1|aura:1|lightning:1,2,0.003617,729,3,food:5472|piercing:5472|ruby:0|gold:5472,13,10,
19,24297,piercing:1|artillery:1|aura:1|lightning:1,2,0.003569,822,3,food:5472|piercing:5472|ruby:0|gold:5472,14,10,
20,27897,piercing:1|artillery:1|aura:1|lightning:1,2,0.003519,822,3,food:6069|piercing:6069|ruby:0|gold:6069,15,10,
21,31497,piercing:1|artillery:1|aura:1|lightning:1,2,0.003466,936,3,food:6069|piercing:6069|ruby:0|gold:6069,16,10,
22,35097,piercing:1|artillery:1|aura:1|lightning:1,2,0.003411,936,3,food:6688|piercing:6688|ruby:0|gold:6688,17,10,
23,39897,piercing:1|artillery:1|aura:1|lightning:1,2,0.003354,1051,3,food:6688|piercing:6688|ruby:0|gold:6688,18,10,
24,44697,piercing:1|artillery:1|aura:1|lightning:1,2,0.003296,1051,3,food:7333|piercing:7333|ruby:0|gold:7333,19,10,
25,49497,piercing:1|artillery:1|aura:1|lightning:1,2,0.003236,1051,3,food:7333|piercing:7333|ruby:0|gold:7333,19,10,
26,55497,piercing:1|artillery:1|aura:1|lightning:1,2,0.003175,1190,3,food:8004|piercing:8004|ruby:0|gold:8004,19,10,
27,61497,piercing:1|artillery:1|aura:1|lightning:1,2,0.003113,1190,3,food:8004|piercing:8004|ruby:0|gold:8004,19,10,
28,67497,piercing:1|artillery:1|aura:1|lightning:1,2,0.00305,1331,3,food:8704|piercing:8704|ruby:0|gold:8704,20,10,
