identifier,inBundle,displayName,purchaseCurrencyFormat,expandDuration,initialState,heightAttackBonus,unlockAchievement,unexpandedPodNames,sceneFile,isShownWhileLocked,islandIdentifier,battleExpansionIdentifier,attackableIslandIdentifier,clearsOnRegionExpansion,castShadows,drawDirtPatch,ignoreBuildingScaleModifier,sceneFileNodeName,validBuildingTypes,foliagePODName,isShownInBattle,h
String,Integer,LocalizedString,String,Integer,String,Integer,String,String,String,Integer,String,String,String,Integer,Integer,Integer,Integer,String,String,String,Integer,String
expansion_001,1,FOREST,food:6,60,EXPANDED,0,bothTutorialUnlockExpansion001,,bld_expansionSlot_version02.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_002,1,FOREST,food:7,5,EXPANDED,0,bothTutorialUnlockExpansion002,,bld_expansionSlot_version01.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_003,1,FOREST,food:8,5,LOCKED,0,bothTutorialUnlockExpansion003,,bld_expansionSlot_version01.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_004,1,FOREST,food:9,60,LOCKED,0,bothTutorialUnlockExpansion004,,bld_expansionSlot_version01.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_005,1,FOREST,food:10,600,LOCKED,0,bothTutorialUnlockExpansion005,,bld_expansionSlot_version01.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_105,1,FOREST,food:10,600,LOCKED,0,bothTutorialUnlockExpansion005,,bld_expansionSlot_version01.lvl,,island01,island01,island01,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_006,1,FOREST,food:19,900,LOCKED,0,level03,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_007,1,FOREST,food:20,1200,LOCKED,0,level03,,bld_expansionSlot_version03.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_008,1,FOREST,food:72,1800,LOCKED,0,level03,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_009,1,FOREST,food:98,3060,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_010,1,FOREST,food:140,5202,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_108,1,FOREST,food:140,5202,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_106,1,FOREST,food:140,5202,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_011,1,FOREST,food:294,8843,LOCKED,0,level04,,bld_expansionSlot_version01.lvl,,island03,island03,island03,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_012,1,FOREST,food:567,15034,LOCKED,0,level05,,bld_expansionSlot_version02.lvl,,island03,island03,island03,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_013,1,FOREST,food:924,25557,LOCKED,0,level05,,bld_expansionSlot_version03.lvl,,island03,island03,island03,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_014,1,FOREST,food:1008,43200,LOCKED,0,level05,,bld_expansionSlot_version02.lvl,,island03,island03,island03,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_015,1,FOREST,food:1092,43200,LOCKED,0,level06,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_016,1,FOREST,food:1470,54000,LOCKED,0,level06,,bld_expansionSlot_version01.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_017,1,FOREST,food:1575,54000,LOCKED,0,level06,,bld_expansionSlot_version01.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_018,1,FOREST,food:1680,54000,LOCKED,0,level07,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_019,1,FOREST,food:2142,64800,LOCKED,0,level07,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_119,1,FOREST,food:2142,64800,LOCKED,0,level07,,bld_expansionSlot_version03.lvl,,island04,island04,island04,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_020,1,FOREST,food:2268,64800,LOCKED,0,level07,,bld_expansionSlot_version02.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_021,1,FOREST,food:2520,64800,LOCKED,0,level08,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_022,1,FOREST,food:3696,86400,LOCKED,0,level08,,bld_expansionSlot_version01.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_023,1,FOREST,food:4368,86400,LOCKED,0,level09,,bld_expansionSlot_version03.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_024,1,FOREST,food:6300,108000,LOCKED,0,level10,,bld_expansionSlot_version03.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_124,1,FOREST,food:6300,108000,LOCKED,0,level10,,bld_expansionSlot_version03.lvl,,island05,island05,island05,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_025,1,FOREST,food:8568,129600,LOCKED,0,level11,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_026,1,FOREST,food:9702,129600,LOCKED,0,level12,,bld_expansionSlot_version02.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_027,1,FOREST,food:12789,151200,LOCKED,0,level13,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_028,1,FOREST,food:16296,172800,LOCKED,0,level14,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_029,1,FOREST,food:17976,172800,LOCKED,0,level15,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_125,1,FOREST,food:17976,172800,LOCKED,0,level15,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_126,1,FOREST,food:17976,172800,LOCKED,0,level15,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_127,1,FOREST,food:17976,172800,LOCKED,0,level15,,bld_expansionSlot_version01.lvl,,island06,island06,island06,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_030,1,FOREST,food:25200,216000,LOCKED,0,level16,,bld_expansionSlot_version01.lvl,,island07,island07,island07,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_031,1,FOREST,food:28560,259200,LOCKED,0,level17,,bld_expansionSlot_version01.lvl,,island07,island07,island07,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_032,1,FOREST,food:31920,259200,LOCKED,0,level18,,bld_expansionSlot_version02.lvl,,island07,island07,island07,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_033,1,FOREST,food:36120,302400,LOCKED,0,level19,,bld_expansionSlot_version03.lvl,,island07,island07,island07,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_034,1,FOREST,food:41160,345600,LOCKED,0,level20,,bld_expansionSlot_version02.lvl,,island07,island07,island07,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_035,1,FOREST,food:46200,345600,LOCKED,0,level21,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_036,1,FOREST,food:53760,388800,LOCKED,0,level22,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_037,1,FOREST,food:61320,432000,LOCKED,0,level23,,bld_expansionSlot_version03.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_038,1,FOREST,food:68880,475200,LOCKED,0,level24,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_039,1,FOREST,food:76440,518400,LOCKED,0,level25,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,
expansion_040,1,FOREST,food:84000,561600,LOCKED,0,level26,,bld_expansionSlot_version01.lvl,,island08,island08,island08,,1,0,0,,TOWER|AURA|HARVEST|TOTEM,,,!@#olempaiakigalope
