identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,explosionSceneFile,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,LocalizedString,LocalizedString,String,String,Integer,String
LightningTowerUpgrades_1,1,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,,5330,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1000,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,100,
LightningTowerUpgrades_2,2,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,2,3000,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,100,1050,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,200,
LightningTowerUpgrades_3,3,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,3,5330,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1100,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,300,
LightningTowerUpgrades_4,4,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,4,7000,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1150,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,400,
LightningTowerUpgrades_5,5,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,5,5000,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1200,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,500,
LightningTowerUpgrades_6,6,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,6,5330,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1250,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,600,
LightningTowerUpgrades_7,7,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,7,5330,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1300,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,700,
LightningTowerUpgrades_8,8,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,8,5330,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1350,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,800,
LightningTowerUpgrades_9,9,sceneFile,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,food:0,,,9,4500,0.5,1.25,60,lightning_bolt,hpReduction:hpReduction26,500,1400,0,0,,,,,,lightning_bolt_special,hpReduction:hpReductionLightningSpecial,30,,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,+ 30%  Damage Per Tower,Double Damage Special Attack,,,900,
