identifier,stealMultiplier,xpGainMultiplier,maxExperienceProtectionLevel,h
String,Float,Float,Integer,String
mult_0,1,1,100,
mult_1,0.97,0.97,100,
mult_2,0.94,0.94,100,
mult_3,0.91,0.91,100,
mult_4,0.88,0.88,100,
mult_5,0.75,0.75,100,
mult_6,0.64,0.64,100,
mult_7,0.54,0.54,100,
mult_8,0.46,0.46,100,
mult_9,0.39,0.39,100,
mult_10,0.35,0.35,100,
mult_11,0.32,0.32,100,
mult_12,0.29,0.29,100,
mult_13,0.26,0.26,100,
mult_14,0.23,0.23,100,
mult_15,0.2,0.2,100,
mult_16,0.2,0.2,100,
mult_17,0.2,0.2,100,
mult_18,0.2,0.2,100,
mult_19,0.2,0.2,100,
mult_20,0.2,0.2,100,
mult_21,0.2,0.2,100,
mult_22,0.2,0.2,100,
mult_23,0.2,0.2,100,
mult_24,0.2,0.2,100,
mult_25,0.2,0.2,100,
mult_26,0.2,0.2,100,
mult_27,0.2,0.2,100,
mult_28,0.2,0.2,100,
mult_29,0.2,0.2,100,
mult_30,0.2,0.2,100,
mult_31,0.2,0.2,100,
mult_32,0.2,0.2,100,
mult_33,0.2,0.2,100,
mult_34,0.2,0.2,100,
mult_35,0.2,0.2,100,
mult_36,0.2,0.2,100,
mult_37,0.2,0.2,100,
mult_38,0.2,0.2,100,
mult_39,0.2,0.2,100,
mult_40,0.2,0.2,100,
mult_41,0.2,0.2,100,
mult_42,0.2,0.2,100,
mult_43,0.2,0.2,100,
mult_44,0.2,0.2,100,
mult_45,0.2,0.2,100,
mult_46,0.2,0.2,100,
mult_47,0.2,0.2,100,
mult_48,0.2,0.2,100,
mult_49,0.2,0.2,100,
mult_50,0.2,0.2,100,
mult_51,0.2,0.2,100,
mult_52,0.2,0.2,100,
mult_53,0.2,0.2,100,
mult_54,0.2,0.2,100,
mult_55,0.2,0.2,100,
mult_56,0.2,0.2,100,
mult_57,0.2,0.2,100,
mult_58,0.2,0.2,100,
mult_59,0.2,0.2,100,
mult_60,0.2,0.2,100,
mult_61,0.2,0.2,100,
mult_62,0.2,0.2,100,
mult_63,0.2,0.2,100,
mult_64,0.2,0.2,100,
mult_65,0.2,0.2,100,
mult_66,0.2,0.2,100,
mult_67,0.2,0.2,100,
mult_68,0.2,0.2,100,
mult_69,0.2,0.2,100,
mult_70,0.2,0.2,100,
mult_71,0.2,0.2,100,
mult_72,0.2,0.2,100,
mult_73,0.2,0.2,100,
mult_74,0.2,0.2,100,
mult_75,0.2,0.2,100,
mult_76,0.2,0.2,100,
mult_77,0.2,0.2,100,
mult_78,0.2,0.2,100,
mult_79,0.2,0.2,100,
mult_80,0.2,0.2,100,
mult_81,0.2,0.2,100,
mult_82,0.2,0.2,100,
mult_83,0.2,0.2,100,
mult_84,0.2,0.2,100,
mult_85,0.2,0.2,100,
mult_86,0.2,0.2,100,
mult_87,0.2,0.2,100,
mult_88,0.2,0.2,100,
mult_89,0.2,0.2,100,
mult_90,0.2,0.2,100,
mult_91,0.2,0.2,100,
mult_92,0.2,0.2,100,
mult_93,0.2,0.2,100,
mult_94,0.2,0.2,100,
mult_95,0.2,0.2,100,
mult_96,0.2,0.2,100,
mult_97,0.2,0.2,100,
mult_98,0.2,0.2,100,
mult_99,0.2,0.2,100,
mult_100,0.2,0.2,100,
mult_101,0.2,0.2,100,
mult_102,0.2,0.2,100,
mult_103,0.2,0.2,100,
mult_104,0.2,0.2,100,
mult_105,0.2,0.2,100,
mult_106,0.2,0.2,100,
mult_107,0.2,0.2,100,
mult_108,0.2,0.2,100,
mult_109,0.2,0.2,100,
mult_110,0.2,0.2,100,
mult_111,0.2,0.2,100,
mult_112,0.2,0.2,100,
mult_113,0.2,0.2,100,
mult_114,0.2,0.2,100,
mult_115,0.2,0.2,100,
mult_116,0.2,0.2,100,
