identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
LythLTODragon_1,1,food:0,1,,25547,677,lockon:T1C3SIdragon_lockon,,2516,food:30,4.2,rage3,2,913,1,experience:0,188,
LythLTODragon_2,2,food:780,1,,33784,960,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1,2698,food:33,4.2,rage3,2,1192,1,experience:0,408,
LythLTODragon_3,3,food:1075,1,,35300,1063,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1,2859,food:35,4.2,rage3,2,1779,1,experience:0,446,
LythLTODragon_4,4,food:1179,1,,37349,1184,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1,3010,food:38,4.2,rage3,2,2521,1,experience:0,500,
LythLTODragon_5,5,food:1286,1,,39048,1312,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01,3190,food:40,4.2,rage3,3,3512,1,experience:0,741,
LythLTODragon_6,6,food:1676,1,,41297,1486,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01,3416,food:43,4.2,rage3,3,4735,1,experience:0,840,
LythLTODragon_7,7,food:1813,1,,44906,1738,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01,3675,food:45,4.2,rage3,3,5445,1,experience:0,987,
LythLTODragon_8,8,food:2057,1,,49282,2070,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01,3987,food:50,4.2,rage3,3,6186,1,experience:0,1166,
LythLTODragon_9,9,food:3079,1,,53418,2442,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,4340,food:55,4.2,rage3,3,7089,1,experience:0,1794,
LythLTODragon_10,10,food:3428,1,,58411,2881,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,4682,food:60,4.2,rage3,4,8028,1,experience:0,2122,
LythLTODragon_11,11,food:3788,1,,63124,3321,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,4994,food:65,4.2,rage3,4,9167,1,experience:0,2438,
LythLTODragon_12,12,food:5198,1,,79365,4425,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,5292,food:70,4.2,rage3,4,13749,1,experience:0,3245,
LythLTODragon_13,13,food:7540,1,,82346,4818,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,5553,food:75,4.2,rage3,4,15663,1,experience:0,3545,
LythLTODragon_14,14,food:8194,1,,86236,5255,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,5784,food:80,4.2,rage3,5,17671,1,experience:0,3858,
LythLTODragon_15,15,food:10641,1,,89483,5712,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,6059,food:85,4.2,rage3,5,24376,1,experience:0,4185,
LythLTODragon_16,16,food:14031,1,,92903,6115,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,6391,food:90,4.2,rage3,5,27483,1,experience:0,4563,
LythLTODragon_17,17,food:15273,1,,99750,6730,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,6764,food:97,4.2,rage3,5,36214,1,experience:0,5199,
LythLTODragon_18,18,food:22572,1,,107072,7442,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,7205,food:103,4.2,rage3,6,40463,1,experience:0,5949,
LythLTODragon_19,19,food:24362,1,,113929,8210,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,7719,food:109,4.2,rage3,6,45587,1,experience:0,6778,
LythLTODragon_20,20,food:26198,1,,122234,9101,lockon:T1C3SIdragon_lockon,aoeSpell:aoe1|archerResist01:archerResist01|stormResist01:stormResist01,8253,food:115,4.2,rage3,6,0,1.2,experience:0,7779,!@#imanljojgigjdagb
