identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,auraRange,auraAffectsSelf,auraIdentifier,enemyAuraEffects,friendlyAuraEffects,finalDestructionDamage,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresSummon,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,activeAbilityBusyDuration,explosionSceneFile,bonusLabel1,bonusLabel2,specialAttackPower,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Integer,Integer,String,String,String,Integer,String,String,String,String,String,Integer,String,Float,Integer,Integer,Float,String,LocalizedString,String,Float,Integer,String,String,Integer,String
MageTowerBlueUpgrades_1,1,0,bld_magetowerblue_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:28,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level01_death.lvl,Steal Enemy Dragon Rage,,440,0,,,15,
MageTowerBlueUpgrades_2,2,0,bld_magetowerblue_level02.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:98,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level02_death.lvl,Steal Enemy Dragon Rage,,611,0,,,28,
MageTowerBlueUpgrades_3,3,0,bld_magetowerblue_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:225,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level03_death.lvl,Steal Enemy Dragon Rage,,861,1,,,45,
MageTowerBlueUpgrades_4,4,0,bld_magetowerblue_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:383,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level03_death.lvl,Steal Enemy Dragon Rage,,1170,1,,,66,
MageTowerBlueUpgrades_5,5,0,bld_magetowerblue_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:428,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level03_death.lvl,Steal Enemy Dragon Rage,,1591,1,,,104,
MageTowerBlueUpgrades_6,6,0,bld_magetowerblue_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,16884,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:600,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level03_death.lvl,Steal Enemy Dragon Rage,,2156,2,,,165,
MageTowerBlueUpgrades_7,7,0,bld_magetowerblue_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,12,19892,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:750,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level04_death.lvl,Steal Enemy Dragon Rage,,2912,2,,,272,
MageTowerBlueUpgrades_8,8,0,bld_magetowerblue_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,23314,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:750,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level04_death.lvl,Steal Enemy Dragon Rage,,3917,3,,,437,
MageTowerBlueUpgrades_9,9,0,bld_magetowerblue_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,17,27185,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:924,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level04_death.lvl,Steal Enemy Dragon Rage,,4634,3,,,588,
MageTowerBlueUpgrades_10,10,0,bld_magetowerblue_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,30537,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:1264,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level04_death.lvl,Steal Enemy Dragon Rage,,5205,3,,,759,
MageTowerBlueUpgrades_11,11,0,bld_magetowerblue_level05.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,21,34165,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:1298,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level05_death.lvl,Steal Enemy Dragon Rage,,5823,4,,,925,
MageTowerBlueUpgrades_12,12,0,bld_magetowerblue_level05-2.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,21,38072,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:1667,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level05_death.lvl,Steal Enemy Dragon Rage,,6488,4,,,1161,
MageTowerBlueUpgrades_13,13,0,bld_magetowerblue_level05-3.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,25,42382,70,0,blue_mage_aura,spellSilencer:spellSilencer2,,0,,,experience:2058,prj_bld_magetower_01,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1,1,,1.5,1,75,1.5,bld_magetowerblue_level05_death.lvl,Steal Enemy Dragon Rage,,7221,5,,,1450,
