identifier,tabLabel,tabIconDefault,tabIconSelected,h
String,LocalizedString,String,String,String
questMenu_quest,Standard,btn_nav_quest.png,btn_nav_quest_pressed.png,
questMenu_mainQuest,Special,btn_nav_quest_main.png,btn_nav_quest_main_pressed.png,
questMenu_breederBlimp,Mission,btn_nav_egg.png,btn_nav_egg_pressed.png,
iapMenu_pack,Packs,btn_nav_packs_and_prizes.png,btn_nav_packs_and_prizes_pressed.png,
iapMenu_atlas,Atlas,btn_nav_atlas.png,btn_nav_atlas_pressed.png,
iapMenu_resource,Resources,btn_nav_resources.png,btn_nav_resources_pressed.png,
iapMenu_elite,Elite,btn_nav_elite_account.png,btn_nav_elite_account_pressed.png,
chatMenu_global,Global,btn_nav_world.png,btn_nav_world.png,
chatMenu_battle,Battle,btn_nav_battle.png,btn_nav_battle_pressed.png,
chatMenu_league,League,btn_nav_league_info.png,btn_nav_league_info_pressed.png,
chatMenu_team,Team,btn_nav_team.png,btn_nav_team_pressed.png,
chatMenu_group,Group,btn_nav_group.png,btn_nav_group_pressed.png,
chatMenu_alliance,Alliance,btn_nav_alliance.png,btn_nav_alliance_pressed.png,
rosterMenu_roster,Roster,btn_nav_roster.png,btn_nav_roster_pressed.png,
rosterMenu_swap,Swap,btn_nav_swap.png,btn_nav_swap_pressed.png,
rosterMenu_equip,Equip,btn_nav_levels_and_skills.png,btn_nav_levels_and_skills_pressed.png,
rosterMenu_train,Train,btn_nav_train.png,btn_nav_train_pressed.png,
leaderboardMenu_team,Teams,btn_nav_top_teams.png,btn_nav_top_teams_pressed.png,
leaderboardMenu_player,Players,btn_nav_top_players.png,btn_nav_top_players_pressed.png,
leaderboardMenu_league,Leagues,btn_nav_league_info.png,btn_nav_league_info_pressed.png,
mailMenu_inbox,Inbox,btn_nav_inbox.png,btn_nav_inbox_pressed.png,
mailMenu_sent,Sent,btn_nav_sent.png,btn_nav_sent_pressed.png,
mailMenu_news,News,btn_nav_news.png,btn_nav_news_pressed.png,
mailMenu_system,System,btn_nav_mail_system.png,btn_nav_mail_system_pressed.png,
settingMenu_setting,Settings,btn_nav_settings.png,btn_nav_settings_pressed.png,
settingMenu_account,Account,btn_nav_account.png,btn_nav_account_pressed.png,
settingMenu_social,Social,btn_nav_social.png,btn_nav_social_pressed.png,
settingMenu_about,About,btn_nav_about.png,btn_nav_about_pressed.png,
riderMenu_rider,Riders,btn_nav_rider.png,btn_nav_rider_pressed.png,
riderMenu_bond,Bond,btn_nav_bond.png,btn_nav_bond_pressed.png,
riderMenu_gear,Gear,btn_nav_gear.png,btn_nav_gear_pressed.png,
riderMenu_train,Train,btn_nav_levels_and_skills.png,btn_nav_levels_and_skills_pressed.png,
matchmakingMenu_matchmaking,Matchmaking,btn_nav_matchmaking.png,btn_nav_matchmaking_pressed.png,
matchmakingMenu_bookmark,Bookmarks,btn_nav_bookmarks.png,btn_nav_bookmarks_pressed.png,!@#ngefeojfdimdjama
