key,value,localizedValue,h
String,String,LocalizedString,String
overAllMvp,3,,
categoryMvp,2,,
teamRank1,2,,
teamRank2,1,,
teamRank3,1,,
dailyMVPScoreLimit,5,,
mvpStatsInfoTitle,,MVP Stats,
mvpStatsInfoDescription,,We combine all the stats from the previous day's wars and pick the most impressive players for that day.,
individualStatsInfoTitle,,Individual Stats,
individualStatsInfoDescription,,We combine all the stats from the previous day's wars and pick your most impressive stats.,!@#bogombpnnndgnebn
