identifier,activeAchievement,priority,narrativeActionType,narrativeItem,narrationIdentifier,delayTime,menuButton,tableName,tableItemIdentifier,arrowRotation,arrowScale,narrativeAction,tutorialMessage,shouldAlwaysScroll,additionalParameters,h
String,String,Integer,String,String,String,Float,String,String,String,Integer,Float,String,LocalizedString,Integer,String,String
tutAuxDisableStableUpgradeButton_upgradeButton,tutAuxDisableStableUpgradeButton,,DisableMenuButtonNarrativeAction,stableHud,,,upgradeButton,,,,,,,,,
tutAuxDisableStableUpgradeButton_infoButton,tutAuxDisableStableUpgradeButton,,DisableMenuButtonNarrativeAction,stableHud,,,infoButton,,,,,,,,,
tutAuxDisableStableSwapButton_swapButton,tutAuxDisableStableUpgradeButton,,DisableMenuButtonNarrativeAction,stableHud,,,swapButton,,,,,,,,,
tutAuxDisableStableSwapButton_rosterButton,tutAuxDisableStableSwapButton,,DisableMenuButtonNarrativeAction,stableHud,,,rosterButton,,,,,,,,,
tutAuxDisableStableSwapButton_sellButton,level999,,DisableMenuButtonNarrativeAction,stableDragonInfo,,,sellButton,,,,,,,,,
tutAuxDisableStableBoostButton_boostsButton,tutAuxDisableStableBoostButton,,DisableMenuButtonNarrativeAction,stableHud,,,boostsButton,,,,,,,,,
tutorialIntroSlideShow,tutorialFinishIntroSlideShow,1,ShowSlideShowNarrativeAction,,intro,,,,,,,,,,,
tutorialDelayAfterSlideShow_hideAttack,tutorialDelayAfterSlideShow,,DisableMenuButtonNarrativeAction,hud,,,attackNode,,,,,,,,,
tutAuxPve01SwapDragon_swapDragon,tutAuxPve01SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutorialPve01DisableWorldTouches,tutorialPve01Finish,,DisableWorldTouchesNarrativeAction,,,,,,,,,,,,,
tutorialPve01Start_narration,tutorialPve01Start,1,NarrationNarrativeAction,,narrationPve01,,,,,,,,,,,
tutAuxPve01SelectDragon_cancelButtonDisable,tutAuxPve01SelectDragon,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutAuxPve01SelectDragon_selectDragon,tutAuxPve01SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,redTutorialDragon,0,,,Select Dragon,,,
tutAuxPve01DestroyedFirstIsland_pulse,tutAuxPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_038-building,,,,,,,,,,,,
tutAuxPve01DestroyedFirstIsland_pulse2,tutAuxPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_040-building,,,,,,,,,,,,
tutAuxPve01DestroyedFirstIsland_pulse3,tutAuxPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_037-building,,,,,,,,,,,,
tutAuxPve01PausedFirstIsland_pause,tutAuxPve01PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve01SpellSecondIsland_pause,tutAuxPve01HardPauseSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
tutAuxPve01spellUsageTestArrow,level999,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,270,0.7,,Use Spell,,,
tutAuxPve01testSpellButtonHighlight,tutAuxPve01SpellSecondIsland,,MenuCustomNarrativeAction,battleHud,,,spellButton1,,,,,narrativeSpriteHighlight,,,,
tutAuxPve01SpellSecondIsland_spellArrow2,tutAuxPve01SpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.25,,Stoneskin spell! Shield your Dragon!,,showHint:1,
tutAuxPve01DestroyedSecondIsland_pulse1,tutAuxPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_031-building,,,,,,,,,,,,
tutAuxPve01DestroyedSecondIsland_pulse2,tutAuxPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_032-building,,,,,,,,,,,,
tutAuxPve01DestroyedSecondIsland_pulse3,tutAuxPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_033-building,,,,,,,,,,,,
tutAuxPve01PausedSecondIsland_pause,tutAuxPve01PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve01PausedThirdIsland_pause,tutAuxPve01PausedThirdIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve01SpellThirdIsland_disable,tutAuxPve01SpellThirdIsland,1,DisableMenuButtonNarrativeAction,battleHud,,,spell1PositionNode,,,,,,,,,
tutAuxPve01PausedFifthIsland_pause,tutAuxPve01PausedFifthIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve01Finish_disableSurrender,tutorialPve01Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
tutAuxPve02Finish_disableSurrender,tutorialPve02Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
tutAuxPve04Finish_disableSurrender,level999,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
tutorialPve01Finish_attackButtonArrow,tutorialPve01Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,"Attack
Enemy",,,
tutAuxDisableAttack_disableAttack,tutAuxDisableAttack,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutAuxDisableAttack_disablePulse,tutAuxDisableAttack,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack_disableBreederAttack,tutAuxDisableAttack,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
tutorialNarrationYouHaveReturned_narration,tutorialNarrationYouHaveReturned,,NarrationNarrativeAction,,narrationtutorialNarrationYouHaveReturned,1,,,,,,,,,,
tutorialUsername_popup,tutorialUsername,,ShowCreateUsernameNarrativeAction,,,,,,,,,,,,,
tutorialBuildBreedingCastle_worldArrow,tutorialBuildBreedingCastle,2,BuildModeWorldObjectNarrativeAction,expansion_058-building,,,,,,,0.75,,Build Breeding Castle,1,cameraHeight:300,
tutorialBuildBreedingCastle_storeArrow,tutorialBuildBreedingCastle,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,breedingGround,0,0.75,,Build Breeding Castle,,,
tutorialBuildBreedingCastle_disableNo,tutorialBuildBreedingCastle,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
tutorialBuildBreedingCastle_yesArrow,tutorialBuildBreedingCastle,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,1.5,,,,,
tutorialBuildBreedingCastle_narration,tutorialBuildBreedingCastle,5,NarrationNarrativeAction,,narrationBuildBreedingCastle,1,,,,,,,,,,
tutorialBuyChineseEgg_narration,tutorialBuyChineseEgg,3,NarrationNarrativeAction,,narrationBuyChineseEgg,1,,,,,,,,,,
tutorialBuyChineseEgg_worldArrow,tutorialBuyChineseEgg,1,BuildModeWorldObjectNarrativeAction,expansion_058-building,,,,,,,,,Get Dragon Egg,1,cameraHeight:300,
tutorialBuyChineseEgg_contextArrow,tutorialBuyChineseEgg,2,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Get Dragon Egg,,,
tutorialBuyChineseEgg_arrowEgg,tutorialBuyChineseEgg,3,MenuTableArrowNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,T1C1HIdragon,90,0.75,,Get Dragon Egg,,,
tutorialBuyChineseEgg_arrowPurchase,tutorialBuyChineseEgg,4,MenuArrowNarrativeAction,dragonDiscoveryInfoPopup,,,purchaseEggMenuItem,,,,0.75,,,,,
tutorialBuyChineseEgg_disableCloseButton,level999,,DisableMenuButtonNarrativeAction,breedingGroundNewEggPopup,,,closeButton,,,,,,,,,
tutorialBuyChineseEgg_disableDraco,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,0,,,,,,,
tutorialBuyChineseEgg_disableLeviathan,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,2,,,,,,,
tutorialBuyChineseEgg_disableGhaum,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,3,,,,,,,
tutorialBuyChineseEgg_disableAktyl,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,4,,,,,,,
tutorialBuyChineseEgg_disableSerabis,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,5,,,,,,,
tutorialBuyChineseEgg_disableZydron,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,6,,,,,,,
tutorialBuyChineseEgg_disableOhm,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,7,,,,,,,
tutorialBuyChineseEgg_disableLlyom,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,8,,,,,,,
tutorialBuyChineseEgg_disableTsom,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,9,,,,,,,
tutorialBuyChineseEgg_disableTrollis,tutorialBuyChineseEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,10,,,,,,,
tutorialBuyChineseEgg_disableScroll,tutorialBuyChineseEgg,,DisableMenuTableNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,,,,,,,,
tutorialBuyChineseEgg_disableBreedingTab,tutorialBuyChineseEgg,,DisableMenuButtonNarrativeAction,breedingGround-dragonDiscovery,,,tab2,,,,,,,,,
tutorialBuildIncubator_disableXButton,tutorialBuildIncubator,,HideMenuButtonNarrativeAction,breedingGroundNewEggPopup,,,closeButton,,,,,,,,,
tutorialBuildIncubator_narration,level999,,NarrationNarrativeAction,,narrationBuildIncubator,,,,,,,,,,,
tutorialBuildIncubator_worldArrow,tutorialBuildIncubator,2,BuildModeWorldObjectNarrativeAction,expansion_061,,,,,,,,,Build Incubator,1,,
tutorialBuildIncubator_storeArrow,tutorialBuildIncubator,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,incubator,0,,,Build Incubator,,,
tutorialBuildIncubator_disableNo,tutorialBuildIncubator,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
tutorialBuildIncubator_yesArrow,tutorialBuildIncubator,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,1.5,,,,,
tutorialIncubateChineseDragon_narration,level999,5,NarrationNarrativeAction,,narrationIncubateStoneDragon,,,,,,,,,,,
tutorialIncubateChineseDragon_worldArrow,tutorialIncubateChineseDragon,2,BuildModeWorldObjectNarrativeAction,expansion_061-building,,,,,,,,,Incubate Egg,1,,
tutorialIncubateChineseDragon_contextArrow,tutorialIncubateChineseDragon,3,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Incubate Egg,,,
tutorialIncubateChineseDragon_incubate,level999,,MenuTableCellArrowNarrativeAction,incubatorMenu,,,incubateMenuItem,tableView,0,,,,,,,
tutorialIncubateChineseDragon_disableClose,level999,,DisableMenuButtonNarrativeAction,incubatorMenu,,,closeButton,,,,,,,,,
tutorialIncubateChineseDragon_disableCapacity,level999,,DisableMenuButtonNarrativeAction,incubatorMenu,,,increaseCapacityButton,,,,,,,,,
tutorialIncubateChineseDragon_disableDelete,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,deleteMenuItem,tableView,0,,,,,,,
tutorialIncubateChineseDragon_disableBreedAgain,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,breedAgainButton,tableView,0,,,,,,,
tutorialIncubateChineseDragon_disableBreedingGround,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,lastCellGoToBreedingGroundButton,tableView,1,,,,,,,
tutAuxIncubationStarted_disableBreedMorexxx,tutorialIncubateChineseDragon,,MenuCustomNarrativeAction,incubatorMenu,,,,,,,,narrativeStopFlip,,,,
tutorialIncubateChineseDragon_disableGoToResearch,level999,,DisableMenuButtonNarrativeAction,incubatorMenu,,,goToResearchButton,,,,,,,,,
tutorialEggReadyChineseDragon_narration,tutorialEggReadyChineseDragon,,NarrationNarrativeAction,,narrationExpediteChineseDragon,,,,,,,,,,,
tutorialEggReadyChineseDragon_expediteArrow,tutorialIncubateChineseDragonDelay2,2,BuildModeWorldObjectNarrativeAction,expansion_061-building,,,,,,,,,Speed Up,1,cameraHeight:350,
tutorialEggReadyChineseDragon_timerExpedite,level999,5,TimerOverlayNarrativeAction,incubator_timer,,,,,,,1,,Speed Up,1,cameraHeight:350,
tutorialEnterBreeder1_worldArrow,altTutorialPve05Finish,,TimerOverlayNarrativeAction,breederMaster_timer,,,,,,270,1,,Dragon Guard,1,,
tutAuxDisableBreederTrash_disableTrash,tutAuxDisableBreederTrash,,DisableMenuButtonNarrativeAction,dragonGuardMissions,,,breederTaskDeleteButton,,,,,,,,,
tutAuxPve02SwapDragon_swapDragon,tutAuxPve02SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutAuxPve02SwapDragon_swapDragon02,tutAuxPve02SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1SEdragon,,,,,,,,,,dragonType:chineseTutorialDragon|dragonLevel:1,
tutAuxPve03SwapDragon_swapDragon,tutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutAuxPve03SwapDragon_swapDragon02,tutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1SEdragon,,,,,,,,,,dragonType:chineseTutorialDragon|dragonLevel:1,
tutAuxPve04SwapDragon_swapDragon03,tutorialPve04SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
tutAuxPve04SwapDragon_swapDragon,tutorialPve04SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutAuxPve04SwapDragon_swapDragon02,tutorialPve04SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1SEdragon,,,,,,,,,,dragonType:chineseTutorialDragon|dragonLevel:1,
tutAuxPve05SwapDragon_swapDragon03,tutorialPve05SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
tutAuxPve05SwapDragon_swapDragon,tutorialPve05SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutAuxPve05SwapDragon_swapDragon02,tutorialPve05SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1SEdragon,,,,,,,,,,dragonType:chineseTutorialDragon|dragonLevel:1,
tutAuxPve06SwapDragon_swapDragon03,tutorialPve06SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
tutAuxPve06SwapDragon_swapDragon,tutorialPve06SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
tutAuxPve06SwapDragon_swapDragon02,tutorialPve06SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1SEdragon,,,,,,,,,,dragonType:chineseTutorialDragon|dragonLevel:1,
tutAuxPve01NerfBuilding_Nerf,tutAuxPve01NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
tutAuxPve02NerfBuilding_Nerf,tutAuxPve02NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
tutAuxPve03NerfBuilding_Nerf,tutAuxPve03NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
tutAuxPve03NerfBuilding2_Nerf,tutAuxPve03NerfBuilding2,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
tutAuxPve04NerfBuilding_Nerf,tutAuxPve04NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
tutorialPve02Start_narration,tutorialPve02Start,,NarrationNarrativeAction,,narrationPve02,,,,,,,,,,,
tutorialPve02SelectDragon_selectDragon,tutorialPve02SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,chineseTutorialDragon,0,,,Select Dragon,,,
tutAuxPve02StormSuperShot_superShot,tutAuxPve02StormSuperShot,,ActivateBuildingAbilityNarrativeAction,expansion_002-building,,,,,,,,,,,,
tutAuxPve02rageBarArrow,tutorialPve02RageBuildsOverTime,,MenuArrowNarrativeAction,battleHud,,,rageBarCenterNode,,,90,1,,Rage Builds Over Time!,,showHint:1,
tutAuxPve02testRageBarGlowHighlight,tutorialPve02RageBuildsOverTime,,MenuCustomNarrativeAction,battleHud,,,rageBarHighlight,,,,,narrativeSpriteHighlight,,,,
tutAuxPve02testRageBarDragonHeadHighlight,tutorialPve02RageBuildsOverTime,,MenuCustomNarrativeAction,battleHud,,,dragonHeadHighlight,,,,,narrativeSpriteHighlight,,,,
tutAuxPve02PulseFirstIsland_pulse,tutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_031-building,,,,,,,,,,,,
tutAuxPve02PulseFirstIsland_pulse2,tutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_032-building,,,,,,,,,,,,
tutAuxPve02PulseFirstIsland_pulse3,tutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_033-building,,,,,,,,,,,,
tutorialPve02PausedFirstIsland_pause,tutAuxPve02PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve02ReachedSecondIsland_hint,tutAuxPve02SpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1,,Use Rage to Cast Spells!,,,
tutAuxPve02ReachedSecondIsland_pause,tutAuxPve02SpellSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
tutorialPve02PausedSecondIsland_pause,tutAuxPve02PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve02SpellHint_hint,tutAuxPve02SpellHint,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.25,,Tap on enemy towers to activate lightning!,,time:100000|x:50|y:50,
tutAuxPve02SpellDisabled_disableSpell,tutAuxPve02ReachedSpellSecondIsland,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
tutAuxPve02SpellDisabled_disableSpell02,tutAuxPve02SpellDisabled,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Wait until we have towers to destroy!,,time:3,
tutAuxPve02DestroyedThirdIslandText_text,tutAuxPve02DestroyedThirdIslandTextShow,1,ShowLargeTutorialMessageNarrativeAction,battleHud,,,,,,,,,You found Stone,,duration:2,
tutAuxPve02PausedThirdIsland_pause,tutAuxPve02PausedThirdIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutAuxPve02PausedThirdIsland_stopGame,tutAuxPve02PausedThirdIsland,1,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
tutAuxPve02PausedThirdIsland_spellArrow,tutAuxPve02PausedThirdIsland,1,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.5,,Chain Lightning!,,,
tutAuxPve02PausedFourthIsland_pause,tutAuxPve02PausedFourthIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
tutorialPve02Finish_attackButtonArrow,tutorialPve02Finish,1,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Thorn,,,
tutAuxDisableAttack2_disableAttack,tutAuxDisableAttack2,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Not Ready to Attack|Get another dragon and more resources!,,,
tutAuxDisableAttack2_disablePulse,tutAuxDisableAttack2,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack2_disableBreederAttack,tutAuxDisableAttack2,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,Not Ready to Attack|Get another dragon and more resources!,,,
tutorialPve03ShowHint01_Hint,tutorialPve03ShowHint01,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Warrior Dragons like Draco are great for building rage,,time:100000|x:50|y:80,
tutorialPve03ShowHint02_Hint,tutorialPve03ShowHint02,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Save up that rage for Sorcerer Dragons like Elixis,,time:100000|x:50|y:80,
tutorialPve03FinishedThirdIsland_disableSurrender,tutorialPve03FinishedThirdIsland,,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
tutorialPve03FinishedThirdIsland_disableSpell,tutorialPve03FinishedThirdIsland,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
tutorialPve03WithdrewDragon_disableSpell,tutorialPve03WithdrewDragon,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
tutorialPve03WithdrewDragonStep_pause,tutorialPve03WithdrewDragon,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
tutorialPve03WithdrewDragonStep_hint,tutorialPve03WithdrewDragon,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.25,,We need Elixis to destroy these all at once!,,time:100000|x:50|y:50,
tutorialPve03WithdrewDragonStep_arrow,tutorialPve03WithdrewDragon,,MenuArrowNarrativeAction,battleHud,,,surrenderMenuItemImage,,,90,1,,Get Elixis!,,,
tutorialPve03SelectDragon_arrow,tutorialPve03SelectDragon,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,redTutorialDragon,0,,,Select Dragon,,,
tutorialPve03RagePersists_Hint,tutorialPve03RagePersists,,ShowHintOnScreenNarrativeAction,attackPreviewHud,,,,,,0,1.25,,"Rage is shared between dragons!
(tap to continue)",,time:100000|x:35|y:50,
tutorialPve03SelectDragon2_arrow,tutorialPve03SelectDragon2,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,chineseTutorialDragon,0,,,Select Dragon,,,
