identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,onBattleStartEffect,onDragonInRangeEffect,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String,String,String
OrbTowerBossNDEUpgrades_1,1,sceneFile,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,11000,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,517,520,0,0,0,,,,experience:1,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_01,Heavy Explosives,Break All Shield Spells,0,,,8,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_2,2,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:9,60,,1,13068,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,614,617,0,0,0,,,,experience:13,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,12,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_3,3,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,15708,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,782,786,0,0,0,,,,experience:60,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,18,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_4,4,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,18838,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,1082,1088,0,0,0,,,,experience:140,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,32,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_5,5,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,21958,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,1498,1505,0,0,0,,,,experience:240,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,50,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_6,6,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,26144,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,2036,2047,0,0,0,,,,experience:405,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,84,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_7,7,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,31050,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,2766,2779,0,0,0,,,,experience:600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,140,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_8,8,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,36678,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,3742,3761,0,0,0,,,,experience:600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,224,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_9,9,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,43098,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,5043,5068,0,0,0,,,,experience:750,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,342,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_10,10,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,50382,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,6517,6550,0,0,0,,,,experience:912,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,3,,,520,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_11,11,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:7336,51896,,1,57652,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,7334,7371,0,0,0,,,,experience:936,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,3,,,660,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_12,12,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:11306,66355,,1,64632,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,8221,8263,0,0,0,,,,experience:1280,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,4,,,840,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_13,13,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:18051,103561,,1,72166,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,9178,9224,0,0,0,,,,experience:1644,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,4,,,1040,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_14,14,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:26433,137915,,1,80338,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,10216,10267,0,0,0,,,,experience:1691,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,5,,,1288,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_15,15,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:36694,177093,,1,89436,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,11372,11429,0,0,0,,,,experience:2087,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,5,,,1590,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_16,16,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:66748,219927,,1,105050,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,13354,13420,0,0,0,,,,experience:2546,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,6,,,2211,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_17,17,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:103025,297600,,1,123390,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,15683,15762,0,0,0,,,,experience:3048,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,7,,,3060,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_18,18,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:118279,345600,,1,144934,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,18421,18513,0,0,0,,,,experience:4000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,8,,,4212,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_19,19,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:129598,388800,,1,170242,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,21636,21744,0,0,0,,,,experience:5334,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,9,,,5796,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_20,20,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,1,199966,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,25412,25539,0,0,0,,,,experience:7000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,10,,,8010,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_21,21,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:187199,518400,,1,234884,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,29847,29996,0,0,0,,,,experience:9143,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,11,,,11040,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_22,22,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,1,275898,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,35056,35232,0,0,0,,,,experience:12000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,13,,,15249,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_23,23,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:251999,691200,,1,324074,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,41175,41381,0,0,0,,,,experience:16000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,14,,,21006,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_24,24,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:269232,864000,,1,380664,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,48363,48605,0,0,0,,,,experience:17600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,16,,,29013,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_25,25,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:299904,864000,,1,447138,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,56806,57090,0,0,0,,,,experience:19200,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,17,,,40020,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_26,26,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:340800,936000,,1,554164,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,70397,70749,0,0,0,,,,experience:20800,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,19,,,61440,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_27,27,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:381696,1080000,,1,686810,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,87244,87680,0,0,0,,,,experience:24000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,20,,,94384,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_28,28,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:422592,1152000,,1,803308,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,102040,102550,0,0,0,,,,experience:25600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,20,,,129168,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_29,29,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:463488,1224000,,1,886694,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,112629,113192,0,0,0,,,,experience:27200,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,20,,,157320,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_30,30,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:504384,1224000,,1,978740,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,124319,124940,0,0,0,,,,experience:30400,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,20,,,191680,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_31,31,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:545280,1370990,,1,1080340,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,137220,137906,0,0,0,,,,experience:32000,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,20,,,233604,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_32,32,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:586176,1468800,,1,1192492,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,151461,152218,0,0,0,,,,experience:33600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,21,,,284592,ceilDamageEffectsModule25,slowAmmoRegen,
OrbTowerBossNDEUpgrades_33,33,0,tur_dragonEye.lvl,stru_tower_lobLocators.lvl,piercing:627072,1566720,,1,1316282,1.5,0.5,90,prj_BossOrb_L1,hpReduction:hpReduction22,167183,168018,0,0,0,,,,experience:33600,,prj_BossOrb_L1_SS,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields|fireFlak:fireFlak01,0,showBattleText:flakFireShotText,1.5,1,1,90,tur_dragonEye_death.lvl,release_001_05,Heavy Explosives,Break All Shield Spells,21,,,346748,ceilDamageEffectsModule25,slowAmmoRegen,
