# this is an example/template for performance-scaling/tuning in the app
identifier,priority,gameProperty,glRendererRegex,hardwareModelRegex,min_memScore1,max_memScore1,min_isIpad,max_isIpad,min_deviceQuality,max_deviceQuality,value,h
String,Integer,String,String,String,String,String,String,String,String,String,Float,String
01_low,1,levelOfDetail,*,*,*,*,*,*,2,2,2,
01_med,2,levelOfDetail,*,*,*,*,*,*,3,3,1,
01_hig,3,levelOfDetail,*,*,*,*,*,*,4,4,0,
01_xxx,4,levelOfDetail,*,*,*,*,*,*,*,*,2,
03_hig,3,shadowMappingLevel,*,*,*,*,*,*,4,4,2,
03_xxx,4,shadowMappingLevel,*,*,*,*,*,*,*,*,0,
04_low,1,textureLoadingLevel,*,*,*,*,*,*,2,2,50,
04_med,2,textureLoadingLevel,*,*,*,*,*,*,3,3,50,
04_hig,3,textureLoadingLevel,*,*,*,*,*,*,4,4,100,
04_xxx,4,textureLoadingLevel,*,*,*,*,*,*,*,*,50,
05_low,1,use16bppForAllTextures,*,*,*,*,*,*,2,2,0,
05_med,2,use16bppForAllTextures,*,*,*,*,*,*,3,3,0,
05_hig,3,use16bppForAllTextures,*,*,*,*,*,*,4,4,0,
05_xxx,4,use16bppForAllTextures,*,*,*,*,*,*,*,*,0,
06_low,1,use16bppForCC3Textures,*,*,*,*,*,*,2,2,0,
06_med,2,use16bppForCC3Textures,*,*,*,*,*,*,3,3,0,
06_hig,3,use16bppForCC3Textures,*,*,*,*,*,*,4,4,0,
06_xxx,4,use16bppForCC3Textures,*,*,*,*,*,*,*,*,0,
10_low,1,usePostProcessingGlow,*,*,*,*,*,*,2,2,0,
10_med,2,usePostProcessingGlow,*,*,*,*,*,*,3,3,0,
10_hig,3,usePostProcessingGlow,*,*,*,*,*,*,4,4,0,
10_xxx,4,usePostProcessingGlow,*,*,*,*,*,*,*,*,0,
14_low,1,useBirdsAsWeapons,*,*,*,*,*,*,2,2,0,
14_med,2,useBirdsAsWeapons,*,*,*,*,*,*,3,3,0,
14_hig,3,useBirdsAsWeapons,*,*,*,*,*,*,4,4,0,
14_xxx,4,useBirdsAsWeapons,*,*,*,*,*,*,*,*,0,
18_xxx,1,useAsyncResourceLoading,*,*,*,*,*,*,*,*,0,
19_low,1,drawLightningBackground,*,*,*,*,*,*,2,2,0,
19_med,2,drawLightningBackground,*,*,*,*,*,*,3,3,0,
19_hig,3,drawLightningBackground,*,*,*,*,*,*,4,4,1,
19_xxx,4,drawLightningBackground,*,*,*,*,*,*,*,*,0,
21_low,1,useGenericNormalMap,*,*,*,*,*,*,2,2,1,
21_med,2,useGenericNormalMap,*,*,*,*,*,*,3,3,1,
21_hig,3,useGenericNormalMap,*,*,*,*,*,*,4,4,1,
21_xxx,4,useGenericNormalMap,*,*,*,*,*,*,*,*,1,
22_low,1,shouldUseVao,*,*,*,*,*,*,2,2,0,
22_med,2,shouldUseVao,*,*,*,*,*,*,3,3,0,
22_hig,3,shouldUseVao,*,*,*,*,*,*,4,4,1,
22_xxx,4,shouldUseVao,*,*,*,*,*,*,*,*,0,
25_xxx,1,useBloomEffects,*,*,*,*,*,*,*,*,0,
26_hig,1,showLensFlares,*,*,*,*,*,*,4,4,0,
26_xxx,2,showLensFlares,*,*,*,*,*,*,*,*,0,
29_low,1,numCrittersToAnimate,*,*,*,*,*,*,2,2,0,
29_med,2,numCrittersToAnimate,*,*,*,*,*,*,3,3,1,
29_hig,3,numCrittersToAnimate,*,*,*,*,*,*,4,4,2,
29_xxx,4,numCrittersToAnimate,*,*,*,*,*,*,*,*,0,
30_low,1,numCrittersToAnimateWhenActive,*,*,*,*,*,*,2,2,0,
30_med,2,numCrittersToAnimateWhenActive,*,*,*,*,*,*,3,3,4,
30_hig,3,numCrittersToAnimateWhenActive,*,*,*,*,*,*,4,4,8,
30_xxx,4,numCrittersToAnimateWhenActive,*,*,*,*,*,*,*,*,0,
31_low,1,numCrittersToShow,*,*,*,*,*,*,2,2,0,
31_med,2,numCrittersToShow,*,*,*,*,*,*,3,3,0,
31_hig,3,numCrittersToShow,*,*,*,*,*,*,4,4,2,
31_xxx,4,numCrittersToShow,*,*,*,*,*,*,*,*,0,
36_low,1,shouldShowContactEffects,*,*,*,*,*,*,2,2,0,
36_med,2,shouldShowContactEffects,*,*,*,*,*,*,3,3,1,
36_hig,3,shouldShowContactEffects,*,*,*,*,*,*,4,4,1,
36_xxx,4,shouldShowContactEffects,*,*,*,*,*,*,*,*,0,
37_xxx,1,isMetalSupported,*,*,*,*,*,*,*,*,0,
38_xxx,1,delayCallsInLazyLoadingManager,*,*,*,*,*,*,*,*,1,
