word,h
String,String
aborto,These are a list of bad words. Please let your supervisor know if you feel uncomfortable working with this list.
amador,
ânus,
aranha,
ariano,
balalao,
bastardo,
bicha,
bichinha,
bichona,
biscate,
bissexual,
boceta,
boob,
bosta,
braulio de borracha,
buceta,
bumbum,
bunda mole,
bundão,
burro,
cabrao,
cacete,
cagar,
cagão,
camisinha,
caralho,
cerveja,
chochota,
chupar,
clitoris,
cocaína,
colhoes,
comer,
cona,
consolo,
corno,
cu,
cuzão,
dar o rabo,
dum raio,
esporra,
fdp,
fecal,
filho da puta,
foda,
foda-se,
foder,
frango assado,
fuder,
gozar,
grelho,
heroína,
heterosexual,
homem gay,
homoerótico,
homosexual,
inferno,
lolita,
lésbica,
mama,
merda,
paneleiro,
passar um cheque,
pau,
peidar,
pinto,
porra,
puta,
putaria,
puta que pariu,
puta que te pariu,
pênis,
puto,
queca,
sacanagem,
saco,
traveco,
torneira,
transar,
vai tomar no cu,
vai-te foder,
veado,
viado,
vibrador,
xana,
xota,
xochota,
xoxota,
