word,h
String,String
13點,These are a list of bad words. Please let your supervisor know if you feel uncomfortable working with this list.
三級片,
下三爛,
下賤,
個老子的,
九遊,
乳,
乳交,
乳頭,
乳房,
乳波臀浪,
交配,
仆街,
他奶奶,
他奶奶的,
他奶娘的,
他媽,
他媽ㄉ王八蛋,
他媽地,
他媽的,
他娘,
他馬的,
你個傻比,
你他馬的,
你全家,
你奶奶的,
你她馬的,
你媽,
你媽的,
你娘,
你娘卡好,
你娘咧,
你它媽的,
你它馬的,
你是雞,
你是鴨,
你馬的,
做愛,
傻比,
傻逼,
冊那,
軍妓,
幾八,
幾叭,
幾巴,
幾芭,
剛度,
剛癟三,
包皮,
十三點,
賣B,
賣比,
賣淫,
卵,
卵子,
雙峰微顫,
口交,
口肯,
叫床,
吃屎,
後庭,
吹簫,
塞你公,
塞你娘,
塞你母,
塞你爸,
塞你老師,
塞你老母,
處女,
外陰,
大卵子,
大卵泡,
大雞巴,
奶,
奶奶的熊,
奶子,
姦,
姦你,
她媽地,
她媽的,
她馬的,
媽B,
媽個B,
媽個比,
媽個老比,
媽媽的,
媽比,
媽的,
媽的B,
媽逼,
妓,
妓女,
妓院,
妳她媽的,
妳媽的,
妳娘的,
妳老母的,
妳馬的,
姘頭,
姣西,
姦,
娘個比,
娘的,
婊子,
婊子養的,
嫖娼,
嫖客,
它媽地,
它媽的,
密洞,
射你,
射精,
小乳頭,
小卵子,
小卵泡,
小癟三,
小肉粒,
小騷比,
小騷貨,
小雞巴,
小雞雞,
屁眼,
屁股,
屄,
屌,
巨乳,
幹x娘,
幹七八,
幹你,
幹你媽,
幹你娘,
幹你老母,
幹你良,
幹妳媽,
幹妳娘,
幹妳老母,
幹妳馬,
幹您娘,
乾機掰,
幹死CS,
幹死GM,
幹死你,
幹死客服,
幹,
強姦,
強姦你,
性,
性交,
性器,
性無能,
性愛,
情色,
想上你,
懆您媽,
懆您娘,
懶8,
懶八,
懶叫,
懶教,
成人,
我操你祖宗十八代,
扒光,
打炮,
打飛機,
抽插,
招妓,
插你,
插死你,
撒尿,
操你,
操你全家,
操你奶奶,
操你媽,
操你娘,
操你祖宗,
操你老媽,
操你老母,
操妳,
操妳全家,
操妳媽,
操妳娘,
操妳祖宗,
操機掰,
操比,
操逼,
放蕩,
日他娘,
日你,
日你媽,
日你老娘,
日你老母,
日批,
月經,
機八,
機巴,
機機歪歪,
雜種,
浪叫,
淫,
淫亂,
淫婦,
淫棍,
淫水,
淫穢,
淫蕩,
淫西,
濕透的內褲,
激情,
灨你娘,
爛貨,
爛逼,
爛,
狗屁,
狗日,
狗狼養的,
玉杵,
王八蛋,
瓜娃子,
瓜婆娘,
瓜批,
癟三,
白爛,
白痴,
白癡,
祖宗,
私服,
笨蛋,
精子,
老二,
老味,
老母,
老癟三,
老騷比,
老騷貨,
肉壁,
肉棍子,
肉棒,
肉縫,
肏,
肛交,
肥西,
色情,
花柳,
蕩婦,
賤,
貝肉,
賤B,
賤人,
賤貨,
賊你媽,
賽你老母,
賽妳阿母,
贛您娘,
輪姦,
迷藥,
逼,
逼樣,
野雞,
陽具,
陽萎,
陰唇,
陰戶,
陰核,
陰毛,
陰莖,
陰道,
陰部,
雞巴,
靠北,
靠母,
靠爸,
靠背,
靠腰,
駛你公,
駛你娘,
駛你母,
駛你爸,
駛你老師,
駛你老母,
騷比,
騷貨,
騷逼,
鬼公,
雞8,
雞八,
雞叭,
雞吧,
雞姦,
雞巴,
雞芭,
雞雞,
龜兒子,
龜頭,
