identifier,objectType,level,expansionArea,maxLoot,h
String,String,Integer,String,String,String
bld01,archerTowerTutorial,3,expansion_034,,
bld02,lightningTowerTutorial,3,expansion_035,,
bld03,archerTowerTutorial,3,expansion_026,,
bld04,archerTowerTutorial,3,expansion_028,,
bld05,archerTowerTutorial,3,expansion_027,,
bld06,lightningTowerTutorial,3,expansion_025,,
bld07,archerTowerTutorial,3,expansion_024,,
bld08,cannonTowerTutorial,3,expansion_023,,
bld09,cannonTowerTutorial,3,expansion_022,,
bld10,lightningTowerTutorial,3,expansion_021,,
bld11,cannonTowerTutorial,3,expansion_017,,
bld12,archerTowerTutorial,3,expansion_016,,
bld13,temple,1,DITM_island06,,
bld14,lighthouse,1,DITM_island03,,
bld15,waterGate,1,DITM_island04,,
bld16,library,1,DITM_island05,,
bld17,statues,1,DITM_island02,,
bld18,mountDragon,1,DITM_island07,,
bld19,tripleTowers,1,DITM_island08,,!@#edbefjjnklbdbkai
