identifier,filename,numberOfInstances,enabled,usedInBuildMode,usedInAttack,usedInStable,h
String,String,Integer,Integer,Integer,Integer,Integer,String
attack_clouds,attack_clouds_01.part,1,1,0,1,0,
blink_effect,blink_effect.part,1,1,0,1,0,
bone_attack,bone_dragon_fireball.part,1,1,0,0,0,
bone_attack_weak,bone_fireball_slowtower.part,1,1,0,0,0,
building_placement_dust,building_dust.part,1,1,1,0,0,
building_flash,building_flash.part,1,1,1,0,0,
prj_cannon,cannon_ball_smallB.part,1,1,0,0,0,
fireball_hit,Cannon_flash01.part,1,1,0,0,0,
lockon_weak,chinese_fireball_slowtower.part,1,1,0,0,0,
coin_fountain,coin_fountain_alone.part,1,1,0,1,0,
contrails,contrails_01.part,1,1,0,1,0,
contrail_tips,contrails_02.part,1,1,0,1,0,
add_egg_effect,EggIncubator_Incubating01.part,1,1,1,0,0,
lockon,fireball_05.part,1,1,0,1,0,
flamethrower,flame_thrower01.part,1,1,0,0,0,
green_circle_2,green_circle_02.part,1,1,0,1,0,
guild_flames,guildHallFlame_01.part,1,1,1,0,0,
rubyGlow,rubyGlow.part,1,1,1,1,0,
freeze_effect,hover_projectile.part,1,1,0,0,0,
frozen_tomb_dissipation_effect,ptl_frozen_tomb_shield_dis.part,1,1,0,0,0,
super_ice_attack,ice_dragon_flame_super.part,1,1,0,0,0,
ice_attack,ice_dragon_flame.part,1,1,0,0,0,
ice_attack_weak,ice_flame_slowtower.part,1,1,0,0,0,
influence_rings,influence_rings.part,1,1,1,0,0,
instakill,instakill_02.part,1,1,0,0,0,
instakill_hit,instakill_Hit_01.part,1,1,0,0,0,
attack_boost_effect,interactive_beam.part,1,1,0,1,0,
lightning_tower,LightningTower_01.part,1,1,0,0,0,
lightning_tower2,LightningTower_02.part,1,1,0,0,0,
map_building_ready,map_building_glow_01.part,1,1,1,0,0,
medal_fountain,medal_fountain_alone.part,1,1,0,1,0,
ballista_target,Poison_01.part,1,1,0,0,0,
fire_burn_super,FireBurnSuper_01.part,1,1,0,0,0,
slow_target,SlowDown_01.part,1,1,0,0,0,
ballista_slow_target,SlowDown_01.part,1,1,0,0,0,
ballista_arrow,Poison_Ballista_01.part,1,1,0,0,0,
ballista_explosion,Poison_Splat_01.part,1,1,0,0,0,
prism_target,prism_target.part,1,1,0,0,0,
ptl_3Head_Flame,ptl_3Head_Flame.part,1,1,0,0,0,
ptl_archerSuper,ptl_archerSuper.part,1,1,0,0,0,
ptl_ballistaSuper,ptl_ballistaSuper.part,1,1,0,0,0,
ptl_bld_buffBeam,ptl_bld_buffBeam.part,1,1,0,1,0,
ptl_blueMageBeam,ptl_blueMageBeam.part,1,1,0,0,0,
ptl_bluePentagram,ptl_bluePentagram.part,1,1,0,0,0,
ptl_building_midRange,ptl_building_midRange.part,1,1,0,1,0,
ptl_cannonInitiate,ptl_cannonInitiate.part,1,1,0,0,0,
ptl_cannonSuper,ptl_cannonSuper.part,1,1,0,0,0,
fireball,ptl_fireball.part,1,1,0,0,0,
ptl_Frost_flame,ptl_Frost_flame.part,1,1,0,0,0,
heal_dragon,ptl_heal_dragonSpell.part,1,1,0,1,0,
ptl_heal_spell,ptl_heal_spell.part,1,1,0,0,0,
ptl_heal_dragonSpell_02,ptl_heal_dragonSpell_02.part,1,1,0,1,0,
ptl_hurricane,ptl_hurricane.part,1,1,0,0,0,
ptl_Lava_flame,ptl_Lava_Flame.part,1,1,0,0,0,
lightning_super_origin,ptl_lightningOrb.part,1,1,0,0,0,
ptl_lightningTowerIdle,ptl_lightningTowerIdle.part,1,1,0,0,0,
ptl_magetower_blueInitiate,ptl_magetower_blueInitiate.part,1,1,0,0,0,
ptl_magetower_redInitiate,ptl_magetower_redInitiate.part,1,1,0,0,0,
ptl_onHit_blueMage,ptl_onHit_blueMage.part,1,1,0,0,0,
ptl_onHit_cannonExplosion,ptl_onHit_cannonExplosion.part,1,1,0,0,0,
ptl_onHit_lifeSteal,ptl_onHit_lifeSteal.part,1,1,0,0,0,
lightning_super_target1,ptl_onHit_lightning.part,1,1,0,0,0,
lightning_super_target2,ptl_onHit_lightningAOE.part,1,1,0,0,0,
ptl_onHit_redMage,ptl_onHit_redMage.part,1,1,0,0,0,
ptl_onHit_stormTower,ptl_onHit_stormTower.part,1,1,0,0,0,
ptl_redPentagram,ptl_redPentagram.part,1,1,0,0,0,
ptl_shortCircuit_flame,ptl_shortCircuit_flame.part,1,1,0,0,0,
ptl_shortCircuit_goldBolts,ptl_shortCircuit_goldBolts.part,1,1,0,0,0,
ptl_Stone_Flame,ptl_Stone_Flame.part,1,1,0,0,0,
ptl_stormSpiral,ptl_stormSpiral.part,1,1,0,0,0,
ptl_stormTower_beam,ptl_stormTower_beam.part,1,1,0,0,0,
ptl_stormTower_initiate,ptl_stormTower_initiate.part,1,1,0,0,0,
ptl_Tank_flame,ptl_Tank_Flame.part,1,1,0,0,0,
ptl_trebuchetSuper,ptl_trebuchetSuper.part,1,1,0,0,0,
ptl_white_circle_static,ptl_white_circle_static.part,1,1,0,1,0,
ptl_white_circle,ptl_white_circle.part,1,1,0,1,0,
pulse_effect,pulse.part,1,1,1,1,0,
fireball_weak,red_fireball_slowtower.part,1,1,0,0,0,
reticle,reticle_01.part,1,1,0,0,0,
serpent_attack_weak,serpent_fireball_slowtower.part,1,1,0,0,0,
serpent_attack,serpent_projectile.part,1,1,0,0,0,
invert_dragon_effect,shield_invert_spell.part,1,1,0,0,0,
building_smoke_1,Smoke_Destroyed_01.part,1,1,0,1,0,
building_smoke_2,Smoke_Destroyed_Level2_01.part,1,1,0,1,0,
building_smoke_3,Smoke_Destroyed_Level3_01.part,1,1,0,1,0,
smoke_trail,smoke_trail.part,1,1,0,1,0,
invert_projectile_effect,sonic_wave.part,1,1,0,0,0,
flamethrower_weak,stone_flame_slowtower.part,1,1,0,0,0,
super_flamethrower,superpowered_flame03.part,1,1,0,0,0,
trebuchet_explosion,trebuchet_explosion02.part,1,1,0,0,0,
ptl_dragonAI_shout,ptl_dragonAI_shout.part,1,1,0,0,0,
ptl_dragonAI_portal,ptl_dragonAI_portal.part,1,1,0,0,0,
aoe_explosion,ptl_selfDestruct_explosion.part,1,1,0,0,0,
aoe_initiate,ptl_AOE_initiate.part,1,1,0,0,0,
aoe_charge,ptl_AOE_chargeUp.part,1,1,0,0,0,
flux_initiate,ptl_flux_initiate.part,1,1,0,1,0,
flux_explosion,ptl_flux_explosion.part,1,1,0,1,0,
flux_onBuilding,ptl_flux_onBuilding.part,1,1,0,1,0,
galvanicOverload_charge,ptl_galvanicOverload_chargeUp.part,1,1,0,1,0,
galvanicOverload_onBuilding,ptl_galvanicOverload_onBuilding.part,1,1,0,1,0,
ptl_selfDestruct_explosion,ptl_selfDestruct_explosion.part,1,1,0,0,0,
instakill_grow,ptl_darkEnergy_sphere.part,1,1,0,0,0,
ptl_selfDestruct_wisp,ptl_selfDestruct_wisp.part,1,1,0,0,0,
ptl_selfDestruct_chargeUp_small,ptl_selfDestruct_chargeUp_small.part,1,1,0,0,0,
ptl_selfDestruct_chargeUp_large,ptl_selfDestruct_chargeUp_large.part,1,1,0,0,0,
ptl_selfDestruct_contrails_01_LOD00,ptl_selfDestruct_contrails_01_LOD00.part,1,1,0,0,0,
ptl_selfDestruct_contrails_02_LOD00,ptl_selfDestruct_contrails_02_LOD00.part,1,1,0,0,0,
ptl_selfDestruct_dashGlow,ptl_selfDestruct_dashGlow.part,1,1,0,0,0,
ptl_iceTurret,ptl_iceTurret.part,1,0,0,0,0,
ptl_iceTurret_Initiate,ptl_IceTurret_Initiate.part,1,0,0,0,0,
ptl_flameTurret,ptl_flameTurret.part,1,0,0,0,0,
ptl_flameTurret_Initiate,ptl_flameTurret_Initiate.part,1,0,0,0,0,
ptl_flameTurretSpecial_Initiate,ptl_flameTurretSpecial_Initiate.part,1,0,0,1,0,
ptl_onHit_flameTurret_BasicAOE,ptl_onHit_flameTurret_BasicAOE.part,1,0,0,0,0,
ptl_stormSuper_initiate,ptl_stormSuper_initiate.part,1,1,0,0,0,
ptl_iceShield_initiate,ptl_iceShieldSuper_initiate.part,1,1,0,0,0,
ptl_archerSuper_shortCircuited,ptl_archerSuper_shortCircuited.part,1,1,0,0,0,
ptl_rain,rain.part,1,0,0,0,0,
ptl_snow,snow.part,1,0,0,0,0,
ptl_overgrowth,ptl_overgrowthRemoval.part,1,1,1,0,0,
ptl_overgrowthBeam,prism_lights_LOD00.part,1,1,1,0,0,
ptl_fogClearing,ptl_fogClearing.part,1,1,1,0,0,
ptl_fogWisps,ptl_fogWisps.part,1,1,1,0,0,
drg_fire_flame_01,ptl_drg_fire_flame_01.part,1,1,0,0,0,
drg_earth_flame_01,ptl_drg_earth_flame_01.part,1,1,0,0,0,
drg_ice_flame_01,ptl_drg_ice_flame_01.part,1,1,0,0,0,
drg_shadow_flame_01,ptl_drg_shadow_flame_01.part,1,1,0,0,0,
drg_undead_flame_01,ptl_drg_undead_flame_01.part,1,1,0,0,0,
ptl_bld_monument_ambient_01,ptl_bld_monument_ambient_01.part,1,1,1,0,0,
ptl_bld_castle_upgrade_ambient_01,ptl_bld_castle_upgrade_ambient_01.part,1,1,1,0,0,
drg_fire_flame_impact_01,ptl_drg_fire_flame_impact_01.part,1,1,0,0,0,
ptl_ocean_splash,ocean_splash_LOD00.part,1,1,1,1,0,
ptl_foliage_fire,ptl_foliage_fire_01.part,1,1,0,1,0,
ptl_drg_fire_proj_impact_01,ptl_drg_fire_proj_impact_01.part,1,1,0,0,0,
ptl_drg_earth_proj_impact_01,ptl_drg_earth_proj_impact_01.part,1,1,0,0,0,
ptl_drg_ice_proj_impact_01,ptl_drg_ice_proj_impact_01.part,1,1,0,0,0,
ptl_drg_ice_proj_01,ptl_drg_ice_proj_01.part,1,1,0,0,0,
ptl_drg_shadow_proj_impact_01,ptl_drg_shadow_proj_impact_01.part,1,1,0,0,0,
ptl_drg_undead_proj_impact_01,ptl_drg_undead_proj_impact_01.part,1,1,0,0,0,
ptl_drg_fire_proj_impact_02,ptl_drg_fire_proj_impact_02.part,1,1,0,0,0,
ptl_drg_earth_proj_impact_02,ptl_drg_earth_proj_impact_02.part,1,1,0,0,0,
ptl_drg_ice_proj_impact_02,ptl_drg_ice_proj_impact_02.part,1,1,0,0,0,
ptl_drg_shadow_proj_impact_02,ptl_drg_shadow_proj_impact_02.part,1,1,0,0,0,
ptl_drg_undead_proj_impact_02,ptl_drg_undead_proj_impact_02.part,1,1,0,0,0,
drg_earth_flame_impact_01,ptl_drg_earth_flame_impact_01.part,1,1,0,0,0,
drg_ice_flame_impact_01,ptl_drg_ice_flame_impact_01.part,1,1,0,0,0,
drg_shadow_flame_impact_01,ptl_drg_shadow_flame_impact_01.part,1,1,0,0,0,
drg_undead_flame_impact_01,ptl_drg_undead_flame_impact_01.part,1,1,0,0,0,
ptl_onHit_blueMage_02,ptl_onHit_blueMage_02.part,1,1,0,0,0,
ptl_impact_Magetower_01,ptl_bld_magetower_proj_impact_01.part,1,1,0,0,0,
